AGNname,center,galaxyName,environment,degreesJ2000RA_DecAGN,degreesJ2000RA_DecGalaxy,likelihood,likelihood_1.5,virialRadius,d^1.5,impactParameter (kpc),redshiftDistances,vcorrGalaxy (km/s),radialVelocity (km/s),vel_diff,distGalaxy (Mpc),AGN S/N,majorAxis (kpc),minorAxis (kpc),acos[b/a] (deg),inclination (deg),positionAngle (deg),azimuth (deg),RC3flag,RC3type,RC3inc (deg),RC3pa (deg),morphology,final_morphology,galaxyRedshift,AGNredshift,spectrumStatus,include,include_vir,include_custom,Lya_v,vlimits,Lya_W,Na,b,identified,comment
RX_J1356.4+2515,8475,CGCG132-055,3,"('209.106666667', '25.2563888889')","(209.03878, 25.19546)",0.32631082963676544,0.3524956137858085,205.9912274826911,216.0,190.2105714,x,8944.4,8671,196,125.9781177,x,36.0,29.5,34.97078088021122,35.80140515915934,20.0,25.2,0,x,x,x,E/S0,E/S0,0.028923,0.164,SI,1,1,1,8475,"8402, 8528",126pm18,2.69E13 pm 4.33E12,45.8pm 1.8,Lya,center is 8465
RX_J1544.5+2827,9642,CGCG166-047,2,"('236.127083333', '28.4655555556')","(235.98894, 28.52408)",0.031360387843794114,0.010080136550931118,175.324639025328,152.14836509144618,326.2079565,x,9845.9,9646,4,138.6747465,x,28.5,21.1,42.23868649573259,43.32078425070025,55.0,60.7,0,x,x,x,SBa            Sy2,SBa            Sy2,0.032176,0.2314,SP,1,1,1,9642,"9577, 9695",183pm14,4.81E13 pm 4.50E12,33.8pm 2.4,Lya,center is 9636
RX_J1544.5+2827,9759,CGCG166-047,2,"('236.127083333', '28.4655555556')","(235.98894, 28.52408)",0.02279908863183755,0.007328287130580955,175.324639025328,152.14836509144618,326.2079565,x,9845.9,9646,-113,138.6747465,x,28.5,21.1,42.23868649573259,43.32078425070025,55.0,60.7,0,x,x,x,SBa            Sy2,SBa            Sy2,0.032176,0.2314,SP,1,1,0,9759,"9702, 9794",169pm12,4.32E13 pm 3.99E12,32.4pm 2.0,Lya,center is 9748 : VIRIAL AND CUSTOM INCLUDE MISMATCH
RX_J1503.2+6810,10122,CGCG318-012,1,"('225.81875', '68.1683333333')","(225.56167, 68.26181)",0.007567449924069067,0.03095805377068369,249.77490207506148,328.4055054349729,325.4437708,x,9911.8,9765,-357,139.60269,x,47.6,30.5,50.15176178265263,51.58914640152374,135.0,0.6,0,x,x,x,compact,compact,0.032573,0.114,SP,1,0,1,10122,"10080, 10170",44pm14,8.89E12 pm 2.98E12,29.4pm 5.1,Lya,center is 10127 : NEEDS TO BE IDENTIFIED : ONLY 1 GALAXY : ONLY 1 GALAXY : ONLY 1 GALAXY
RX_J1236.0+2641,7117,IC3585,13,"('189.017083333', '26.6933333333')","(189.16625, 26.82994)",0.029224371299889165,0.05379795106380684,221.9062922966425,253.93148879176053,356.5811986,x,7603,7312,195,107.0844161,x,40.1,38.5,16.239780477779917,16.584225687907125,90.0,45.7,0,x,x,x,SA(s)0^0^:,SA(s)0^0^:,0.02439,0.2092,SP,0,0,1,7117,"7016, 7222",428pm13,1.38E14 pm 6.52E12,57.7pm 2.1,Lya,center is 7119 : VIRIAL AND CUSTOM INCLUDE MISMATCH
RX_J1236.0+2641,7223,IC3585,11,"('189.017083333', '26.6933333333')","(189.16625, 26.82994)",0.06202906060830281,0.11418676326330547,221.9062922966425,253.93148879176053,356.5811986,x,7603,7312,89,107.0844161,x,40.1,38.5,16.239780477779917,16.584225687907125,90.0,45.7,0,x,x,x,SA(s)0^0^:,SA(s)0^0^:,0.02439,0.2092,SP,0,0,0,7223,"7220, 7288",55pm9,1.15E13 pm 2.05E12,22.5pm 3.3,Lya,center is 7254 : VIRIAL AND CUSTOM INCLUDE MISMATCH
RX_J1356.4+2515,9186,IC4349,4,"('209.106666667', '25.2563888889')","(208.94309, 25.1519)",0.040116070259617984,0.12960847257762162,243.21882151261028,309.9546934634157,424.8994018,x,9540.7,9267,81,134.3754189,x,45.8,22.9,59.99999999999999,62.114433163906284,120.0,65.2,0,x,x,x,x,x,0.030913,0.164,SI,0,0,1,9186,"9115, 9243",276pm15,9.15E13 pm 8.51E12,36.2pm 2.3,Lya,center is 9179 : VIRIAL AND CUSTOM INCLUDE MISMATCH
RX_J1356.4+2515,9285,IC4349,4,"('209.106666667', '25.2563888889')","(208.94309, 25.1519)",0.04688519756275059,0.15147841758381642,243.21882151261028,309.9546934634157,424.8994018,x,9540.7,9267,-18,134.3754189,x,45.8,22.9,59.99999999999999,62.114433163906284,120.0,65.2,0,x,x,x,x,x,0.030913,0.164,SI,0,0,1,9285,"9242, 9318",110pm13,2.52E13 pm 3.74E12,29.2pm 1.5,Lya,center is 9280 : VIRIAL VS CUSTOM RESULT MISMATCH
PG0832+251,6980,KUG0833+252,1,"('128.899583333', '24.9947222222')","(129.03088, 25.11269)",0.04103895768440358,0.007323711500575298,164.5627779941703,132.5745073534124,293.7726057,x,7133.8,6964,-16,100.4755207,x,26.0,13.0,59.99999999999999,62.114433163906284,170.0,55.2,0,x,x,x,Spiral,Spiral,0.023229,0.331,SI,1,1,0,6980,"6896, 7058",133pm14,2.78E13 pm 3.14E12,58.7pm 2.0,Lya,center is 6977 : ONLY 1 GALAXY
PG0832+251,7201,KUG0833+252,1,"('128.899583333', '24.9947222222')","(129.03088, 25.11269)",0.01014211750197425,0.0018099373566113585,164.5627779941703,132.5745073534124,293.7726057,x,7133.8,6964,-237,100.4755207,x,26.0,13.0,59.99999999999999,62.114433163906284,170.0,55.2,0,x,x,x,Spiral,Spiral,0.023229,0.331,SI,1,1,0,7201,"7160, 7254",48pm10,9.58E12 pm 2.19E12,32.1pm 3.1,Lya,center is 7207 : ONLY 1 GALAXY
