AGNname,galaxyName,degreesJ2000RA_DecAGN,degreesJ2000RA_DecGalaxy,impactParameter (kpc),vcorrGalaxy (km/s),distGalaxy (Mpc),majorAxis (kpc),minorAxis (kpc),Lstar,inclination (deg),positionAngle (deg),RC3pa (deg),azimuth (deg),RC3type,morphology,galaxyRedshift,AGNredshift,spectrumStatus,groups_dist_std (Mpc)
2dFGRSS394Z150,UMaDwarf,"('41.55542', '-30.495')","('158.72', '51.92')",229.068570047,1312.99,0.101,x,x,0.0,x,x,x,x,x,dSph,0.003673,0.1312,RT,[]
2dFGRSS394Z150,NGC1097,"('41.55542', '-30.495')","('41.57937', '-30.27489')",77.3172309441,1029.79,20.038,54.21,36.72,x,47,x,130,55.4,.SBS3..,(R'_1:)SB(r'l)bSy1,0.00424,0.1312,RT,"[('LGG75', '15.658702662', '1.04018541869'), ('UZC1098', '15.4523017025', '0.355820702534')]"
2dFGRSS394Z150,2dFGRSS393Z025,"('41.55542', '-30.495')","('41.89079', '-30.50036')",354.727373138,4992.82,70.32145393,11.86,2.45,0.0504,78,x,x,x,x,x,0.017457,0.1312,RT,[]
SDSSJ080250.09+190119.2,UMaDwarf,"('120.70875', '19.02194')","('158.72', '51.92')",78.0525210207,1312.99,0.101,x,x,0.0,x,x,x,x,x,dSph,0.003673,0.12304,RT,[]
KUG0820+282,UMaDwarf,"('125.97917', '28.10389')","('158.72', '51.92')",60.0475322527,1312.99,0.101,x,x,0.0,x,x,x,x,x,dSph,0.003673,0.0468,RT,[]
KUG0820+282,IC2361,"('125.97917', '28.10389')","('126.43541', '27.87457')",253.12417821,2221.26,31.28540169,12.59,4.28,0.1858,70,75,78,44.7,.S?....,S?,0.006878,0.0468,RT,[]
KUG0820+282,UGC04395,"('125.97917', '28.10389')","('126.44834', '28.11814')",278.957746037,2351.28,38.6,10.22,2.66,0.1764,74,155,x,67.0,x,Sc,0.007312,0.0468,RT,[]
SDSSJ090704.80+532656.7,UMaDwarf,"('136.77', '53.44917')","('158.72', '51.92')",23.5154434755,1312.99,0.101,x,x,0.0,x,x,x,x,x,dSph,0.003673,0.0299,RT,[]
SDSSJ090704.80+532656.7,NGC2756,"('136.77', '53.44917')","('137.25386', '53.84953')",448.680759156,4145.17,52.200001,26.62,16.51,2.216,51,5,0,30.7,.S..3..,Sb,0.013272,0.0299,RT,[]
SDSSJ090704.80+532656.7,MCG+09-15-087,"('136.77', '53.44917')","('136.6938', '53.77616')",336.268826834,4144.02,58.36653501,14.26,5.42,0.0706,67,110,x,62.1,x,Irr(f),0.013273,0.0299,RT,[]
