"IC1746" Galaxy 1 54 24.31 4 48 14.0 2000.0
"NGC1097" Galaxy 2 46 19.05 -30 16 29.6 2000.0
"NGC4235" Galaxy 12 17 9.88 7 11 29.69 2000.0
"CGCG021-049" Galaxy 15 12 43.7 1 27 53.53 2000.0
"NGC3513" Galaxy 11 3 46.08 -23 14 43.8 2000.0
"NGC3640" Galaxy 11 21 6.85 3 14 5.39 2000.0
"CGCG039-137" Galaxy 11 21 26.95 3 26 41.68 2000.0
"NGC3511" Galaxy 11 3 23.77 -23 5 12.41 2000.0
"NGC4596" Galaxy 12 39 55.95 10 10 34.1 2000.0
"UGC09760" Galaxy 15 12 2.44 1 41 55.46 2000.0
"SDSSJ151249.73+012826.5" Galaxy 15 12 49.73 1 28 26.54 2000.0
"NGC0078A" Galaxy 0 20 25.79 0 49 34.86 2000.0
"NGC5364" Galaxy 13 56 12.0 5 0 52.09 2000.0
"NGC0731" Galaxy 1 54 56.21 -9 0 38.92 2000.0
"UGC08979" Galaxy 14 4 7.66 6 29 9.2 2000.0
"NGC4224" Galaxy 12 16 33.78 7 27 43.52 2000.0
"NGC0078B" Galaxy 0 20 27.51 0 50 0.78 2000.0
"UGC08186" Galaxy 13 5 58.64 3 57 23.18 2000.0
"NGC0713" Galaxy 1 55 21.53 -9 5 1.5 2000.0
"MCG-03-58-009" Galaxy 22 53 40.85 -17 28 44.0 2000.0
"MCG-04-26-019" Galaxy 11 2 50.12 -23 35 29.8 2000.0
"CGCG031-056" Galaxy 8 8 16.44 5 12 58.03 2000.0
"NGC4517" Galaxy 12 32 45.59 0 6 54.11 2000.0
"NGC4939" Galaxy 13 4 14.39 -10 20 22.6 2000.0
"2MASXJ11005006+1042257" Galaxy 11 0 50.07 10 42 26.57 2000.0
"MCG-05-01-020" Galaxy 23 59 37.81 -30 39 20.99 2000.0
"NGC0988" Galaxy 2 35 27.75 -9 21 22.28 2000.0
"NGC4380" Galaxy 12 25 22.17 10 1 0.52 2000.0
"UGC08663" Galaxy 13 41 39.32 5 1 58.33 2000.0
"2dFGRSS357Z063" Galaxy 23 59 37.82 -30 39 21.2 2000.0
"NGC6868" Galaxy 20 9 54.07 -48 22 46.42 2000.0
"UGC04239" Galaxy 8 7 58.1 5 12 24.01 2000.0
"NGC4246" Galaxy 12 17 58.12 7 11 9.28 2000.0
"2MASXJ11005426+1041087" Galaxy 11 0 54.29 10 41 8.56 2000.0
"SDSSJ021315.79-073942.7" Galaxy 2 13 15.8 -7 39 42.77 2000.0
"NGC5363" Galaxy 13 56 7.21 5 15 17.17 2000.0
"NGC3630" Galaxy 11 20 16.98 2 57 51.8 2000.0
"NGC4233" Galaxy 12 17 7.68 7 37 27.84 2000.0
"2MASXJ06221396-6443403" Galaxy 6 22 13.92 -64 43 40.19 2000.0
"NGC4223" Galaxy 12 17 25.81 6 41 24.25 2000.0
"CGCG045-071" Galaxy 13 41 22.57 5 2 24.4 2000.0
"NGC4316" Galaxy 12 22 42.24 9 19 56.89 2000.0
"NGC4536" Galaxy 12 34 27.05 2 11 17.3 2000.0
"UGC05357" Galaxy 9 58 41.77 5 15 51.7 2000.0
"NGC4527" Galaxy 12 34 8.42 2 39 13.18 2000.0
"RFGC3781" Galaxy 21 37 45.18 -38 29 33.22 2000.0
"NGC4260" Galaxy 12 19 22.24 6 5 55.25 2000.0
"2MASXJ15120762+0131241" Galaxy 15 12 7.62 1 31 23.81 2000.0
"NGC0768" Galaxy 1 58 40.93 0 31 45.19 2000.0
"NGC4442" Galaxy 12 28 3.88 9 48 13.36 2000.0
"2MASXJ00413607-1044279" Galaxy 0 41 36.09 -10 44 28.54 2000.0
"NGC6861" Galaxy 20 7 19.48 -48 22 12.79 2000.0
"2MFGC15350" Galaxy 20 9 34.36 -49 13 17.29 2000.0
"DUKST471-050" Galaxy 23 59 22.04 -30 48 7.6 2000.0
"2MASXJ06220168-6447421" Galaxy 6 22 1.66 -64 47 42.0 2000.0
"NGC4261" Galaxy 12 19 23.22 5 49 30.79 2000.0
"NGC4247" Galaxy 12 17 58.08 7 16 26.22 2000.0
"2MASXJ02411662-1856546" Galaxy 2 41 16.63 -18 56 54.49 2000.0
"2MASXJ02412187-1856572" Galaxy 2 41 21.88 -18 56 57.3 2000.0
"2MASXJ20055352-4144240" Galaxy 20 5 53.54 -41 44 24.0 2000.0
"IC5325" Galaxy 23 28 43.43 -41 20 0.49 2000.0
"CGCG072-007" Galaxy 13 9 14.94 8 31 54.19 2000.0
"NGC4517A" Galaxy 12 32 28.16 0 23 22.81 2000.0
"2MASXJ06214931-6443191" Galaxy 6 21 49.29 -64 43 18.98 2000.0
"NGC5786" Galaxy 14 58 56.26 -42 0 48.1 2000.0
"NGC1566" Galaxy 4 20 0.42 -54 56 16.12 2000.0
"2MASXJ02001568+0011574" Galaxy 2 0 15.67 0 11 57.26 2000.0
"NGC4307" Galaxy 12 22 5.68 9 2 37.07 2000.0
"IC3255" Galaxy 12 23 34.74 9 38 55.0 2000.0
"NGC2855" Galaxy 9 21 27.49 -11 54 34.2 2000.0
"NGC2962" Galaxy 9 40 53.94 5 9 56.92 2000.0
"SDSSJ124044.25+093838.7" Galaxy 12 40 44.25 9 38 38.8 2000.0
"NGC3621" Galaxy 11 18 16.51 -32 48 50.62 2000.0
"NGC6861D" Galaxy 20 8 19.48 -48 12 41.11 2000.0
"SDSSJ122929.52+021150.4" Galaxy 12 29 29.52 2 11 50.5 2000.0
"ESO107-G037" Galaxy 21 35 47.22 -62 46 38.24 2000.0
"NGC5356" Galaxy 13 54 58.46 5 20 1.39 2000.0
"2MASXJ06215512-6449011" Galaxy 6 21 55.15 -64 49 0.8 2000.0
"MCG-07-45-002" Galaxy 21 59 17.84 -43 52 1.31 2000.0
"NGC2228" Galaxy 6 21 15.54 -64 27 31.79 2000.0
"2MASXJ11383327-1344240" Galaxy 11 38 33.26 -13 44 24.54 2000.0
"UGC08153" Galaxy 13 3 5.92 3 59 30.77 2000.0
"2MASXJ06215821-6422591" Galaxy 6 21 58.19 -64 22 59.2 2000.0
"KUG0156-001" Galaxy 1 59 11.35 0 6 35.21 2000.0
"2MASXJ06214352-6447321" Galaxy 6 21 43.5 -64 47 32.32 2000.0
"UGC00726" Galaxy 1 9 57.56 -1 44 58.88 2000.0
"2MASXJ15095716+0712530" Galaxy 15 9 57.19 7 12 52.74 2000.0
"SDSSJ082644.50+073017.5" Galaxy 8 26 44.5 7 30 17.57 2000.0
"IC1761" Galaxy 1 58 52.29 0 34 5.88 2000.0
