galaxyName,AGNname,degreesJ2000RA_DecAGN,degreesJ2000RA_DecGalaxy,impactParameter (kpc),vcorrGalaxy (km/s),distGalaxy (Mpc),majorAxis (kpc),minorAxis (kpc),Lstar,B_median,possible_lya,inclination (deg),positionAngle (deg),azimuth (deg),RC3type,RC3pa (deg),morphology,AGNredshift,galaxyRedshift,groups_dist_std (Mpc)
NGC0078A,UM228,"('5.10745', '0.82635')","('5.25417', '0.87972')",183.7299211,4787.73,67.43287946,37.83,19.67,1.0966,,x,58,70,0,.SBR0*.,80,SB(r)0/a:,0.098,0.016942,[]
NGC0078B,UM228,"('5.11464', '0.83355')","('5.25417', '0.87972')",189.1399684,5235.74,73.74284986,36.47,26.99,1.4919,,x,42,140,68.3,.SBR0*.,80,S0^0^ pec?,0.098,0.018436,[]
CGCG021-049,SDSSJ151237.15+012846.0,"('228.18209', '1.46487')","('228.155', '1.47944')",68.14797535,9014.97,126.9714565,33.98,27.86,x,,"1, super strong DLA",34,170,51.7,x,x,x,0.265,0.029334,[]
UGC09292,SDSSJ143004.07+022213.3,"('217.29438', '2.287')","('217.51667', '2.37028')",481.4902932,8257.38,116.301145,51.54,16.49,2.3384,,"0, weird spectrum",71,15,54.4,x,x,SABb,0.353248,0.026695,[]
UGC08979,SDSSJ140347.22+062812.1,"('211.03192', '6.48589')","('210.94667', '6.47')",182.7580075,7709.47,121.5,36.76,9.55,x,,"1, strong, low resolution",74,15,64.4,x,x,Sbc,0.0843,0.024807,[]
NGC5364,SDSSJ135726.27+043541.4,"('209.05', '5.01447')","('209.35917', '4.59472')",183.1138939,1516.42,20.15,37.16,21.18,0.0329,,"2, med",55,48,84.3,.SAT4P.,30,SA(rs)bc pec   HII,1.234,0.00414,[]
NGC5363,SDSSJ135726.27+043541.4,"('209.03004', '5.25477')","('209.35917', '4.59472')",288.1392817,1414.64,22.4,30.4,22.49,3.0279,,"2, med",42,130,23.6,.I.0.$.,135,I0?            LINER,1.234,0.003799,[]
UGC08186,SDSSJ130524.30+035731.0,"('196.49433', '3.95644')","('196.35125', '3.95861')",248.6567219,7298.15,99.8,52.84,12.68,1.1492,,x,76,105,14.1,x,x,Scd(f),0.545,0.023369,[]
NGC4636,SDSSJ124423.37+021540.4,"('190.70761', '2.68778')","('191.09708', '2.26111')",163.6738225,1232.53,16.24,41.02,34.46,2.8236,,"0, low resolution",32,143,5.4,.E.0+..,150,E/S0_1;LINER   Sy3,0.2395,0.003129,[]
NGC4643,SDSSJ124423.37+021540.4,"('190.83391', '1.97827')","('191.09708', '2.26111')",173.2365963,1628.8,25.700001,31.59,17.69,2.1689,,"0, low resolution",55,130,87.1,.SBT0..,48,SB(rs)0/a      LINER,0.2395,0.004453,[]
NGC4526,SDSSJ123647.80+060048.0,"('188.51263', '7.69914')","('189.19917', '6.01333')",482.4323693,746.62,15.201,31.84,10.61,0.0066,,x,70,x,45,.LXS0*.,113,SAB(s)0^0^:,1.278,0.001494,[]
UGC07629,SDSSJ123426.80+072411.0,"('187.44484', '8.00048')","('188.61167', '7.40306')",363.4510069,1295.87,16,47.47,38.63,0.0078,,x,35,x,37.7,.E.2...,155,E2/S0;Sy2      LINER,0.844,0.003326,"[('GH106', '23.4574551232', '8.62005281937'), ('LGG292', '17.2852113603', '2.24885645957')]"
NGC4535,SDSSJ123426.80+072411.0,"('188.58462', '8.19775')","('188.61167', '7.40306')",227.0831224,2262.83,16.363,32.54,16.27,2.4241,,x,60,28,29.9,.SXS5..,0,SAB(s)c;LINER  HII,0.844,0.006551,[]
NGC4526,SDSSJ123426.80+072411.0,"('188.51263', '7.69914')","('188.61167', '7.40306')",82.75845417,746.62,15.201,31.84,10.61,0.0066,,x,70,x,48.6,.LXS0*.,113,SAB(s)0^0^:,0.844,0.001494,[]
NGC4365,SDSSJ122018.43+064119.6,"('186.11785', '7.31767')","('185.07667', '6.68861')",459.3613342,1541.54,21.755,43.24,32,0.2128,,x,42,45,13.7,.E.3...,40,E3,0.287,0.004146,[]
NGC4261,SDSSJ122018.43+064119.6,"('184.84675', '5.82522')","('185.07667', '6.68861')",488.2165927,2535.53,31.32,37.35,32.8,x,,x,28,x,34.8,.E.2+..,160,E2-3;LINER     Sy3,0.287,0.007465,[]
NGC4260,SDSSJ122018.43+064119.6,"('184.84267', '6.09868')","('185.07667', '6.68861')",447.1183262,2255.7,40.4,36.65,17.59,2.1297,,x,61,45,23.5,.SBS1..,58,SB(s)a;Sy      LINER,0.287,0.006531,[]
NGC4235,SDSSJ122018.43+064119.6,"('184.29117', '7.19158')","('185.07667', '6.68861')",466.4074351,2708.22,28.8,31.71,10.78,2.2588,,x,70,50,72.8,.SAS1./,48,SA(s)a         Sy1,0.287,0.008039,[]
NGC4246,SDSSJ121640.60+071224.0,"('184.49216', '7.18591')","('184.16917', '7.20667')",333.6953643,4018.26,59.54,42.12,37.06,2.472,,x,28,90,3.7,.SAS5..,83,SA(s)c,0.587,0.012409,[]
NGC4235,SDSSJ121640.60+071224.0,"('184.29117', '7.19158')","('184.16917', '7.20667')",61.31144526,2708.22,28.8,31.71,10.78,2.2588,,x,70,50,47.1,.SAS1./,48,SA(s)a         Sy1,0.587,0.008039,[]
UGC04239,SDSSJ080838.80+051440.0,"('121.99208', '5.20667')","('122.16167', '5.24444')",378.3226481,8893.11,125.2551175,55.81,40.18,x,,"2, strong",43,115,37.6,x,x,S,0.361,0.02923,[]
CGCG031-056,SDSSJ080838.80+051440.0,"('122.06849', '5.21612')","('122.16167', '5.24444')",223.2133956,9359.47,131.8235737,37.39,29.91,0.2088,,"0, almost 2",36,85,12,x,x,x,0.361,0.030786,[]
NGC1376,SBS0335-052,"('54.27467', '-5.04275')","('54.42833', '-5.04806')",148.7119365,3950.29,55.633,38.43,29.98,4.0776,,"0, useless target",38,30,62,.SAS6..,-99,SA(s)cd,1.528,0.013852,"[('LGG103', '54.1174432993', '1.84121103514')]"
UGC09277,RX_J1429.6+0321,"('217.1388', '3.26201')","('217.41958', '3.35722')",354.7055941,8855.72,68.65,33.75,8.77,0.7558,,"0, maybe 1 weak",74,45,26.2,x,x,Sb(f),0.253,0.028687,[]
CGCG045-071,RX_J1342.1+0505,"('205.34403', '5.04011')","('205.5275', '5.08972')",341.2155551,7330.01,103.2395554,33.99,9.51,2.0682,,"2, strong",73,175,79.8,x,x,Sb(f),0.266,0.023508,"[('UZC554', '101.288102631', '1.73524340608')]"
UGC08663,RX_J1342.1+0505,"('205.41383', '5.03287')","('205.5275', '5.08972')",226.0149665,7256.89,102.209717,30.52,26.86,3.061,,"2, strong",28,35,28.3,x,x,S0-:,0.266,0.023266,[]
NGC4526,RX_J1232.5+0603,"('188.51263', '7.69914')","('188.14958', '6.05278')",447.1362649,746.62,15.201,31.84,10.61,0.0066,,x,70,x,79.4,.LXS0*.,113,SAB(s)0^0^:,0.085,0.001494,[]
VCC0665,RX_J1223.2+0922,"('185.93576', '9.33814')","('185.82417', '9.38556')",216.3452451,7341.38,103.3996908,31.93,8.94,0.0979,,x,73,115,1.7,x,x,Sb,0.681,0.023489,"[('UZC486', '103.220778349', '5.9786354291')]"
NGC4178,RX_J1218.8+1015,"('183.19354', '10.86597')","('184.71042', '10.26528')",476.9834421,673.24,17,43.36,7.81,0.7992,,x,79,30,81.9,.SBT8..,30,SB(rs)dm       HII,0.542,0.001248,[]
MCG-05-01-020,RBS2070,"('359.90754', '-30.65583')","('359.7825', '-30.6275')",237.2931127,8677.05,122.2119212,34.6,18.69,x,,"1, strong, but crowded = no good",57,115,10.2,x,x,E,0.165,0.029891,[]
2dFGRSS357Z063,RBS2070,"('359.90758', '-30.65589')","('359.7825', '-30.6275')",239.1202735,8740.05,123.0992462,32.94,22.2,2.3845,,"1, strong, but crowded = no good",47,x,x,x,x,x,0.165,0.0301,[]
DUKST471-050,RBS2070,"('359.84183', '-30.80211')","('359.7825', '-30.6275')",382.1183199,8545.31,120.3565125,32.21,8.75,x,,"1, strong, but crowded = no good",74,x,x,x,x,x,0.165,0.02945,[]
RFGC3781,RBS1768,"('324.43825', '-38.49256')","('324.70708', '-38.47778')",464.166338,8951.06,126.0713339,48.41,7.7,1.2132,,"0, almost 1",80,x,x,x,x,Sb,0.183,0.030561,[]
NGC4235,RBS1089,"('184.29117', '7.19158')","('184.31708', '8.16139')",487.6505123,2708.22,28.8,31.71,10.78,2.2588,,x,70,50,48.5,.SAS1./,48,SA(s)a         Sy1,0.343,0.008039,[]
NGC1097,QSO0246-3050,"('41.57937', '-30.27489')","('42.09208', '-30.63528')",199.4426629,1029.79,20.038,54.21,36.72,x,,x,47,x,0.8,.SBS3..,130,(R'_1:)SB(r'l)bSy1,1.093,0.00424,"[('LGG75', '15.658702662', '1.04018541869'), ('UZC1098', '15.4523017025', '0.355820702534')]"
NGC6868,PKS2005-489,"('302.47529', '-48.37956')","('302.35583', '-48.83139')",244.6648438,2719.61,30.562,31.12,24.89,0.2861,,0,36,x,76.1,.E.2...,86,E2             LINER,0.071,0.00952,"[('LGG430', '40.1078771145', '2.37473714318')]"
MCG-01-07-040,PHL1444,"('40.8081', '-8.12504')","('40.71208', '-7.98722')",375.0572103,9112.61,128.3466432,56.25,42.75,8.9547,13.66,x,40,65,80.4,x,x,x,0.378,0.031228,[]
CGCG072-007,PG1307+085,"('197.31227', '8.53172')","('197.44583', '8.32972')",439.8537278,7413.25,104.411924,32.75,20.96,x,,"1, med",50,10,43.2,x,x,x,0.155,0.023746,[]
NGC4939,PG1302-102,"('196.05996', '-10.33961')","('196.3875', '-10.55556')",264.7658706,3381.83,39.118,43.66,30.12,8.3182,,"0, probably",46,5,61.2,.SAS4..,10,SA(s)bc        Sy2,0.2784,0.010374,[]
NGC4261,PG1216+069,"('184.84675', '5.82522')","('184.83708', '6.64389')",447.5462612,2535.53,31.32,37.35,32.8,x,,"0, maybe 1 super weak",28,x,19.3,.E.2+..,160,E2-3;LINER     Sy3,0.3313,0.007465,[]
NGC4260,PG1216+069,"('184.84267', '6.09868')","('184.83708', '6.64389')",384.4546253,2255.7,40.4,36.65,17.59,2.1297,,"1, DLA",61,45,45.6,.SBS1..,58,SB(s)a;Sy      LINER,0.3313,0.006531,[]
NGC4235,PG1216+069,"('184.29117', '7.19158')","('184.83708', '6.64389')",387.2910302,2708.22,28.8,31.71,10.78,2.2588,,"1, weak",70,50,85.3,.SAS1./,48,SA(s)a         Sy1,0.3313,0.008039,[]
UGC06312,PG1115+080,"('169.50081', '7.84489')","('169.57083', '7.76611')",170.5821061,6610.74,93.10901901,35.3,19.77,1.9159,,x,55,50,88.6,x,x,SBa pec sp,1.728,0.021098,[]
FGC1895,NVSSJ152511-171436,"('231.43096', '-17.24122')","('231.3', '-17.24389')",222.9824381,7250.77,102.1235119,43.87,14.04,x,,"0, weird spectrum",71,85,3.8,x,x,Sc             HII,0.0497,0.02359,[]
NGC7582,NGC7552,"('349.59792', '-42.37056')","('349.045', '-42.58472')",165.8090367,1323.38,20.625,38.9,10.89,1.8526,,"0, too close, useless target",73,157,85.3,PSBS2..,157,(R'_1)SB(s)ab  Sy2,0.0053,0.005254,"[('LGG472', '19.0675242541', '2.43668845184')]"
NGC7531,NGC7552,"('348.70208', '-43.59994')","('349.045', '-42.58472')",418.5811201,1348.41,22.936,30.02,12.01,0.0193,,"0, too close, useless target",66,x,1,.SXR4..,15,SAB(r)bc,0.0053,0.005324,"[('LGG472', '19.0675242541', '2.43668845184')]"
NGC4696E,NGC4696,"('192.10885', '-40.9365')","('192.20542', '-41.31111')",462.8916369,1998.93,69.5,36.39,14.15,1.4094,,x,67,x,11,.LBS0./,0,SB(s)0^0^,0.01,0.006081,[]
NGC4696C,NGC4696,"('192.01108', '-40.81856')","('192.20542', '-41.31111')",377.9509648,3809.46,42.14,31.26,5,0.4646,,x,80,140,23.5,.S..3*/,139,Sb: sp,0.01,0.012118,"[('LGG298', '47.595503183', '4.0826975706')]"
NGC4602,NGC4593,"('190.15354', '-5.133')","('189.91417', '-5.34417')",191.8091156,2823.71,34.51,34.13,12.05,0.2012,,"0, too close, useless target",69,x,56.5,.SXT4..,105,SAB(rs)bc      Sy1.9,0.009,0.008469,[]
NGC3749,NGC3783,"('173.97171', '-37.99736')","('174.7575', '-37.73861')",476.721839,2885.34,40.63861772,37.83,9.46,1.724,,"0, too close, useless target",75,x,39.6,.SAS1P/,107,SA(s)a pec sp  HII,0.0097,0.009013,[]
NGC4261,MS1217.0+0700,"('184.84675', '5.82522')","('184.87875', '6.72611')",492.7667708,2535.53,31.32,37.35,32.8,x,,0,28,x,22,.E.2+..,160,E2-3;LINER     Sy3,0.08,0.007465,[]
NGC4260,MS1217.0+0700,"('184.84267', '6.09868')","('184.87875', '6.72611')",443.1308107,2255.7,40.4,36.65,17.59,2.1297,,"0, maybe 1 super weak",61,45,41.7,.SBS1..,58,SB(s)a;Sy      LINER,0.08,0.006531,[]
NGC4235,MS1217.0+0700,"('184.29117', '7.19158')","('184.87875', '6.72611')",375.0905469,2708.22,28.8,31.71,10.78,2.2588,,0,70,50,78.6,.SAS1./,48,SA(s)a         Sy1,0.08,0.008039,[]
NGC1097,MS0244.6-3020,"('41.57937', '-30.27489')","('41.70792', '-30.12833')",64.31895771,1029.79,20.038,54.21,36.72,x,,x,47,x,87.2,.SBS3..,130,(R'_1:)SB(r'l)bSy1,0.528,0.00424,"[('LGG75', '15.658702662', '1.04018541869'), ('UZC1098', '15.4523017025', '0.355820702534')]"
NGC0768,MRK1014,"('29.67056', '0.52922')","('29.95917', '0.39472')",486.1589792,6752.26,87.483,48.61,14.51,0.6727,,"1, med",72,x,85,.SBR4*.,30,SB(r)bc:,0.163,0.023419,[]
MCG-03-58-009,MRC2251-178,"('343.42021', '-17.47889')","('343.52458', '-17.58194')",320.0509932,8753.81,128,67.89,35.3,1.0739,15.99,"1, weak",58,175,39,.S?....,27,Sc,0.0661,0.030121,[]
NGC4536,LBQS1230-0015,"('188.61271', '2.18814')","('188.26708', '0.52611')",453.9322149,2102.59,15.321,33.87,14.26,0.0006,,x,65,x,61.7,.SXT4..,130,SAB(rs)bc;HII  Sbrst,0.471,0.006031,[]
NGC4517,LBQS1230-0015,"('188.18996', '0.11503')","('188.26708', '0.52611')",71.28313467,1420.44,9.765,32.78,4.15,0.0381,,x,82,x,72.4,.SAS6*/,83,SA(s)cd: sp    HII,0.471,0.003764,[]
UGC07629,LBQS1222+0901,"('187.44484', '8.00048')","('186.33417', '8.74722')",370.9992334,1295.87,16,47.47,38.63,0.0078,,x,35,x,30.8,.E.2...,155,E2/S0;Sy2      LINER,0.535,0.003326,"[('GH106', '23.4574551232', '8.62005281937'), ('LGG292', '17.2852113603', '2.24885645957')]"
NGC4178,LBQS1206+1052,"('183.19354', '10.86597')","('182.35', '10.60361')",257.9301553,673.24,17,43.36,7.81,0.7992,,"0, low resolution",79,30,42.4,.SBT8..,30,SB(rs)dm       HII,0.396,0.001248,[]
2MASXJ03051837+0012555,LBQS0302-0019,"('46.32659', '0.21555')","('46.20792', '0.13694')",294.1639746,8406.78,118.4053514,31.63,15.81,0.3688,,x,60,75,18.5,x,x,x,3.294,0.028792,[]
CGCG013-047NED01,IRAS11598-0112,"('180.71172', '-1.78204')","('180.61167', '-1.4875')",487.956772,6381.52,89.88057152,31.81,29.9,0.7373,,x,19,140,21.2,x,x,x,0.15,0.020324,[]
2MASXJ06220168-6447421,IRAS_Z06229-6434,"('95.50692', '-64.795')","('95.78208', '-64.60528')",426.905755,7780.47,109.5841447,37.14,17.08,6.2518,,0,62,20,11.9,x,x,Sa,0.1289,0.026165,[]
NGC4527,HE1228+0131,"('188.53509', '2.65366')","('187.70833', '1.25583')",423.1750641,2031.05,14.932,34.39,11.69,0.0215,,"3, med-strong, crowded field",70,70,39.4,.SXS4..,67,SAB(s)bc;HII   LINER,0.117,0.005791,[]
NGC4536,HE1228+0131,"('188.61271', '2.18814')","('187.70833', '1.25583')",347.2467113,2102.59,15.321,33.87,14.26,0.0006,,"3, med-strong, crowded field",65,x,85.9,.SXT4..,130,SAB(rs)bc;HII  Sbrst,0.117,0.006031,[]
NGC4517,HE1228+0131,"('188.18996', '0.11503')","('187.70833', '1.25583')",211.0427507,1420.44,9.765,32.78,4.15,0.0381,,"3, med-strong, crowded field, good candidate",82,x,74.1,.SAS6*/,83,SA(s)cd: sp    HII,0.117,0.003764,[]
