AGNname,galaxyName,degreesJ2000RA_DecAGN,degreesJ2000RA_DecGalaxy,impactParameter (kpc),vcorrGalaxy (km/s),distGalaxy (Mpc),majorAxis (kpc),minorAxis (kpc),Lstar,inclination (deg),positionAngle (deg),RC3pa (deg),azimuth (deg),RC3type,morphology,galaxyRedshift,AGNredshift,spectrumStatus,groups_dist_std (Mpc)
US143,NGC4921,"('195.36708', '27.85194')","('195.35896', '27.88594')",49.27928694,5768.95,81.25285146,82.88,66.31,0.1252,36,135,165,33.1,.SBT2..,SB(rs)ab,0.018286,0.243,PL,[]
3C66A,UGC01841,"('35.665', '43.03556')","('35.79755', '42.99205')",162.7451694,6231.76,87.77125098,76.59,76.59,0.0196,0,x,-99,x,.E.....,E              LERG,0.021258,0.444,SP,[]
MRK290,NGC5987,"('233.96792', '57.9025')","('234.98904', '58.07953')",486.0114481,3170.02,48.9,68.85,29.6,3.0052,64,60,165,11.9,.S..3..,Sb,0.01004,0.0296,SP,[]
SBS1537+577,NGC5987,"('234.54167', '57.60361')","('234.98904', '58.07953')",454.1827315,3170.02,48.9,68.85,29.6,3.0052,64,60,165,33.3,.S..3..,Sb,0.01004,0.0734,SP,[]
3C66A,UGC01841NOTES01,"('35.665', '43.03556')","('35.804', '42.98778')",178.1751629,6453.75,90.89794148,68.13,21.8,0.0415,71,140,-99,24.8,.E.....,E,0.022,0.444,SP,[]
MRC2251-178,MCG-03-58-009,"('343.52458', '-17.58194')","('343.42021', '-17.47889')",320.0509932,8753.81,128,67.89,35.3,1.0739,58,175,27,39,.S?....,Sc,0.030121,0.0661,SP,[]
US143,NGC4911,"('195.36708', '27.85194')","('195.23366', '27.79084')",238.873785,8272.16,103,65.12,59.25,1.4958,24,120,-99,57.4,.SXR4..,SAB(r)bc,0.026635,0.243,PL,[]
SBS1435+509,NGC5720,"('219.35875', '50.76556')","('219.63871', '50.81521')",361.3533008,7997.23,112.6370853,61.11,51.33,4.0807,32,85,x,10.7,x,Sb,0.025985,0.7833,SP,[]
SBS1503+570,NGC5907,"('226.2315', '56.8223')","('228.97404', '56.32877')",452.0909184,842.99,16.3,60.55,6.64,x,83,x,155,46.8,.SAS5*/,SA(s)c: sp     HII:,0.002225,0.3589,SP,[]
SDSSJ150450.20+564921.0,NGC5907,"('226.20917', '56.8225')","('228.97404', '56.32877')",455.4341451,842.99,16.3,60.55,6.64,x,83,x,155,46.9,.SAS5*/,SA(s)c: sp     HII:,0.002225,1.583,RT,[]
