galaxyName,AGNname,degreesJ2000RA_DecGalaxy,degreesJ2000RA_DecAGN,impactParameter (kpc),vcorrGalaxy (km/s),distGalaxy (Mpc),majorAxis (kpc),minorAxis (kpc),Lstar,likelihood,possible_lya,inclination (deg),positionAngle (deg),azimuth (deg),RC3type,RC3pa (deg),morphology,AGNredshift,galaxyRedshift,groups_dist_std (Mpc)
2dFGRSS357Z063,RBS2070,"('359.90758', '-30.65589')","('359.7825', '-30.6275')",239.1202735,8740.05,123.0992462,32.94,22.2,2.3845,0.217999895,"8966, strong",47,x,x,x,x,x,0.165,0.0301,[]
2MASXJ00413607-1044279,SDSSJ004222.29-103743.8,"('10.40036', '-10.74126')","('10.59292', '-10.62889')",325.2819241,6012.79,84.68720797,26.93,23.16,0.4659,0.024181958,"6300?, very weak",30,45,14.3,x,x,x,0.4248,0.021055,[]
2MASXJ02412187-1856572,HE0238-1904,"('40.34117', '-18.94925')","('40.13583', '-18.86417')",395.047887,7577.74,106.728793,28.72,17.8,1.653,0.006581561,"maybe, complicated and weak, bad d: IDs",51,120,6.4,x,x,S              HII,0.631,0.026118,[]
2MASXJ20055352-4144240,RBS1666,"('301.47308', '-41.74')","('301.47042', '-41.57833')",364.8646634,9180.17,129.2981138,25.39,20.82,x,0.006222429,"9230, unmarked and weak",34,85,85.7,x,x,x,0.079,0.031075,[]
CGCG021-049,SDSSJ151237.15+012846.0,"('228.18209', '1.46487')","('228.155', '1.47944')",68.14797535,9014.97,126.9714565,33.98,27.86,x,0.888227744,"8817, DLA",34,170,51.7,x,x,x,0.265,0.029334,[]
CGCG031-056,SDSSJ080838.80+051440.0,"('122.06849', '5.21612')","('122.16167', '5.24444')",223.2133956,9359.47,131.8235737,37.39,29.91,0.2088,0.328114728,"0, but one at 8927, 9760",36,85,12,x,x,x,0.361,0.030786,[]
CGCG039-137,"RX_J1121.2+0326, SDSSJ112224.10+031802.0","('170.36231', '3.44491')","('170.30917', '3.42944')",97.60481096,7185.99,101.2111385,26.35,9.48,0.1558,0.707969292,x,68,145,71.3,x,x,x,0.152,0.023022,[]
CGCG039-137,SDSSJ112224.10+031802.0,"('170.36231', '3.44491')","('170.60042', '3.30056')",491.2464499,7185.99,101.2111385,26.35,9.48,0.1558,0.000158738,x,68,145,23.7,x,x,x,0.475,0.023022,[]
CGCG045-071,RX_J1342.1+0505,"('205.34403', '5.04011')","('205.5275', '5.08972')",341.2155551,7330.01,103.2395554,33.99,9.51,2.0682,0.051290475,"7038, 7114, strong, but confusion with UGC08663",73,175,79.8,x,x,Sb(f),0.266,0.023508,"[('UZC554', '101.288102631', '1.73524340608')]"
CGCG072-007,PG1307+085,"('197.31227', '8.53172')","('197.44583', '8.32972')",439.8537278,7413.25,104.411924,32.75,20.96,x,0.005541604,"7279, medium",50,10,43.2,x,x,x,0.155,0.023746,[]
