Time Zone: UT
Track limitation: between sunset and sunrise

Target,RA,Dec,Equinox
CGCG013-047NED01,12:02:50.8,-01:46:55.3,2000.0

Beginning of Night,East Track Start (CGCG013-047NED01),East Track End (CGCG013-047NED01),East Track Length (CGCG013-047NED01),West Track Start (CGCG013-047NED01),West Track End (CGCG013-047NED01),West Track Length (CGCG013-047NED01),Moonrise,Moonset,Illuminated fraction of the Moon,Sunset,End of Evening Twilight,Beginning of Morning Twilight,Sunrise
2016-04-08,19:17:26,21:27:19,7792,21:31:38,23:42:43,7864,06:55,17:23,3.7,16:23,17:44,03:32,04:54
2016-04-09,19:13:30,21:23:23,7792,21:27:42,23:38:47,7864,08:03,18:11,9.6,16:21,17:43,03:33,04:54
2016-04-10,19:09:35,21:19:27,7792,21:23:46,23:34:51,7864,09:07,19:02,17.7,16:20,17:42,03:33,04:55
2016-04-11,19:05:39,21:15:31,7792,21:19:50,23:30:55,7864,10:06,19:56,27.3,16:19,17:41,03:34,04:56
2016-04-12,19:01:43,21:11:35,7792,21:15:54,23:26:59,7864,11:00,20:52,37.7,16:18,17:39,03:35,04:56
2016-04-13,18:57:47,21:07:39,7792,21:11:58,23:23:03,7864,11:48,21:49,48.4,16:17,17:38,03:35,04:57
2016-04-14,18:53:51,21:03:43,7792,21:08:03,23:19:07,7864,n/a,22:46,58.7,16:15,17:37,03:36,04:58
2016-04-15,18:49:55,20:59:48,7792,21:04:07,23:15:11,7864,12:31,23:42,68.5,16:14,17:36,03:36,04:58
2016-04-16,18:45:59,20:55:52,7792,21:00:11,23:11:16,7864,13:10,00:37,77.2,16:13,17:35,03:37,04:59
2016-04-17,18:42:03,20:51:56,7792,20:56:15,23:07:20,7864,13:46,01:31,84.8,16:12,17:34,03:38,05:00
2016-04-18,18:38:07,20:48:00,7792,20:52:19,23:03:24,7864,14:20,02:24,91.0,16:11,17:33,03:38,05:00
2016-04-19,18:34:11,20:44:04,7792,20:48:23,22:59:28,7864,14:52,03:17,95.6,16:10,17:32,03:39,05:01
2016-04-20,18:30:15,20:40:08,7792,20:44:27,22:55:32,7864,15:25,04:09,98.6,16:09,17:31,03:40,05:02
2016-04-21,18:26:20,20:36:12,7792,20:40:31,22:51:36,7864,15:58,05:02,99.9,16:08,17:30,03:40,05:03
2016-04-22,18:22:24,20:32:16,7792,20:36:35,22:47:40,7864,16:32,05:54,99.3,16:06,17:29,03:41,05:03
2016-04-23,18:18:28,20:28:20,7792,20:32:39,22:43:44,7864,17:09,06:47,97.0,16:05,17:28,03:41,05:04
2016-04-24,18:14:32,20:24:24,7792,20:28:44,22:39:48,7864,17:48,07:40,93.0,16:04,17:27,03:42,05:05
2016-04-25,18:10:36,20:20:28,7792,20:24:48,22:35:52,7864,18:31,08:31,87.3,16:03,17:26,03:43,05:05
2016-04-26,18:06:40,20:16:33,7792,20:20:52,22:31:57,7864,19:17,09:22,80.1,16:02,17:25,03:43,05:06
2016-04-27,18:02:44,20:12:37,7792,20:16:56,22:28:01,7864,20:08,10:10,71.6,16:01,17:24,03:44,05:07
2016-04-28,17:58:48,20:08:41,7792,20:13:00,22:24:05,7864,21:02,10:57,62.1,16:00,17:23,03:44,05:07
2016-04-29,17:54:52,20:04:45,7792,20:09:04,22:20:09,7864,21:59,11:41,51.7,15:59,17:22,03:45,05:08
2016-04-30,17:50:56,20:00:49,7792,20:05:08,22:16:13,7864,22:59,n/a,40.9,15:58,17:21,03:46,05:09
2016-05-01,17:47:00,19:56:53,7792,20:01:12,22:12:17,7864,00:02,12:23,30.2,15:57,17:21,03:46,05:10
2016-05-02,17:43:05,19:52:57,7792,19:57:16,22:08:21,7864,01:06,13:04,20.2,15:56,17:20,03:47,05:10
2016-05-03,17:39:09,19:49:01,7792,19:53:20,22:04:25,7864,02:13,13:45,11.6,15:56,17:19,03:47,05:11
2016-05-04,17:35:13,19:45:05,7792,19:49:24,22:00:29,7864,03:21,14:27,5.0,15:55,17:18,03:48,05:12
2016-05-05,17:31:17,19:41:09,7792,19:45:29,21:56:33,7864,04:30,15:11,1.1,15:54,17:18,03:49,05:12
2016-05-06,17:27:21,19:37:13,7792,19:41:33,21:52:37,7864,05:40,15:57,0.2,15:53,17:17,03:49,05:13
2016-05-07,17:23:25,19:33:18,7792,19:37:37,21:48:42,7864,06:47,16:47,2.3,15:52,17:16,03:50,05:14
2016-05-08,17:19:29,19:29:22,7792,19:33:41,21:44:46,7864,07:51,17:41,7.2,15:51,17:15,03:50,05:15
2016-05-09,17:15:33,19:25:26,7792,19:29:45,21:40:50,7864,08:49,18:38,14.3,15:51,17:15,03:51,05:15
2016-05-10,17:11:37,19:21:30,7792,19:25:49,21:36:54,7864,09:42,19:36,23.1,15:50,17:14,03:51,05:16
2016-05-11,17:07:41,19:17:34,7792,19:21:53,21:32:58,7864,10:28,20:35,32.8,15:49,17:14,03:52,05:17
2016-05-12,17:03:45,19:13:38,7792,19:17:57,21:29:02,7864,11:10,21:34,42.9,15:48,17:13,03:53,05:17
2016-05-13,16:59:50,19:09:42,7792,19:14:01,21:25:06,7864,11:47,22:30,53.0,15:48,17:12,03:53,05:18
2016-05-14,16:55:54,19:05:46,7792,19:10:05,21:21:10,7864,n/a,23:25,62.8,15:47,17:12,03:54,05:19
2016-05-15,16:51:58,19:01:50,7792,19:06:09,21:17:14,7864,12:22,00:19,71.8,15:46,17:11,03:54,05:19
2016-05-16,16:48:02,18:57:54,7792,19:02:14,21:13:18,7864,12:55,01:12,79.9,15:46,17:11,03:55,05:20
2016-05-17,16:44:06,18:53:58,7792,18:58:18,21:09:22,7864,13:27,02:04,86.9,15:45,17:10,03:55,05:21
2016-05-18,16:40:10,18:50:03,7792,18:54:22,21:05:27,7864,14:00,02:57,92.5,15:44,17:10,03:56,05:21
2016-05-19,16:36:14,18:46:07,7792,18:50:26,21:01:31,7864,14:33,03:49,96.7,15:44,17:09,03:56,05:22
2016-05-20,16:32:18,18:42:11,7792,18:46:30,20:57:35,7864,15:09,04:42,99.1,15:43,17:09,03:57,05:23
2016-05-21,16:28:22,18:38:15,7792,18:42:34,20:53:39,7864,15:47,05:35,99.8,15:43,17:09,03:58,05:23
2016-05-22,16:24:26,18:34:19,7792,18:38:38,20:49:43,7864,16:29,06:28,98.6,15:42,17:08,03:58,05:24
2016-05-23,16:20:31,18:30:23,7792,18:34:42,20:45:47,7864,17:15,07:19,95.6,15:42,17:08,03:59,05:25
2016-05-24,16:16:35,18:26:27,7792,18:30:46,20:41:51,7864,18:04,08:09,90.7,15:41,17:07,03:59,05:25
2016-05-25,16:12:39,18:22:31,7792,18:26:50,20:37:55,7864,18:57,08:56,84.0,15:41,17:07,04:00,05:26
2016-05-26,16:08:43,18:18:35,7792,18:22:54,20:33:59,7864,19:53,09:40,75.8,15:41,17:07,04:00,05:27
2016-05-27,16:04:47,18:14:39,7792,18:18:59,20:30:03,7864,20:52,10:22,66.3,15:40,17:07,04:01,05:27
2016-05-28,16:00:51,18:10:43,7792,18:15:03,20:26:07,7864,21:52,11:03,55.7,15:40,17:06,04:01,05:28
2016-05-29,15:56:55,18:06:48,7792,18:11:07,20:22:12,7864,22:54,11:42,44.6,15:40,17:06,04:02,05:28
2016-05-30,15:52:59,18:02:52,7792,18:07:11,20:18:16,7864,23:57,n/a,33.6,15:39,17:06,04:02,05:29
2016-05-31,15:49:03,17:58:56,7792,18:03:15,20:14:20,7864,01:02,12:22,23.1,15:39,17:06,04:03,05:29
2016-06-01,15:45:07,17:55:00,7792,17:59:19,20:10:24,7864,02:09,13:03,13.9,15:39,17:06,04:03,05:30
2016-06-02,15:41:11,17:51:04,7792,17:55:23,20:06:28,7864,03:17,13:46,6.7,15:38,17:06,04:03,05:31
2016-06-03,15:38:47,17:47:08,7700,17:51:27,20:02:32,7864,04:25,14:33,2.0,15:38,17:05,04:04,05:31
2016-06-04,15:38:37,17:43:12,7474,17:47:31,19:58:36,7864,05:31,15:25,0.2,15:38,17:05,04:04,05:32
2016-06-05,15:38:28,17:39:16,7247,17:43:35,19:54:40,7864,06:33,16:20,1.3,15:38,17:05,04:05,05:32
2016-06-06,15:38:21,17:35:20,7019,17:39:39,19:50:44,7864,07:30,17:19,5.0,15:38,17:05,04:05,05:33
2016-06-07,15:38:15,17:31:24,6789,17:35:43,19:46:48,7864,08:21,18:19,11.0,15:38,17:05,04:06,05:33
2016-06-08,15:38:11,17:27:28,6557,17:31:48,19:42:52,7864,09:05,19:19,18.7,15:38,17:05,04:06,05:33
2016-06-09,15:38:08,17:23:33,6324,17:27:52,19:38:56,7864,09:46,20:18,27.5,15:38,17:05,04:06,05:34
2016-06-10,15:38:06,17:19:37,6090,17:23:56,19:35:01,7864,10:22,21:16,37.0,15:38,17:05,04:07,05:34
2016-06-11,15:38:06,17:15:41,5854,17:20:00,19:31:05,7864,10:56,22:11,46.8,15:38,17:05,04:07,05:35
2016-06-12,15:38:07,17:11:45,5617,17:16:04,19:27:09,7864,11:29,23:05,56.5,15:38,17:05,04:07,05:35
2016-06-13,15:38:10,17:07:49,5378,17:12:08,19:23:13,7864,n/a,23:58,65.8,15:38,17:05,04:08,05:35
2016-06-14,15:38:14,17:03:53,5138,17:08:12,19:19:17,7864,12:01,00:50,74.4,15:38,17:05,04:08,05:36
2016-06-15,15:38:20,16:59:57,4897,17:04:16,19:15:21,7864,12:34,01:43,82.1,15:38,17:06,04:08,05:36
2016-06-16,15:38:27,16:56:01,4654,17:00:20,19:11:25,7864,13:09,02:36,88.8,15:38,17:06,04:09,05:36
2016-06-17,15:38:35,16:52:05,4410,16:56:24,19:07:29,7864,13:46,03:29,94.0,15:38,17:06,04:09,05:37
2016-06-18,15:38:44,16:48:09,4165,16:52:28,19:03:33,7864,14:27,04:22,97.7,15:38,17:06,04:09,05:37
2016-06-19,15:38:55,16:44:13,3918,16:48:33,18:59:37,7864,15:11,05:15,99.6,15:38,17:06,04:09,05:37
2016-06-20,15:39:07,16:40:18,3670,16:44:37,18:55:41,7864,15:59,06:06,99.5,15:39,17:06,04:10,05:37
2016-06-21,15:39:20,16:36:22,3421,16:40:41,18:51:46,7864,16:52,06:54,97.4,15:39,17:07,04:10,05:38
2016-06-22,15:39:35,16:32:26,3170,16:36:45,18:47:50,7864,17:48,07:40,93.2,15:39,17:07,04:10,05:38
2016-06-23,15:39:51,16:28:30,2919,16:32:49,18:43:54,7864,18:46,08:23,87.0,15:39,17:07,04:10,05:38
2016-06-24,15:40:08,16:24:34,2666,16:28:53,18:39:58,7864,19:46,09:04,79.0,15:40,17:07,04:10,05:38
2016-06-25,15:40:26,16:20:38,2412,16:24:57,18:36:02,7864,20:47,09:44,69.4,15:40,17:08,04:10,05:38
2016-06-26,15:40:45,16:16:42,2157,16:21:01,18:32:06,7864,21:49,10:22,58.7,15:40,17:08,04:11,05:38
2016-06-27,15:41:05,16:12:46,1900,16:17:05,18:28:10,7864,22:52,11:02,47.4,15:41,17:08,04:11,05:38
2016-06-28,15:41:27,16:08:50,1643,16:13:09,18:24:14,7864,23:57,11:43,36.1,15:41,17:09,04:11,05:38
2016-06-29,15:41:49,16:04:54,1385,16:09:13,18:20:18,7864,01:02,n/a,25.4,15:41,17:09,04:11,05:38
2016-06-30,15:42:12,16:00:58,1126,16:05:18,18:16:22,7864,02:08,12:26,15.9,15:42,17:09,04:11,05:38
2016-07-01,15:42:37,15:57:02,865,16:01:22,18:12:26,7864,03:13,13:14,8.3,15:42,17:10,04:11,05:38
2016-07-02,15:43:02,15:53:07,604,15:57:26,18:08:31,7864,04:16,14:06,3.1,15:43,17:10,04:11,05:38
2016-07-03,15:43:28,15:49:11,342,15:53:30,18:04:35,7864,05:15,15:02,0.5,15:43,17:10,04:11,05:38
2016-07-04,15:43:55,15:45:15,79,15:49:34,18:00:39,7864,06:09,16:02,0.5,15:43,17:11,04:11,05:38
2016-07-05,n/a,n/a,0,15:45:38,17:56:43,7864,06:57,17:02,3.1,15:44,17:11,04:11,05:38
2016-07-06,n/a,n/a,0,15:44:52,17:52:47,7675,07:40,18:03,7.8,15:44,17:12,04:11,05:38
2016-07-07,n/a,n/a,0,15:45:21,17:48:51,7409,08:19,19:02,14.4,15:45,17:12,04:11,05:38
2016-07-08,n/a,n/a,0,15:45:51,17:44:55,7143,08:55,19:59,22.2,15:45,17:12,04:10,05:37
2016-07-09,n/a,n/a,0,15:46:22,17:40:59,6876,09:29,20:55,31.0,15:46,17:13,04:10,05:37
2016-07-10,n/a,n/a,0,15:46:54,17:37:03,6609,10:01,21:49,40.3,15:46,17:13,04:10,05:37
2016-07-11,n/a,n/a,0,15:47:26,17:33:07,6341,10:34,22:42,49.8,15:47,17:14,04:10,05:37
2016-07-12,n/a,n/a,0,15:47:59,17:29:11,6072,11:08,23:34,59.2,15:47,17:14,04:10,05:36
2016-07-13,n/a,n/a,0,15:48:33,17:25:16,5802,11:44,00:27,68.3,15:48,17:15,04:09,05:36
2016-07-14,n/a,n/a,0,15:49:07,17:21:20,5532,n/a,01:20,76.8,15:49,17:15,04:09,05:36
2016-07-15,n/a,n/a,0,15:49:41,17:17:24,5262,12:23,02:13,84.4,15:49,17:16,04:09,05:35
2016-07-16,n/a,n/a,0,15:50:16,17:13:28,4991,13:05,03:06,90.8,15:50,17:16,04:09,05:35
2016-07-17,n/a,n/a,0,15:50:52,17:09:32,4720,13:52,03:58,95.7,15:50,17:17,04:08,05:34
