Time Zone: UT
Track limitation: between sunset and sunrise

Target,RA,Dec,Equinox
FGC1895,15:25:43.4,-17:14:28.4,2000.0

Beginning of Night,East Track Start (FGC1895),East Track End (FGC1895),East Track Length (FGC1895),West Track Start (FGC1895),West Track End (FGC1895),West Track Length (FGC1895),Moonrise,Moonset,Illuminated fraction of the Moon,Sunset,End of Evening Twilight,Beginning of Morning Twilight,Sunrise
2016-04-08,21:50:11,22:54:03,3832,02:51:15,03:54:31,3796,06:55,17:23,3.7,16:23,17:44,03:32,04:54
2016-04-09,21:46:15,22:50:08,3832,02:47:20,03:50:36,3796,08:03,18:11,9.6,16:21,17:43,03:33,04:54
2016-04-10,21:42:19,22:46:12,3832,02:43:24,03:46:40,3796,09:07,19:02,17.7,16:20,17:42,03:33,04:55
2016-04-11,21:38:23,22:42:16,3832,02:39:28,03:42:44,3796,10:06,19:56,27.3,16:19,17:41,03:34,04:56
2016-04-12,21:34:27,22:38:20,3832,02:35:32,03:38:48,3796,11:00,20:52,37.7,16:18,17:39,03:35,04:56
2016-04-13,21:30:31,22:34:24,3832,02:31:36,03:34:52,3796,11:48,21:49,48.4,16:17,17:38,03:35,04:57
2016-04-14,21:26:35,22:30:28,3832,02:27:40,03:30:56,3796,n/a,22:46,58.7,16:15,17:37,03:36,04:58
2016-04-15,21:22:39,22:26:32,3832,02:23:44,03:27:00,3796,12:31,23:42,68.5,16:14,17:36,03:36,04:58
2016-04-16,21:18:43,22:22:36,3832,02:19:48,03:23:04,3796,13:10,00:37,77.2,16:13,17:35,03:37,04:59
2016-04-17,21:14:48,22:18:40,3832,02:15:52,03:19:08,3796,13:46,01:31,84.8,16:12,17:34,03:38,05:00
2016-04-18,21:10:52,22:14:44,3832,02:11:56,03:15:12,3796,14:20,02:24,91.0,16:11,17:33,03:38,05:00
2016-04-19,21:06:56,22:10:48,3832,02:08:00,03:11:17,3796,14:52,03:17,95.6,16:10,17:32,03:39,05:01
2016-04-20,21:03:00,22:06:53,3832,02:04:05,03:07:21,3796,15:25,04:09,98.6,16:09,17:31,03:40,05:02
2016-04-21,20:59:04,22:02:57,3832,02:00:09,03:03:25,3796,15:58,05:02,99.9,16:08,17:30,03:40,05:03
2016-04-22,20:55:08,21:59:01,3832,01:56:13,02:59:29,3796,16:32,05:54,99.3,16:06,17:29,03:41,05:03
2016-04-23,20:51:12,21:55:05,3832,01:52:17,02:55:33,3796,17:09,06:47,97.0,16:05,17:28,03:41,05:04
2016-04-24,20:47:16,21:51:09,3832,01:48:21,02:51:37,3796,17:48,07:40,93.0,16:04,17:27,03:42,05:05
2016-04-25,20:43:20,21:47:13,3832,01:44:25,02:47:41,3796,18:31,08:31,87.3,16:03,17:26,03:43,05:05
