Time Zone: UT
Track limitation: between sunset and sunrise

Target,RA,Dec,Equinox
NGC4696C,12:48:02.7,-40:49:06.8,2000.0

Beginning of Night,East Track Start (NGC4696C),East Track End (NGC4696C),East Track Length (NGC4696C),West Track Start (NGC4696C),West Track End (NGC4696C),West Track Length (NGC4696C),Moonrise,Moonset,Illuminated fraction of the Moon,Sunset,End of Evening Twilight,Beginning of Morning Twilight,Sunrise
2016-04-08,18:39:00,19:46:54,4074,00:44:01,01:52:03,4082,06:55,17:23,3.7,16:23,17:44,03:32,04:54
2016-04-09,18:35:04,19:42:58,4074,00:40:05,01:48:07,4082,08:03,18:11,9.6,16:21,17:43,03:33,04:54
2016-04-10,18:31:08,19:39:02,4074,00:36:09,01:44:11,4082,09:07,19:02,17.7,16:20,17:42,03:33,04:55
2016-04-11,18:27:12,19:35:06,4074,00:32:13,01:40:15,4082,10:06,19:56,27.3,16:19,17:41,03:34,04:56
2016-04-12,18:23:16,19:31:10,4074,00:28:17,01:36:20,4082,11:00,20:52,37.7,16:18,17:39,03:35,04:56
2016-04-13,18:19:20,19:27:15,4074,00:24:21,01:32:24,4082,11:48,21:49,48.4,16:17,17:38,03:35,04:57
2016-04-14,18:15:24,19:23:19,4074,00:20:25,01:28:28,4082,n/a,22:46,58.7,16:15,17:37,03:36,04:58
2016-04-15,18:11:28,19:19:23,4074,00:16:29,01:24:32,4082,12:31,23:42,68.5,16:14,17:36,03:36,04:58
2016-04-16,18:07:32,19:15:27,4074,00:12:33,01:20:36,4082,13:10,00:37,77.2,16:13,17:35,03:37,04:59
2016-04-17,18:03:37,19:11:31,4074,00:08:38,01:16:40,4082,13:46,01:31,84.8,16:12,17:34,03:38,05:00
2016-04-18,17:59:41,19:07:35,4074,00:04:42,01:12:44,4082,14:20,02:24,91.0,16:11,17:33,03:38,05:00
2016-04-19,17:55:45,19:03:39,4074,00:00:46,01:08:48,4082,14:52,03:17,95.6,16:10,17:32,03:39,05:01
2016-04-20,17:51:49,18:59:43,4074,23:56:50,01:04:52,4082,15:25,04:09,98.6,16:09,17:31,03:40,05:02
2016-04-21,17:47:53,18:55:47,4074,23:52:54,01:00:56,4082,15:58,05:02,99.9,16:08,17:30,03:40,05:03
2016-04-22,17:43:57,18:51:51,4074,23:48:58,00:57:00,4082,16:32,05:54,99.3,16:06,17:29,03:41,05:03
2016-04-23,17:40:01,18:47:55,4074,23:45:02,00:53:05,4082,17:09,06:47,97.0,16:05,17:28,03:41,05:04
2016-04-24,17:36:05,18:44:00,4074,23:41:06,00:49:09,4082,17:48,07:40,93.0,16:04,17:27,03:42,05:05
2016-04-25,17:32:09,18:40:04,4074,23:37:10,00:45:13,4082,18:31,08:31,87.3,16:03,17:26,03:43,05:05
2016-04-26,17:28:13,18:36:08,4074,23:33:14,00:41:17,4082,19:17,09:22,80.1,16:02,17:25,03:43,05:06
2016-04-27,17:24:17,18:32:12,4074,23:29:18,00:37:21,4082,20:08,10:10,71.6,16:01,17:24,03:44,05:07
2016-04-28,17:20:22,18:28:16,4074,23:25:23,00:33:25,4082,21:02,10:57,62.1,16:00,17:23,03:44,05:07
2016-04-29,17:16:26,18:24:20,4074,23:21:27,00:29:29,4082,21:59,11:41,51.7,15:59,17:22,03:45,05:08
2016-04-30,17:12:30,18:20:24,4074,23:17:31,00:25:33,4082,22:59,n/a,40.9,15:58,17:21,03:46,05:09
2016-05-01,17:08:34,18:16:28,4074,23:13:35,00:21:37,4082,00:02,12:23,30.2,15:57,17:21,03:46,05:10
2016-05-02,17:04:38,18:12:32,4074,23:09:39,00:17:41,4082,01:06,13:04,20.2,15:56,17:20,03:47,05:10
2016-05-03,17:00:42,18:08:36,4074,23:05:43,00:13:45,4082,02:13,13:45,11.6,15:56,17:19,03:47,05:11
2016-05-04,16:56:46,18:04:40,4074,23:01:47,00:09:50,4082,03:21,14:27,5.0,15:55,17:18,03:48,05:12
2016-05-05,16:52:50,18:00:45,4074,22:57:51,00:05:54,4082,04:30,15:11,1.1,15:54,17:18,03:49,05:12
2016-05-06,16:48:54,17:56:49,4074,22:53:55,00:01:58,4082,05:40,15:57,0.2,15:53,17:17,03:49,05:13
2016-05-07,16:44:58,17:52:53,4074,22:49:59,23:58:02,4082,06:47,16:47,2.3,15:52,17:16,03:50,05:14
2016-05-08,16:41:02,17:48:57,4074,22:46:04,23:54:06,4082,07:51,17:41,7.2,15:51,17:15,03:50,05:15
2016-05-09,16:37:07,17:45:01,4074,22:42:08,23:50:10,4082,08:49,18:38,14.3,15:51,17:15,03:51,05:15
2016-05-10,16:33:11,17:41:05,4074,22:38:12,23:46:14,4082,09:42,19:36,23.1,15:50,17:14,03:51,05:16
2016-05-11,16:29:15,17:37:09,4074,22:34:16,23:42:18,4082,10:28,20:35,32.8,15:49,17:14,03:52,05:17
2016-05-12,16:25:19,17:33:13,4074,22:30:20,23:38:22,4082,11:10,21:34,42.9,15:48,17:13,03:53,05:17
2016-05-13,16:21:23,17:29:17,4074,22:26:24,23:34:26,4082,11:47,22:30,53.0,15:48,17:12,03:53,05:18
2016-05-14,16:17:27,17:25:21,4074,22:22:28,23:30:30,4082,n/a,23:25,62.8,15:47,17:12,03:54,05:19
2016-05-15,16:13:31,17:21:25,4074,22:18:32,23:26:35,4082,12:22,00:19,71.8,15:46,17:11,03:54,05:19
2016-05-16,16:09:35,17:17:30,4074,22:14:36,23:22:39,4082,12:55,01:12,79.9,15:46,17:11,03:55,05:20
2016-05-17,16:05:39,17:13:34,4074,22:10:40,23:18:43,4082,13:27,02:04,86.9,15:45,17:10,03:55,05:21
2016-05-18,16:01:43,17:09:38,4074,22:06:44,23:14:47,4082,14:00,02:57,92.5,15:44,17:10,03:56,05:21
2016-05-19,15:57:47,17:05:42,4074,22:02:49,23:10:51,4082,14:33,03:49,96.7,15:44,17:09,03:56,05:22
2016-05-20,15:53:52,17:01:46,4074,21:58:53,23:06:55,4082,15:09,04:42,99.1,15:43,17:09,03:57,05:23
