Time Zone: UT
Track limitation: between sunset and sunrise

Target,RA,Dec,Equinox
NGC4696E,12:48:26.1,-40:56:11.4,2000.0

Beginning of Night,East Track Start (NGC4696E),East Track End (NGC4696E),East Track Length (NGC4696E),West Track Start (NGC4696E),West Track End (NGC4696E),West Track Length (NGC4696E),Moonrise,Moonset,Illuminated fraction of the Moon,Sunset,End of Evening Twilight,Beginning of Morning Twilight,Sunrise
2016-04-08,18:39:23,19:47:24,4080,00:44:24,01:52:33,4088,06:55,17:23,3.7,16:23,17:44,03:32,04:54
2016-04-09,18:35:27,19:43:28,4080,00:40:28,01:48:37,4088,08:03,18:11,9.6,16:21,17:43,03:33,04:54
2016-04-10,18:31:31,19:39:32,4080,00:36:32,01:44:41,4088,09:07,19:02,17.7,16:20,17:42,03:33,04:55
2016-04-11,18:27:35,19:35:36,4080,00:32:36,01:40:45,4088,10:06,19:56,27.3,16:19,17:41,03:34,04:56
2016-04-12,18:23:39,19:31:40,4080,00:28:40,01:36:49,4088,11:00,20:52,37.7,16:18,17:39,03:35,04:56
2016-04-13,18:19:44,19:27:44,4080,00:24:45,01:32:53,4088,11:48,21:49,48.4,16:17,17:38,03:35,04:57
2016-04-14,18:15:48,19:23:48,4080,00:20:49,01:28:57,4088,n/a,22:46,58.7,16:15,17:37,03:36,04:58
2016-04-15,18:11:52,19:19:52,4080,00:16:53,01:25:01,4088,12:31,23:42,68.5,16:14,17:36,03:36,04:58
2016-04-16,18:07:56,19:15:56,4080,00:12:57,01:21:06,4088,13:10,00:37,77.2,16:13,17:35,03:37,04:59
2016-04-17,18:04:00,19:12:01,4080,00:09:01,01:17:10,4088,13:46,01:31,84.8,16:12,17:34,03:38,05:00
2016-04-18,18:00:04,19:08:05,4080,00:05:05,01:13:14,4088,14:20,02:24,91.0,16:11,17:33,03:38,05:00
2016-04-19,17:56:08,19:04:09,4080,00:01:09,01:09:18,4088,14:52,03:17,95.6,16:10,17:32,03:39,05:01
2016-04-20,17:52:12,19:00:13,4080,23:57:13,01:05:22,4088,15:25,04:09,98.6,16:09,17:31,03:40,05:02
2016-04-21,17:48:16,18:56:17,4080,23:53:17,01:01:26,4088,15:58,05:02,99.9,16:08,17:30,03:40,05:03
2016-04-22,17:44:20,18:52:21,4080,23:49:21,00:57:30,4088,16:32,05:54,99.3,16:06,17:29,03:41,05:03
2016-04-23,17:40:25,18:48:25,4080,23:45:26,00:53:34,4088,17:09,06:47,97.0,16:05,17:28,03:41,05:04
2016-04-24,17:36:29,18:44:29,4080,23:41:30,00:49:38,4088,17:48,07:40,93.0,16:04,17:27,03:42,05:05
2016-04-25,17:32:33,18:40:33,4080,23:37:34,00:45:42,4088,18:31,08:31,87.3,16:03,17:26,03:43,05:05
2016-04-26,17:28:37,18:36:37,4080,23:33:38,00:41:46,4088,19:17,09:22,80.1,16:02,17:25,03:43,05:06
2016-04-27,17:24:41,18:32:41,4080,23:29:42,00:37:51,4088,20:08,10:10,71.6,16:01,17:24,03:44,05:07
2016-04-28,17:20:45,18:28:46,4080,23:25:46,00:33:55,4088,21:02,10:57,62.1,16:00,17:23,03:44,05:07
2016-04-29,17:16:49,18:24:50,4080,23:21:50,00:29:59,4088,21:59,11:41,51.7,15:59,17:22,03:45,05:08
2016-04-30,17:12:53,18:20:54,4080,23:17:54,00:26:03,4088,22:59,n/a,40.9,15:58,17:21,03:46,05:09
2016-05-01,17:08:57,18:16:58,4080,23:13:58,00:22:07,4088,00:02,12:23,30.2,15:57,17:21,03:46,05:10
2016-05-02,17:05:01,18:13:02,4080,23:10:02,00:18:11,4088,01:06,13:04,20.2,15:56,17:20,03:47,05:10
