Time Zone: UT
Track limitation: between sunset and sunrise

Target,RA,Dec,Equinox
RFGC3781,21:37:45.2,-38:29:33.2,2000.0

Beginning of Night,East Track Start (RFGC3781),East Track End (RFGC3781),East Track Length (RFGC3781),West Track Start (RFGC3781),West Track End (RFGC3781),West Track Length (RFGC3781),Moonrise,Moonset,Illuminated fraction of the Moon,Sunset,End of Evening Twilight,Beginning of Morning Twilight,Sunrise
2016-04-08,03:27:19,04:34:49,4050,n/a,n/a,0,06:55,17:23,3.7,16:23,17:44,03:32,04:54
2016-04-09,03:23:23,04:30:53,4050,n/a,n/a,0,08:03,18:11,9.6,16:21,17:43,03:33,04:54
2016-04-10,03:19:27,04:26:57,4050,n/a,n/a,0,09:07,19:02,17.7,16:20,17:42,03:33,04:55
2016-04-11,03:15:31,04:23:01,4050,n/a,n/a,0,10:06,19:56,27.3,16:19,17:41,03:34,04:56
2016-04-12,03:11:35,04:19:05,4050,n/a,n/a,0,11:00,20:52,37.7,16:18,17:39,03:35,04:56
2016-04-13,03:07:39,04:15:09,4050,n/a,n/a,0,11:48,21:49,48.4,16:17,17:38,03:35,04:57
2016-04-14,03:03:44,04:11:14,4050,n/a,n/a,0,n/a,22:46,58.7,16:15,17:37,03:36,04:58
2016-04-15,02:59:48,04:07:18,4050,n/a,n/a,0,12:31,23:42,68.5,16:14,17:36,03:36,04:58
2016-04-16,02:55:52,04:03:22,4050,n/a,n/a,0,13:10,00:37,77.2,16:13,17:35,03:37,04:59
2016-04-17,02:51:56,03:59:26,4050,n/a,n/a,0,13:46,01:31,84.8,16:12,17:34,03:38,05:00
2016-04-18,02:48:00,03:55:30,4050,n/a,n/a,0,14:20,02:24,91.0,16:11,17:33,03:38,05:00
2016-04-19,02:44:04,03:51:34,4050,n/a,n/a,0,14:52,03:17,95.6,16:10,17:32,03:39,05:01
2016-04-20,02:40:08,03:47:38,4050,n/a,n/a,0,15:25,04:09,98.6,16:09,17:31,03:40,05:02
2016-04-21,02:36:12,03:43:42,4050,n/a,n/a,0,15:58,05:02,99.9,16:08,17:30,03:40,05:03
2016-04-22,02:32:16,03:39:46,4050,n/a,n/a,0,16:32,05:54,99.3,16:06,17:29,03:41,05:03
2016-04-23,02:28:20,03:35:50,4050,n/a,n/a,0,17:09,06:47,97.0,16:05,17:28,03:41,05:04
2016-04-24,02:24:25,03:31:55,4050,n/a,n/a,0,17:48,07:40,93.0,16:04,17:27,03:42,05:05
2016-04-25,02:20:29,03:27:59,4050,n/a,n/a,0,18:31,08:31,87.3,16:03,17:26,03:43,05:05
2016-04-26,02:16:33,03:24:03,4050,n/a,n/a,0,19:17,09:22,80.1,16:02,17:25,03:43,05:06
2016-04-27,02:12:37,03:20:07,4050,n/a,n/a,0,20:08,10:10,71.6,16:01,17:24,03:44,05:07
2016-04-28,02:08:41,03:16:11,4050,n/a,n/a,0,21:02,10:57,62.1,16:00,17:23,03:44,05:07
2016-04-29,02:04:45,03:12:15,4050,n/a,n/a,0,21:59,11:41,51.7,15:59,17:22,03:45,05:08
2016-04-30,02:00:49,03:08:19,4050,n/a,n/a,0,22:59,n/a,40.9,15:58,17:21,03:46,05:09
2016-05-01,01:56:53,03:04:23,4050,n/a,n/a,0,00:02,12:23,30.2,15:57,17:21,03:46,05:10
2016-05-02,01:52:57,03:00:27,4050,n/a,n/a,0,01:06,13:04,20.2,15:56,17:20,03:47,05:10
2016-05-03,01:49:01,02:56:31,4050,n/a,n/a,0,02:13,13:45,11.6,15:56,17:19,03:47,05:11
2016-05-04,01:45:05,02:52:35,4050,n/a,n/a,0,03:21,14:27,5.0,15:55,17:18,03:48,05:12
2016-05-05,01:41:10,02:48:40,4050,n/a,n/a,0,04:30,15:11,1.1,15:54,17:18,03:49,05:12
2016-05-06,01:37:14,02:44:44,4050,n/a,n/a,0,05:40,15:57,0.2,15:53,17:17,03:49,05:13
2016-05-07,01:33:18,02:40:48,4050,n/a,n/a,0,06:47,16:47,2.3,15:52,17:16,03:50,05:14
2016-05-08,01:29:22,02:36:52,4050,n/a,n/a,0,07:51,17:41,7.2,15:51,17:15,03:50,05:15
2016-05-09,01:25:26,02:32:56,4050,n/a,n/a,0,08:49,18:38,14.3,15:51,17:15,03:51,05:15
2016-05-10,01:21:30,02:29:00,4050,n/a,n/a,0,09:42,19:36,23.1,15:50,17:14,03:51,05:16
2016-05-11,01:17:34,02:25:04,4050,n/a,n/a,0,10:28,20:35,32.8,15:49,17:14,03:52,05:17
2016-05-12,01:13:38,02:21:08,4050,n/a,n/a,0,11:10,21:34,42.9,15:48,17:13,03:53,05:17
2016-05-13,01:09:42,02:17:12,4050,n/a,n/a,0,11:47,22:30,53.0,15:48,17:12,03:53,05:18
2016-05-14,01:05:46,02:13:16,4050,n/a,n/a,0,n/a,23:25,62.8,15:47,17:12,03:54,05:19
2016-05-15,01:01:50,02:09:20,4050,n/a,n/a,0,12:22,00:19,71.8,15:46,17:11,03:54,05:19
2016-05-16,00:57:55,02:05:25,4050,n/a,n/a,0,12:55,01:12,79.9,15:46,17:11,03:55,05:20
2016-05-17,00:53:59,02:01:29,4050,n/a,n/a,0,13:27,02:04,86.9,15:45,17:10,03:55,05:21
2016-05-18,00:50:03,01:57:33,4050,n/a,n/a,0,14:00,02:57,92.5,15:44,17:10,03:56,05:21
2016-05-19,00:46:07,01:53:37,4050,n/a,n/a,0,14:33,03:49,96.7,15:44,17:09,03:56,05:22
2016-05-20,00:42:11,01:49:41,4050,n/a,n/a,0,15:09,04:42,99.1,15:43,17:09,03:57,05:23
2016-05-21,00:38:15,01:45:45,4050,n/a,n/a,0,15:47,05:35,99.8,15:43,17:09,03:58,05:23
2016-05-22,00:34:19,01:41:49,4050,n/a,n/a,0,16:29,06:28,98.6,15:42,17:08,03:58,05:24
2016-05-23,00:30:23,01:37:53,4050,n/a,n/a,0,17:15,07:19,95.6,15:42,17:08,03:59,05:25
2016-05-24,00:26:27,01:33:57,4050,n/a,n/a,0,18:04,08:09,90.7,15:41,17:07,03:59,05:25
2016-05-25,00:22:31,01:30:01,4050,n/a,n/a,0,18:57,08:56,84.0,15:41,17:07,04:00,05:26
2016-05-26,00:18:35,01:26:05,4050,n/a,n/a,0,19:53,09:40,75.8,15:41,17:07,04:00,05:27
2016-05-27,00:14:39,01:22:10,4050,n/a,n/a,0,20:52,10:22,66.3,15:40,17:07,04:01,05:27
2016-05-28,00:10:44,01:18:14,4050,n/a,n/a,0,21:52,11:03,55.7,15:40,17:06,04:01,05:28
2016-05-29,00:06:48,01:14:18,4050,n/a,n/a,0,22:54,11:42,44.6,15:40,17:06,04:02,05:28
2016-05-30,00:02:52,01:10:22,4050,n/a,n/a,0,23:57,n/a,33.6,15:39,17:06,04:02,05:29
2016-05-31,23:58:56,01:06:26,4050,n/a,n/a,0,01:02,12:22,23.1,15:39,17:06,04:03,05:29
2016-06-01,23:55:00,01:02:30,4050,n/a,n/a,0,02:09,13:03,13.9,15:39,17:06,04:03,05:30
2016-06-02,23:51:04,00:58:34,4050,n/a,n/a,0,03:17,13:46,6.7,15:38,17:06,04:03,05:31
2016-06-03,23:47:08,00:54:38,4050,n/a,n/a,0,04:25,14:33,2.0,15:38,17:05,04:04,05:31
2016-06-04,23:43:12,00:50:42,4050,n/a,n/a,0,05:31,15:25,0.2,15:38,17:05,04:04,05:32
2016-06-05,23:39:16,00:46:46,4050,n/a,n/a,0,06:33,16:20,1.3,15:38,17:05,04:05,05:32
2016-06-06,23:35:20,00:42:50,4050,n/a,n/a,0,07:30,17:19,5.0,15:38,17:05,04:05,05:33
2016-06-07,23:31:24,00:38:54,4050,n/a,n/a,0,08:21,18:19,11.0,15:38,17:05,04:06,05:33
2016-06-08,23:27:29,00:34:59,4050,05:32:26,05:33:57,90,09:05,19:19,18.7,15:38,17:05,04:06,05:33
2016-06-09,23:23:33,00:31:03,4050,05:28:30,05:34:23,352,09:46,20:18,27.5,15:38,17:05,04:06,05:34
2016-06-10,23:19:37,00:27:07,4050,05:24:34,05:34:48,613,10:22,21:16,37.0,15:38,17:05,04:07,05:34
2016-06-11,23:15:41,00:23:11,4050,05:20:38,05:35:12,873,10:56,22:11,46.8,15:38,17:05,04:07,05:35
2016-06-12,23:11:45,00:19:15,4050,05:16:42,05:35:35,1132,11:29,23:05,56.5,15:38,17:05,04:07,05:35
2016-06-13,23:07:49,00:15:19,4050,05:12:46,05:35:56,1390,n/a,23:58,65.8,15:38,17:05,04:08,05:35
2016-06-14,23:03:53,00:11:23,4050,05:08:51,05:36:17,1646,12:01,00:50,74.4,15:38,17:05,04:08,05:36
2016-06-15,22:59:57,00:07:27,4050,05:04:55,05:36:37,1902,12:34,01:43,82.1,15:38,17:06,04:08,05:36
2016-06-16,22:56:01,00:03:31,4050,05:00:59,05:36:55,2156,13:09,02:36,88.8,15:38,17:06,04:09,05:36
2016-06-17,22:52:05,23:59:35,4050,04:57:03,05:37:12,2409,13:46,03:29,94.0,15:38,17:06,04:09,05:37
2016-06-18,22:48:09,23:55:39,4050,04:53:07,05:37:28,2661,14:27,04:22,97.7,15:38,17:06,04:09,05:37
2016-06-19,22:44:14,23:51:44,4050,04:49:11,05:37:43,2911,15:11,05:15,99.6,15:38,17:06,04:09,05:37
2016-06-20,22:40:18,23:47:48,4050,04:45:15,05:37:56,3160,15:59,06:06,99.5,15:39,17:06,04:10,05:37
2016-06-21,22:36:22,23:43:52,4050,04:41:19,05:38:08,3408,16:52,06:54,97.4,15:39,17:07,04:10,05:38
2016-06-22,22:32:26,23:39:56,4050,04:37:23,05:38:19,3655,17:48,07:40,93.2,15:39,17:07,04:10,05:38
2016-06-23,22:28:30,23:36:00,4050,04:33:27,05:38:28,3900,18:46,08:23,87.0,15:39,17:07,04:10,05:38
2016-06-24,22:24:34,23:32:04,4050,04:29:31,05:35:53,3981,19:46,09:04,79.0,15:40,17:07,04:10,05:38
2016-06-25,22:20:38,23:28:08,4050,04:25:36,05:31:57,3981,20:47,09:44,69.4,15:40,17:08,04:10,05:38
2016-06-26,22:16:42,23:24:12,4050,04:21:40,05:28:01,3981,21:49,10:22,58.7,15:40,17:08,04:11,05:38
2016-06-27,22:12:46,23:20:16,4050,04:17:44,05:24:05,3981,22:52,11:02,47.4,15:41,17:08,04:11,05:38
2016-06-28,22:08:50,23:16:20,4050,04:13:48,05:20:09,3981,23:57,11:43,36.1,15:41,17:09,04:11,05:38
2016-06-29,22:04:54,23:12:24,4050,04:09:52,05:16:13,3981,01:02,n/a,25.4,15:41,17:09,04:11,05:38
2016-06-30,22:00:59,23:08:29,4050,04:05:56,05:12:17,3981,02:08,12:26,15.9,15:42,17:09,04:11,05:38
2016-07-01,21:57:03,23:04:33,4050,04:02:00,05:08:21,3981,03:13,13:14,8.3,15:42,17:10,04:11,05:38
2016-07-02,21:53:07,23:00:37,4050,03:58:04,05:04:25,3981,04:16,14:06,3.1,15:43,17:10,04:11,05:38
2016-07-03,21:49:11,22:56:41,4050,03:54:08,05:00:30,3981,05:15,15:02,0.5,15:43,17:10,04:11,05:38
2016-07-04,21:45:15,22:52:45,4050,03:50:12,04:56:34,3981,06:09,16:02,0.5,15:43,17:11,04:11,05:38
2016-07-05,21:41:19,22:48:49,4050,03:46:16,04:52:38,3981,06:57,17:02,3.1,15:44,17:11,04:11,05:38
2016-07-06,21:37:23,22:44:53,4050,03:42:21,04:48:42,3981,07:40,18:03,7.8,15:44,17:12,04:11,05:38
2016-07-07,21:33:27,22:40:57,4050,03:38:25,04:44:46,3981,08:19,19:02,14.4,15:45,17:12,04:11,05:38
2016-07-08,21:29:31,22:37:01,4050,03:34:29,04:40:50,3981,08:55,19:59,22.2,15:45,17:12,04:10,05:37
2016-07-09,21:25:35,22:33:05,4050,03:30:33,04:36:54,3981,09:29,20:55,31.0,15:46,17:13,04:10,05:37
2016-07-10,21:21:39,22:29:09,4050,03:26:37,04:32:58,3981,10:01,21:49,40.3,15:46,17:13,04:10,05:37
2016-07-11,21:17:44,22:25:14,4050,03:22:41,04:29:02,3981,10:34,22:42,49.8,15:47,17:14,04:10,05:37
2016-07-12,21:13:48,22:21:18,4050,03:18:45,04:25:06,3981,11:08,23:34,59.2,15:47,17:14,04:10,05:36
2016-07-13,21:09:52,22:17:22,4050,03:14:49,04:21:10,3981,11:44,00:27,68.3,15:48,17:15,04:09,05:36
2016-07-14,21:05:56,22:13:26,4050,03:10:53,04:17:15,3981,n/a,01:20,76.8,15:49,17:15,04:09,05:36
2016-07-15,21:02:00,22:09:30,4050,03:06:57,04:13:19,3981,12:23,02:13,84.4,15:49,17:16,04:09,05:35
2016-07-16,20:58:04,22:05:34,4050,03:03:01,04:09:23,3981,13:05,03:06,90.8,15:50,17:16,04:09,05:35
2016-07-17,20:54:08,22:01:38,4050,02:59:06,04:05:27,3981,13:52,03:58,95.7,15:50,17:17,04:08,05:34
2016-07-18,20:50:12,21:57:42,4050,02:55:10,04:01:31,3981,14:43,04:48,98.8,15:51,17:17,04:08,05:34
2016-07-19,20:46:16,21:53:46,4050,02:51:14,03:57:35,3981,15:39,05:36,99.9,15:52,17:18,04:07,05:33
2016-07-20,20:42:20,21:49:50,4050,02:47:18,03:53:39,3981,16:37,06:22,98.7,15:52,17:18,04:07,05:33
2016-07-21,20:38:24,21:45:54,4050,02:43:22,03:49:43,3981,17:38,07:04,95.1,15:53,17:19,04:07,05:32
2016-07-22,20:34:28,21:41:59,4050,02:39:26,03:45:47,3981,18:40,07:45,89.3,15:53,17:19,04:06,05:32
2016-07-23,20:30:33,21:38:03,4050,02:35:30,03:41:51,3981,19:43,08:24,81.4,15:54,17:20,04:06,05:31
2016-07-24,20:26:37,21:34:07,4050,02:31:34,03:37:55,3981,20:46,09:03,71.8,15:55,17:20,04:05,05:31
2016-07-25,20:22:41,21:30:11,4050,02:27:38,03:34:00,3981,21:50,09:43,61.1,15:55,17:21,04:05,05:30
2016-07-26,20:18:45,21:26:15,4050,02:23:42,03:30:04,3981,22:54,10:25,49.6,15:56,17:21,04:04,05:29
2016-07-27,20:14:49,21:22:19,4050,02:19:46,03:26:08,3981,23:58,11:11,38.2,15:57,17:22,04:04,05:29
2016-07-28,20:10:53,21:18:23,4050,02:15:51,03:22:12,3981,01:02,11:59,27.4,15:57,17:22,04:03,05:28
2016-07-29,20:06:57,21:14:27,4050,02:11:55,03:18:16,3981,02:05,n/a,17.9,15:58,17:23,04:02,05:27
2016-07-30,20:03:01,21:10:31,4050,02:07:59,03:14:20,3981,03:04,12:52,10.0,15:59,17:23,04:02,05:26
2016-07-31,19:59:05,21:06:35,4050,02:04:03,03:10:24,3981,03:59,13:49,4.3,15:59,17:24,04:01,05:26
2016-08-01,19:55:09,21:02:39,4050,02:00:07,03:06:28,3981,04:49,14:48,1.0,16:00,17:24,04:01,05:25
2016-08-02,19:51:13,20:58:44,4050,01:56:11,03:02:32,3981,05:34,15:48,0.1,16:01,17:25,04:00,05:24
2016-08-03,19:47:18,20:54:48,4050,01:52:15,02:58:36,3981,06:15,16:48,1.5,16:01,17:25,03:59,05:23
2016-08-04,19:43:22,20:50:52,4050,01:48:19,02:54:40,3981,06:52,17:46,5.0,16:02,17:26,03:58,05:22
