Time Zone: UT
Track limitation: between sunset and sunrise

Target,RA,Dec,Equinox
UGC09277,14:28:33.3,+03:15:43.2,2000.0

Beginning of Night,East Track Start (UGC09277),East Track End (UGC09277),East Track Length (UGC09277),West Track Start (UGC09277),West Track End (UGC09277),West Track Length (UGC09277),Moonrise,Moonset,Illuminated fraction of the Moon,Sunset,End of Evening Twilight,Beginning of Morning Twilight,Sunrise
2016-04-08,22:08:56,01:42:11,12794,n/a,n/a,0,06:55,17:23,3.7,16:23,17:44,03:32,04:54
2016-04-09,22:05:00,01:38:15,12794,n/a,n/a,0,08:03,18:11,9.6,16:21,17:43,03:33,04:54
2016-04-10,22:01:05,01:34:19,12794,n/a,n/a,0,09:07,19:02,17.7,16:20,17:42,03:33,04:55
2016-04-11,21:57:09,01:30:23,12794,n/a,n/a,0,10:06,19:56,27.3,16:19,17:41,03:34,04:56
2016-04-12,21:53:13,01:26:27,12794,n/a,n/a,0,11:00,20:52,37.7,16:18,17:39,03:35,04:56
2016-04-13,21:49:17,01:22:31,12794,n/a,n/a,0,11:48,21:49,48.4,16:17,17:38,03:35,04:57
2016-04-14,21:45:21,01:18:35,12794,n/a,n/a,0,n/a,22:46,58.7,16:15,17:37,03:36,04:58
2016-04-15,21:41:25,01:14:40,12794,n/a,n/a,0,12:31,23:42,68.5,16:14,17:36,03:36,04:58
2016-04-16,21:37:29,01:10:44,12794,n/a,n/a,0,13:10,00:37,77.2,16:13,17:35,03:37,04:59
2016-04-17,21:33:33,01:06:48,12794,n/a,n/a,0,13:46,01:31,84.8,16:12,17:34,03:38,05:00
2016-04-18,21:29:37,01:02:52,12794,n/a,n/a,0,14:20,02:24,91.0,16:11,17:33,03:38,05:00
2016-04-19,21:25:41,00:58:56,12794,n/a,n/a,0,14:52,03:17,95.6,16:10,17:32,03:39,05:01
2016-04-20,21:21:46,00:55:00,12794,n/a,n/a,0,15:25,04:09,98.6,16:09,17:31,03:40,05:02
2016-04-21,21:17:50,00:51:04,12794,n/a,n/a,0,15:58,05:02,99.9,16:08,17:30,03:40,05:03
2016-04-22,21:13:54,00:47:08,12794,n/a,n/a,0,16:32,05:54,99.3,16:06,17:29,03:41,05:03
2016-04-23,21:09:58,00:43:12,12794,n/a,n/a,0,17:09,06:47,97.0,16:05,17:28,03:41,05:04
2016-04-24,21:06:02,00:39:16,12794,n/a,n/a,0,17:48,07:40,93.0,16:04,17:27,03:42,05:05
2016-04-25,21:02:06,00:35:21,12794,n/a,n/a,0,18:31,08:31,87.3,16:03,17:26,03:43,05:05
2016-04-26,20:58:10,00:31:25,12794,n/a,n/a,0,19:17,09:22,80.1,16:02,17:25,03:43,05:06
