Time Zone: UT
Track limitation: between sunset and sunrise

Target,RA,Dec,Equinox
VCC0665,12:23:44.6,+09:20:17.3,2000.0

Beginning of Night,East Track Start (VCC0665),East Track End (VCC0665),East Track Length (VCC0665),West Track Start (VCC0665),West Track End (VCC0665),West Track Length (VCC0665),Moonrise,Moonset,Illuminated fraction of the Moon,Sunset,End of Evening Twilight,Beginning of Morning Twilight,Sunrise
2016-04-08,20:55:04,22:46:28,6683,n/a,n/a,0,06:55,17:23,3.7,16:23,17:44,03:32,04:54
2016-04-09,20:51:09,22:42:32,6683,n/a,n/a,0,08:03,18:11,9.6,16:21,17:43,03:33,04:54
2016-04-10,20:47:13,22:38:36,6683,n/a,n/a,0,09:07,19:02,17.7,16:20,17:42,03:33,04:55
2016-04-11,20:43:17,22:34:40,6683,n/a,n/a,0,10:06,19:56,27.3,16:19,17:41,03:34,04:56
2016-04-12,20:39:21,22:30:44,6683,n/a,n/a,0,11:00,20:52,37.7,16:18,17:39,03:35,04:56
2016-04-13,20:35:25,22:26:48,6683,n/a,n/a,0,11:48,21:49,48.4,16:17,17:38,03:35,04:57
2016-04-14,20:31:29,22:22:53,6683,n/a,n/a,0,n/a,22:46,58.7,16:15,17:37,03:36,04:58
2016-04-15,20:27:33,22:18:57,6683,n/a,n/a,0,12:31,23:42,68.5,16:14,17:36,03:36,04:58
2016-04-16,20:23:37,22:15:01,6683,n/a,n/a,0,13:10,00:37,77.2,16:13,17:35,03:37,04:59
2016-04-17,20:19:41,22:11:05,6683,n/a,n/a,0,13:46,01:31,84.8,16:12,17:34,03:38,05:00
2016-04-18,20:15:45,22:07:09,6683,n/a,n/a,0,14:20,02:24,91.0,16:11,17:33,03:38,05:00
2016-04-19,20:11:49,22:03:13,6683,n/a,n/a,0,14:52,03:17,95.6,16:10,17:32,03:39,05:01
2016-04-20,20:07:54,21:59:17,6683,n/a,n/a,0,15:25,04:09,98.6,16:09,17:31,03:40,05:02
2016-04-21,20:03:58,21:55:21,6683,n/a,n/a,0,15:58,05:02,99.9,16:08,17:30,03:40,05:03
2016-04-22,20:00:02,21:51:25,6683,n/a,n/a,0,16:32,05:54,99.3,16:06,17:29,03:41,05:03
2016-04-23,19:56:06,21:47:29,6683,n/a,n/a,0,17:09,06:47,97.0,16:05,17:28,03:41,05:04
2016-04-24,19:52:10,21:43:33,6683,n/a,n/a,0,17:48,07:40,93.0,16:04,17:27,03:42,05:05
