galaxyName,target type,right ascension,declination,AGNname,degreesJ2000RA_DecAGN,equinox,bandpass,minimum magnitude,maximum magnitude,mu,auto_mu,auto_2_mu,ranking,new_ranking,observing time,new_Texp,new_s/n,maximum lunar phase,exposure time,s/n,morphology,galaxyRedshift,slit width,grating,camera station,grating angle,h-alpha,ca_h_k,impactParameter (kpc),vcorrGalaxy (km/s),majorAxis (kpc),major_radius,minor_radius,angDiameter (arcsec),angDiameter (arcsec),likelihood,possible_lya,inclination (deg),PA,positionAngle (deg),azimuth (deg),RC3type,RC3pa (deg),groups_dist_std (Mpc)
IC1746_ca,SpiralG,28.60129,4.80389,PHL1226,"('28.61667', '4.80556')",2000,B,14.75,14.75,24.47,23.68046308,24.00393218,High,High,511,4500,3,100,500,76,S0,0.017342,3,pg3000,74.5,37.25,6676.612078,4001.206086,18.69908469,4934.13,28.3,42,15,30,"(84.0, 30.0)",0.98857954,?,69,93,x,9.2,.L.....,93,[]
CGCG021-049_ca,Galaxy,228.18209,1.46487,SDSSJ151237.15+012846.0,"('228.155', '1.47944')",2000,B,15.4,15.4,,24.07320491,25.05111687,High,"low, none",611,,,75,600,48,S0 - probably,0.029334,1,pg3000,75.25,37.625,6755.313175,4048.370622,68.14797535,9014.97,33.98,27.6,22.63,45.26,"(55.2, 45.26)",0.888227744,"8817, DLA",34,170,170,51.7,x,x,[]
NGC3513,SpiralG,165.942,-23.2455,H1101-232,"('165.90708', '-23.49194')",2000,B,11.93,11.93,22.08,22.00765327,20.52365247,High,"med/low, confusion with NGC3511",59,,,25,33,100,SB(s)c         HII,0.003983,0.6,pg2300,98.5,49.25,6588.939632,3948.665139,57.05013018,1418.58,20.88,163.75,62.225,124.45,"(327.5, 124.45)",0.849878689,"1203, strong",67,120,120,67.4,.SBT5..,75,[]
NGC3511,SpiralG,165.84904,-23.08678,H1101-232,"('165.90708', '-23.49194')",2000,B,11.53,11.53,22.24,21.79170433,20.35991488,High,"med/low, confusion with NGC3513",47,,,25,22,100,SAB(s)c;HII    Sy1,0.003699,0.6,pg2300,98.5,49.25,6587.075797,3947.548167,98.4261152,1333.89,23.28,174,60,120,"(348.0, 120.0)  ",0.659243525,"1203, strong, confusion with NGC3513",69,76,x,83.5,.SAS5..,76,[]
UGC09760,SpiralG,228.01018,1.69874,SDSSJ151237.15+012846.0,"('228.155', '1.47944')",2000,B,14.6,14.6,,24.43985242,23.84393423,High,Medium/low,310,,,90,300,76,Sd,0.006748,0.6,pg2300,100,50,6607.085774,3959.539884,136.6698938,2244.8,28.17,97.5,6.6,13.2,"(195.0, 13.2)",0.539288755,"2051, strong",86,57,x,89.6,.S..7./,57,"[('LGG393', '28.8064340933', '2.35090202524')]"
NGC5364,SpiralG,209.05,5.01447,SDSSJ135726.27+043541.4,"('209.35917', '4.59472')",2000,B,11.2,11.2,,22.06608931,21.04537853,High,"med/low, confusing field",42,,,25,17,100,SA(rs)bc pec   HII,0.00414,0.6,pg2300,98.5,49.25,6589.969992,3949.28262,183.1138939,1516.42,37.16,190.2,108.415,216.83,"(380.4, 216.83)",0.469364012,"1124, 1296, strong",55,48,48,84.3,.SAT4P.,30,[]
NGC4939,SpiralG,196.05996,-10.33961,PG1302-102,"('196.3875', '-10.55556')",2000,B,11.9,11.9,,21.60214385,20.50816356,High,"High, in pilot paper",54,400,8.5,25,36,100,SA(s)bc        Sy2,0.010374,2,pg2300,100,50,6630.882487,3973.800942,264.7658706,3381.83,21.02,115.1,79.42,158.84,"(230.2, 158.84)",0.281977952,"3447, possibly OVI though",46,5,10,61.2,.SAS4..,10,[]
NGC0713,SpiralG,28.83972,-9.08375,SDSSJ015530.02-085704.0,"('28.875', '-8.95111')",2000,B,15,15,,23.84400132,24.17342569,High,"None, moved out of window",260,,,90,250,58,Sc(f),0.017475,0.6,pg2300,100,50,6677.48493,4001.729175,167.2386149,4960.81,27.27,40.25,11.27,22.54,"(80.5, 22.54)",0.380221013,"4761, strong",73,95,95,80.3,x,x,[]
MCG-04-26-019,SpiralG,165.70883,-23.59161,H1101-232,"('165.90708', '-23.49194')",2000,B,13.9,13.9,,23.1690366,23.12457707,High,"high, line and alone",110,1200,8.5,25,100,100,(R:)SA:(s)ab   HII,0.012086,2,pg2300,100,50,6642.118001,3980.534238,179.153512,3846.16,27.92,58.15,24.425,48.85,"(116.3, 48.85)",0.341569016,"3580, strong",65,35,35,26.3,PSXT2..,30,[]
MCG-05-01-020_ca,EllipticalG,359.90754,-30.65583,RBS2070,"('359.7825', '-30.6275')",2000,B,15.5,15.5,,24.25402114,25.19038049,High,"None, confusion",510,,,100,500,59,E,0.029891,1,pg3000,75.25,37.625,6758.968655,4050.561303,237.2931127,8677.05,34.6,29.2,15.77,31.54,"(58.4, 31.54)",0.24618591,"8966, strong",57,115,115,10.2,x,x,[]
