galaxyName,AGNname,degreesJ2000RA_DecAGN,degreesJ2000RA_DecGalaxy,impactParameter (kpc),vcorrGalaxy (km/s),distGalaxy (Mpc),majorAxis (kpc),minorAxis (kpc),angDiameter (arcsec),B_median,Lstar,likelihood,possible_lya,inclination (deg),positionAngle (deg),azimuth (deg),RC3type,RC3pa (deg),morphology,AGNredshift,galaxyRedshift,groups_dist_std (Mpc)
IC1746,PHL1226,"('28.61667', '4.80556')","('28.60129', '4.80389')",18.69908469,4934.13,69.49480758,28.3,10.11,"(84.0, 30.0)",14.75,1.0165,0.98857954,?,69,x,9.2,.L.....,93,S0,0.404,0.017342,[]
NGC4235,SDSSJ121640.60+071224.0,"('184.16917', '7.20667')","('184.29117', '7.19158')",61.31144526,2708.22,28.8,31.71,10.78,"(227.1, 77.21)",11.89,2.2588,0.899835154,x,70,50,47.1,.SAS1./,48,SA(s)a         Sy1,0.587,0.008039,[]
CGCG021-049,SDSSJ151237.15+012846.0,"('228.155', '1.47944')","('228.18209', '1.46487')",68.14797535,9014.97,126.9714565,33.98,27.86,"(55.2, 45.26)",15.4,x,0.888227744,"8817, DLA",34,170,51.7,x,x,x,0.265,0.029334,[]
NGC3513,H1101-232,"('165.90708', '-23.49194')","('165.942', '-23.2455')",57.05013018,1418.58,13.153,20.88,7.94,"(327.5, 124.45)",11.93,0.5076,0.849878689,"1203, strong",67,120,67.4,.SBT5..,75,SB(s)c         HII,0.186,0.003983,[]
NGC3640,RX_J1121.2+0326,"('170.30917', '3.42944')","('170.27854', '3.23483')",83.37775179,1534.68,24.25,29.6,23.68,"(251.8, 201.44)",11.4,0.1905,0.806829,x,36,100,88.9,.E.3...,100,E3,0.152,0.004173,[]
CGCG039-137,RX_J1121.2+0326,"('170.30917', '3.42944')","('170.36231', '3.44491')",97.60481096,7185.99,101.2111385,26.35,9.48,"(53.7, 19.33)",16.1,0.1558,0.707969292,x,68,145,71.3,x,x,x,0.152,0.023022,[]
NGC3511,H1101-232,"('165.90708', '-23.49194')","('165.84904', '-23.08678')",98.4261152,1333.89,13.8,23.28,8.03,"(348.0, 120.0)  ",11.53,0.0041,0.659243525,"1203, strong, confusion with NGC3513",69,x,83.5,.SAS5..,76,SAB(s)c;HII    Sy1,0.186,0.003699,[]
NGC4596,LBQS1238+1006,"('190.14792', '9.82806')","('189.98311', '10.17614')",112.6124443,2169.2,16.799999,24.35,11.69,"(298.9, 143.47)",11.5,1.1078,0.598918223,x,61,75,80,.LBR+..,135,SB(r)0+       LINER:,1.045,0.006238,[]
UGC09760,SDSSJ151237.15+012846.0,"('228.155', '1.47944')","('228.01018', '1.69874')",136.6698938,2244.8,29.8,28.17,1.91,"(195.0, 13.2)",14.6,0.018,0.539288755,"2051, strong",86,x,89.6,.S..7./,57,Sd,0.265,0.006748,"[('LGG393', '28.8064340933', '2.35090202524')]"
NGC0078A,UM228,"('5.25417', '0.87972')","('5.10745', '0.82635')",183.7299211,4787.73,67.43287946,37.83,19.67,"(115.7, 60.16)",14.8,1.0966,0.475719865,"x, close pair with NGC0078B",58,70,0,.SBR0*.,80,SB(r)0/a:,0.098,0.016942,[]
NGC5364,SDSSJ135726.27+043541.4,"('209.35917', '4.59472')","('209.05', '5.01447')",183.1138939,1516.42,20.15,37.16,21.18,"(380.4, 216.83)",11.2,0.0329,0.469364012,"1124, 1296, strong",55,48,84.3,.SAT4P.,30,SA(rs)bc pec   HII,1.234,0.00414,[]
NGC0731,SDSSJ015530.02-085704.0,"('28.875', '-8.95111')","('28.7342', '-9.01081')",132.2096694,3553.64,50.05124025,23.05,20.75,"(95.0, 85.5)",13.46,2.4789,0.466661941,"4761, strong",25,150,83.2,.E+..*.,-99,E+:,0.1644,0.012782,[]
UGC08979,SDSSJ140347.22+062812.1,"('210.94667', '6.47')","('211.03192', '6.48589')",182.7580075,7709.47,121.5,36.76,9.55,"(62.4, 16.22)",16,x,0.465437862,"7500, strong but no ID",74,15,64.4,x,x,Sbc,0.0843,0.024807,[]
NGC4224,SDSSJ121640.60+071224.0,"('184.16917', '7.20667')","('184.14077', '7.46209')",157.4215864,2901.32,35.099998,28.72,14.94,"(168.8, 87.78)",12.52,1.8991,0.450368196,x,58,55,61.3,.SAS1*/,57,SA(s)a: sp;Sy  LINER,0.587,0.008683,[]
NGC0078B,UM228,"('5.25417', '0.87972')","('5.11464', '0.83355')",189.1399684,5235.74,73.74284986,36.47,26.99,"(102.0, 75.48)",14.5,1.4919,0.436868166,"x, close pair with NGC0078A",42,140,68.3,.SBR0*.,80,S0^0^ pec?,0.098,0.018436,[]
UGC08186,SDSSJ130524.30+035731.0,"('196.35125', '3.95861')","('196.49433', '3.95644')",248.6567219,7298.15,99.8,52.84,12.68,"(109.2, 26.21)",15.35,1.1492,0.423988777,x,76,105,14.1,x,x,Scd(f),0.545,0.023369,[]
NGC0713,SDSSJ015530.02-085704.0,"('28.875', '-8.95111')","('28.83972', '-9.08375')",167.2386149,4960.81,69.87052328,27.27,7.64,"(80.5, 22.54)",15,x,0.380221013,"4761, strong",73,95,80.3,x,x,Sc(f),0.1644,0.017475,[]
MCG-03-58-009,MRC2251-178,"('343.52458', '-17.58194')","('343.42021', '-17.47889')",320.0509932,8753.81,128,67.89,35.3,"(109.4, 56.89)",15.04,1.0739,0.365722514,"9051,weak",58,175,39,.S?....,27,Sc,0.0661,0.030121,[]
MCG-04-26-019,H1101-232,"('165.90708', '-23.49194')","('165.70883', '-23.59161')",179.153512,3846.16,49.52,27.92,11.73,"(116.3, 48.85)",13.9,1.6304,0.341569016,"3580, strong",65,35,26.3,PSXT2..,30,(R:)SA:(s)ab   HII,0.186,0.012086,[]
2MASXJ11005006+1042257,4C10.3,"('165.19958', '10.77056')","('165.20864', '10.70738')",159.4102299,10163.65,143.1499334,20.06,9.91,"(28.9, 14.28)",18.2,x,0.261271485,x,60,35,43,.SXT4..,-99,x,0.42,0.03297,[]
MCG-05-01-020,RBS2070,"('359.7825', '-30.6275')","('359.90754', '-30.65583')",237.2931127,8677.05,122.2119212,34.6,18.69,"(58.4, 31.54)",15.5,x,0.24618591,"8966, strong",57,115,10.2,x,x,E,0.165,0.029891,[]
NGC0988,NGC985,"('38.6575', '-8.7875')","('38.86563', '-9.35619')",180.9979924,1254.64,17.15,22.95,12.47,"(276.0, 150.0)",11.7,0.0039,0.237631247,?,57,x,x,.SBS6*.,-99,SB(s)cd:       HII,0.0431,0.005037,"[('LGG71', '16.2312018793', '1.219838272')]"
NGC4380,LBQS1220+1006,"('185.80042', '9.83861')","('186.34238', '10.01681')",195.8652921,1262.6,19.94,25.38,17.76,"(262.5, 183.75)",12.66,0.93,0.231172385,x,45,165,86.5,.SAT3*$,153,SA(rs)b:?;Sy   LINER,0.276,0.003212,[]
2dFGRSS357Z063,RBS2070,"('359.7825', '-30.6275')","('359.90758', '-30.65589')",239.1202735,8740.05,123.0992462,32.94,22.2,"(55.2, 37.2)",14.97,2.3845,0.217999895,"8966, strong",47,x,x,x,x,x,0.165,0.0301,[]
UGC04239,SDSSJ080838.80+051440.0,"('122.16167', '5.24444')","('121.99208', '5.20667')",378.3226481,8893.11,125.2551175,55.81,40.18,"(91.9, 66.17)",15.3,x,0.15851862,"8927, 8740, strong",43,115,37.6,x,x,S,0.361,0.02923,[]
NGC4246,SDSSJ121640.60+071224.0,"('184.16917', '7.20667')","('184.49216', '7.18591')",333.6953643,4018.26,59.54,42.12,37.06,"(145.9, 128.39)",13.38,2.472,0.120870734,x,28,90,3.7,.SAS5..,83,SA(s)c,0.587,0.012409,[]
2MASXJ11005426+1041087,4C10.3,"('165.19958', '10.77056')","('165.2262', '10.68571')",213.8473985,9797.67,137.995377,21.21,9.75,"(31.7, 14.58)",18.32,0.1419,0.106824655,x,62,35,52.1,x,x,S0,0.42,0.031749,[]
SDSSJ021315.79-073942.7,SDSSJ021218.32-073719.8,"('33.07625', '-7.62222')","('33.31582', '-7.66188')",268.1771169,4531.79,63.82800065,28.29,18.11,"(91.43, 58.51)",13.87,0.2869,0.094072736,"4756,4833, strong",50,109,9.5,PSBT1..,-99,x,0.1739,0.016011,[]
NGC3630,RX_J1121.2+0326,"('170.30917', '3.42944')","('170.07075', '2.96439')",236.1617344,1768.14,25.9,21.4,9.63,"(170.4, 76.68)",12.91,0.0821,0.067588797,x,63,37,9.9,.L..../,37,S0,0.152,0.004953,[]
NGC4233,SDSSJ121640.60+071224.0,"('184.16917', '7.20667')","('184.28201', '7.6244')",260.3990517,2669.44,34.5,24.19,13.54,"(144.6, 80.98)",12.9,1.2948,0.062909499,x,55,175,20,.L..0..,174,S0^0^,0.587,0.007909,[]
NGC4316,LBQS1220+1006,"('185.80042', '9.83861')","('185.676', '9.33247')",293.3671093,1549.35,32.275,27.27,5.45,"(174.3, 34.86)",13.6,1.3596,0.051015835,x,78,110,83.6,.S..6?.,113,Sbc;Sy         LINER,0.276,0.00417,[]
NGC4536,HE1228+0131,"('187.70833', '1.25583')","('188.61271', '2.18814')",347.2467113,2102.59,15.321,33.87,14.26,"(456.0, 192.0)",11.16,0.0006,0.045446024,"1854, 2311, strong",65,x,85.9,.SXT4..,130,SAB(rs)bc;HII  Sbrst,0.117,0.006031,[]
