galaxyName,target type,right ascension,declination,equinox,bandpass,minimum magnitude,maximum magnitude,ranking,observing time,maximum lunar phase,exposure time,extra overhead,morphology,galaxyRedshift,slit width,grating,camera station,grating angle,h-alpha,impactParameter (kpc),vcorrGalaxy (km/s),majorAxis (kpc),angDiameter (arcsec),likelihood,possible_lya,inclination (deg),PA,positionAngle (deg),azimuth (deg),RC3type,RC3pa (deg),groups_dist_std (Mpc)
IC1746,SpiralG,28.60129,4.80389,2000,B,14.75,14.75,High,419,25,394,,S0,0.017342,0.6,pg2300,99.25,49.625,6676.612078,18.69908469,4934.13,28.3,"(84.0, 30.0)",0.98857954,?,69,93,x,9.2,.L.....,93,[]
NGC4235,SpiralG,184.29117,7.19158,2000,B,11.89,11.89,High,58,25,33,,SA(s)a         Sy1,0.008039,0.6,pg2300,99.25,49.625,6615.558349,61.31144526,2708.22,31.71,"(227.1, 77.21)",0.899835154,x,70,50,50,47.1,.SAS1./,48,[]
CGCG021-049,Galaxy,228.18209,1.46487,2000,B,15.4,15.4,High,707,90,681,25,S0 - probably,0.029334,0.6,pg2300,100,50,6755.313175,68.14797535,9014.97,33.98,"(55.2, 45.26)",0.888227744,"8817, DLA",34,170,170,51.7,x,x,[]
NGC3513,SpiralG,165.942,-23.2455,2000,B,11.93,11.93,High,59,15,34,25,SB(s)c         HII,0.003983,0.6,pg2300,98.5,49.25,6588.939632,57.05013018,1418.58,20.88,"(327.5, 124.45)",0.849878689,"1203, strong",67,120,120,67.4,.SBT5..,75,[]
NGC3640,EllipticalG,170.27854,3.23483,2000,B,11.4,11.4,High,44,15,18,,E3,0.004173,0.6,pg2300,98.5,49.25,6590.186564,83.37775179,1534.68,29.6,"(251.8, 201.44)",0.806829,x,36,100,100,88.9,.E.3...,100,[]
CGCG039-137,Galaxy,170.36231,3.44491,2000,B,16.1,16.1,Medium,,,,,x,0.023022,0.6,pg2300,98.5,49.25,6713.888782,97.60481096,7185.99,26.35,"(53.7, 19.33)",0.707969292,x,68,145,145,71.3,x,x,[]
NGC3511,SpiralG,165.84904,-23.08678,2000,B,11.53,11.53,High,48,15,22,,SAB(s)c;HII    Sy1,0.003699,0.6,pg2300,98.5,49.25,6587.075797,98.4261152,1333.89,23.28,"(348.0, 120.0)  ",0.659243525,"1203, strong, confusion with NGC3513",69,76,x,83.5,.SAS5..,76,[]
NGC4596,SpiralG,189.98311,10.17614,2000,B,11.5,11.5,Medium,49,15,23,,SB(r)0+       LINER:,0.006238,0.6,pg2300,98.5,49.25,6603.738746,112.6124443,2169.2,24.35,"(298.9, 143.47)",0.598918223,x,61,75,75,80,.LBR+..,135,[]
UGC09760,SpiralG,228.01018,1.69874,2000,B,14.6,14.6,High,1172,90,1153,,Sd,0.006748,0.6,pg2300,98.5,49.25,6607.085774,136.6698938,2244.8,28.17,"(195.0, 13.2)",0.539288755,"2051, strong",86,57,x,89.6,.S..7./,57,"[('LGG393', '28.8064340933', '2.35090202524')]"
NGC0078A,SpiralG,5.10745,0.82635,2000,B,14.8,14.8,Medium,493.4,90,,,SB(r)0/a:,0.016942,0.6,pg2300,99.25,49.625,6673.986958,183.7299211,4787.73,37.83,"(115.7, 60.16)",0.475719865,"x, close pair with NGC0078B",58,70,70,0,.SBR0*.,80,[]
