target name,target type,right ascension,declination,equinox,bandpass,minimum magnitude,maximum magnitude,ranking,observing time,maximum lunar phase
IC1746,SpiralG,28.60129,4.80389,2000,B,14.75,14.75,High,444,25
CGCG021-049,Galaxy,228.18209,1.46487,2000,B,15.4,15.4,High,526,25
NGC3513,SpiralG,165.942,-23.2455,2000,B,11.93,11.93,High,59,25
NGC3511,SpiralG,165.84904,-23.08678,2000,B,11.53,11.53,High,47,25
UGC09760,SpiralG,228.01018,1.69874,2000,B,14.6,14.6,High,526,90
NGC5364,SpiralG,209.05,5.01447,2000,B,11.2,11.2,High,42,25
NGC0731,EllipticalG,28.7342,-9.01081,2000,B,13.46,13.46,High,150,25
NGC0713,SpiralG,28.83972,-9.08375,2000,B,15,15,High,526,90
MCG-04-26-019,SpiralG,165.70883,-23.59161,2000,B,13.9,13.9,High,242,25
MCG-05-01-020,EllipticalG,359.90754,-30.65583,2000,B,15.5,15.5,High,526,90
2dFGRSS357Z063,Galaxy,359.90758,-30.65589,2000,B,14.97,14.97,High,485,90
UGC04239,SpiralG,121.99208,5.20667,2000,B,15.3,15.3,High,526,90
NGC5786,SpiralG,224.73442,-42.01336,2000,B,9.56,9.56,High,30,25
NGC4235,SpiralG,184.29117,7.19158,2000,B,11.89,11.89,High,59,25
NGC3640,EllipticalG,170.27854,3.23483,2000,B,11.4,11.4,High,44,25
CGCG039-137,Galaxy,170.36231,3.44491,2000,B,16.1,16.1,Medium,526,90
NGC4596,SpiralG,189.98311,10.17614,2000,B,11.5,11.5,Medium,50,25
NGC0078A,SpiralG,5.10745,0.82635,2000,B,14.8,14.8,Medium,506,90
UGC08979,SpiralG,211.03192,6.48589,2000,B,16,16,Medium,526,25
NGC4224,SpiralG,184.14077,7.46209,2000,B,12.52,12.52,Medium,84,25
NGC0078B,SpiralG,5.11464,0.83355,2000,B,14.5,14.5,Medium,343,25
UGC08186,SpiralG,196.49433,3.95644,2000,B,15.35,15.35,Medium,526,90
MCG-03-58-009,SpiralG,343.42021,-17.47889,2000,B,15.04,15.04,Medium,526,90
NGC4380,SpiralG,186.34238,10.01681,2000,B,12.66,12.66,Medium,90,25
SDSSJ021315.79-073942.7,Galaxy,33.31582,-7.66188,2000,B,13.87,13.87,Medium,203,25
NGC4536,SpiralG,188.61271,2.18814,2000,B,11.16,11.16,Medium,44,25
UGC05357,SpiralG,149.67404,5.26436,2000,B,16.5,16.5,Medium,526,90
NGC0768,SpiralG,29.67056,0.52922,2000,B,14.3,14.3,Medium,315,90
CGCG072-007,Galaxy,197.31227,8.53172,2000,B,15.2,15.2,Medium,526,90
NGC1566,SpiralG,65.00175,-54.93781,2000,B,10.3,10.3,Medium,33,25
NGC2962,SpiralG,145.22473,5.16581,2000,B,12.96,12.96,Medium,118,25
2MASXJ11383327-1344240,Galaxy,174.6386,-13.74015,2000,B,14.33,14.33,Medium,272,25
IC1761,SpiralG,29.71788,0.5683,2000,B,15.16,15.16,Medium,526,25
NGC4246,SpiralG,184.49216,7.18591,2000,B,13.38,13.38,Low,162,25
NGC3630,SpiralG,170.07075,2.96439,2000,B,12.91,12.91,Low,98,25
NGC4233,SpiralG,184.28201,7.6244,2000,B,12.9,12.9,Low,98,25
NGC4316,SpiralG,185.676,9.33247,2000,B,13.6,13.6,Low,182,25
RFGC3781,SpiralG,324.43825,-38.49256,2000,B,15.82,15.82,Low,519,90
NGC4442,SpiralG,187.01618,9.80371,2000,B,11.33,11.33,Low,37,25
NGC4247,SpiralG,184.492,7.27395,2000,B,14.36,14.36,Low,363,25
IC5325,SpiralG,352.18096,-41.33347,2000,B,11.83,11.83,Low,48,25
NGC4307,SpiralG,185.52368,9.04363,2000,B,13.4,13.4,Low,147,25
IC3255,SpiralG,185.89475,9.64861,2000,B,16.5,16.5,Low,519,90
NGC2855,SpiralG,140.36454,-11.9095,2000,B,12.63,12.63,Low,82,25
SDSSJ124044.25+093838.7,Galaxy,190.18438,9.64411,2000,B,16.99,16.99,Low,519,90
UGC08153,SpiralG,195.77465,3.99188,2000,B,15.4,15.4,Low,519,90
UGC00726,SpiralG,17.48983,-1.74969,2000,B,14.59,14.59,Low,423,25
