status,FinalName,NewTARGETLISTname,PreviousTARGETLISTname,NEDname,Obslog name,Alternative names
OK,1H0419-577,1H0419-577,1H0419-577,1H0419-577,"IRAS-F04250-5718,RBS542","['IRAS_F04250-5718', 'RBS542', 'RX_J0425.9-5712', 'RX_J0426.0-5712']"
OK,1H0717+714,1H0717+714,1H0717+714,1H0717+714,S50716+714,['CGRaBSJ0721+7120']
new,1H1613-097,1H1613-097,1H1613-097,1H1613-097,1H1613-097,[]
OK,2dFGRS_S393Z082,2dFGRS_S393Z082,TGS393Z082,TGS393Z082,2DFGRSS393Z082,[]
new,2dFGRSS394Z150,2dFGRSS394Z150,2dFGRSS394Z150,2dFGRSS394Z150,2DFGRSS394Z150,['2dFGRSTGS394Z150']
new,6dFJ1015592-274829,2MASS-J10155924-,2MASS-J10155924-,2MASSJ10155924-2748289,2MASS-J10155924-,[]
new,3C218,3C218,3C218,3C218,HYDRA-A-NUCLEUS,"['1H0917-121', 'MRC0915-118', 'MSH09-104', 'PKS0915-11', 'PKSB0915-118', 'PKSJ0918-1205', 'RX_J0918.1-1205']"
OK,3C249.1,3C249.1,3C249.1,3C249.1,"3C249-1,3C249.1,PG1100+772","['4C77.09', 'FBS1100+772', 'FBS1100+774', 'PG1100+773', 'RBS937']"
OK,3C263,3C263,3C263,3C263,"3C263,3C263.0","['4C66.13', 'FBS1137+661', 'RBS1014', 'RX_J1139.9+6547', 'SDSSJ113957.02+654749.4']"
OK,3C273.0,3C273.0,3C273.0,3C273.0,"3C273,3C273.0,PG1226+023",[]
OK,3C309.1,3C309.1,3C309.1,3C309.1,SDSSJ145907.58+7,"['4C71.15', 'RX_J1459.1+7140']"
OK,3C323.1,3C323.1,3C323.1,3C323.1,"3C323-1,3CR323.1,Q1545+210","['4C21.45', 'PKS1545+21', 'PKSB1545+210', 'PKSJ1547+2052', 'RBS1530', 'RX_J1547.7+2051', 'RX_J1547.7+2052', 'SDSSJ154743.54+205216.7']"
OK,3C351.0,3C351.0,3C351.0,3C351.0,"3C351,3C351.0",[]
