Target;Galaxy;HV;Diam;rho;EWLya;LyaVel;Lya;EWOVIa;OVIaVel;OVIa
HS1543+5921    ;SBS1543+593               ;2889; 7.8;   0.3;5000;2829;Lya  ;    ;    ;
Mrk205         ;NGC4319                   ;1357;23.8;   6.0; 801;1289;Lya  ;    ;    ;CII
PG0838+770     ;UGC4527                   ; 721; 4.7;  10.0;    ;    ;     ;    ;    ;UL
3C232          ;NGC3067                   ;1476;17.0;  14.0;5000;1434;Lya  ;    ;    ;
MCG+10-16-111  ;NGC3613                   ;2054;35.3;  41.0; 301;2136;Lya  ;    ;    ;
Mrk205         ;NGC4291                   ;1757;15.3;  51.0;    ;    ;UL   ;    ;    ;UL
ESO185-IG13    ;IC4889                    ;2526;28.9;  62.0;    ;    ;     ; 335;2627;OVIa
Mrk110         ;MCG+09-16-10              ; 457; 1.7;  66.0;    ;    ;UL   ;    ;    ;
Mrk335         ;[vCS96]000254.9+195654.3  ;1950; 0.7;  78.0; 229;1954;Lya  ;    ;    ;H2
PG1259+593     ;UGC8146                   ; 669;12.6;  80.0; 231; 678;Lya  ;  25; 627;OVIa
PG1001+291     ;UGC5427                   ; 495; 3.6;  84.0; 308; 487;Lya  ;    ;    ;UL
PG1216+069     ;SDSSJ121903.72+063343.0   ;3833; 5.1; 103.0; 148;3774;Lya  ;    ;    ;UL
PG1216+069     ;SDSSJ121903.72+063343.0   ;3833; 5.1; 103.0; 163;3808;Lya  ;    ;    ;UL
PG1302-102     ;NGC4939                   ;3111;24.6; 104.0;    ;    ;UL   ;  19;3109;OVIa
PG1216+069     ;                          ; 938;    ; 104.0; 209;1106;Lya  ;    ;    ;UL
PG1211+143     ;                          ;2266;    ; 121.0; 104;2110;Lya  ;    ;    ;OI
ESO185-IG13    ;IC4888                    ;2490;10.6; 123.0;    ;    ;     ;    ;    ;UL
TonS180        ;NGC247                    ; 159;15.7; 125.0;    ;    ;Lya  ;  51; 260;OVIa
Mrk477         ;SDSSJ144303.81+535457.5   ; 838; 1.5; 138.0;    ;    ;     ;    ;    ;UL
Mrk771         ;UGC7697                   ;2536;24.6; 139.0; 246;2557;Lya  ;    ;    ;UL
1H0419-577     ;NGC1574                   ; 925;13.4; 140.0;    ;    ;     ;    ;    ;UL
PG1149-110     ;NGC3942                   ;3696;23.3; 141.0; 381;3728;Lya  ;    ;    ;
Mrk110         ;NGC2841                   ; 638;13.9; 144.0;    ;    ;UL   ;    ;    ;
MCG+10-16-111  ;                          ;1692;    ; 145.0; 494;1654;Lya  ;    ;    ;
HE0340-2703    ;ESO482-G32                ;1765; 9.8; 152.0;    ;    ;Lya  ;    ;    ;
PG0804+761     ;UGC4238                   ;1544;16.3; 155.0; 114;1537;Lya  ;    ;    ;CII*
HE0340-2703    ;NGC1412                   ;1790;12.3; 167.0; 374;1785;Lya  ;    ;    ;
Mrk335         ;                          ; 713; 3.0; 170.0;    ;    ;UL   ;    ;    ;UL
3C351.0        ;Mrk892                    ;3617;10.2; 170.0; 164;3598;Lya  ;    ;    ;Lylim
ESO438-G09     ;                          ;1425;    ; 173.0; 579;1426;Lya  ;    ;    ;
NGC985         ;                          ;1406;    ; 175.0;    ;    ;UL   ;    ;    ;UL
PKS2005-489    ;                          ;2955;    ; 181.0;    ;    ;UL   ;    ;    ;UL
Mrk771         ;KUG1229+207               ;1921; 6.5; 184.0; 243;1891;Lya  ;    ;    ;UL
RXJ1830.3+7312 ;NGC6654                   ;1821;18.2; 186.0;  68;1968;Lya  ;    ;    ;Lyt
MCG+10-16-111  ;NGC3625                   ;1966;18.1; 190.0; 174;2022;Lya  ;    ;    ;
3C273.0        ;                          ; 938;    ; 191.0; 394;1010;Lya  ;  21;1008;OVIa
PG1001+291     ;UGCA201                   ;1363; 3.3; 193.0;    ;    ;UL   ;    ;    ;CII
3C232          ;Mrk412                    ;4479;11.7; 196.0; 153;4526;Lya  ;    ;    ;
1H0717+714     ;UGC3804                   ;2887;22.8; 199.0;    ;    ;     ;  66;2914;OVIa
Mrk817         ;SDSSJ143903.89+584717.6   ;2134; 4.1; 202.0; 131;2085;Lya  ;    ;    ;OI
Mrk876         ;NGC6140                   ; 910;27.1; 206.0; 476; 936;Lya  ;  17; 945;OVIa
Mrk876         ;NGC6140                   ; 910;27.1; 206.0;  39;1109;Lya  ;    ;    ;CII
MCG+10-16-111  ;MCG+10-16-118             ;5357;16.6; 208.0; 172;5363;Lya  ;    ;    ;
PG1211+143     ;                          ; 182;    ; 215.0;    ;    ;UL   ;    ;    ;CII
Mrk110         ;UGC5076                   ; 571; 3.1; 226.0;    ;    ;UL   ;    ;    ;
PG0844+349     ;[KK98]069                 ; 463; 6.4; 228.0;    ;    ;     ;    ;    ;Lyb
Mrk734         ;                          ; 921;    ; 230.0;    ;    ;     ;    ;    ;UL
Mrk734         ;                          ; 921;    ; 230.0;    ;    ;     ;    ;    ;UL
HE0340-2703    ;NGC1398                   ;1407;29.8; 244.0; 292;1361;Lya  ;    ;    ;
PG0844+349     ;NGC2683                   ; 410;23.0; 250.0;    ;    ;     ;  37; 365;OVIa
PG1259+593     ;SDSSJ125926.78+591735.0   ;2867; 6.5; 255.0;    ;    ;Lyd  ;    ;    ;UL
RXJ1830.3+7312 ;MCG+12-17-27              ;1404; 5.2; 262.0;    ;    ;UL   ;    ;    ;CII*
PG1216+069     ;                          ;1282;    ; 264.0; 119;1443;Lya  ;    ;    ;UL
PG1216+069     ;                          ;2473;    ; 264.0;    ;    ;UL   ;    ;    ;UL
Mrk106         ;UGC4879                   ; 600; 2.8; 266.0;    ;    ;     ;    ;    ;Lyb
PG1351+640     ;UGC8894                   ;1771;12.9; 274.0; 143;1771;Lya  ;    ;    ;H2
Mrk477         ;UGC9452                   ;2173;17.1; 278.0;    ;    ;     ;    ;    ;OI
3C351.0        ;2MASXJ170712.70+605514.4  ;3099; 7.9; 280.0;    ;    ;UL   ;    ;    ;Lylim
Mrk876         ;UGC10294                  ;3516;27.6; 282.0; 267;3481;Lya  ;  18;3508;OVIa
PG1216+069     ;                          ;2078;    ; 283.0;2400;1895;Lya  ;    ;    ;UL
Mrk1383        ;                          ;1701;    ; 294.0;    ;    ;UL   ;    ;    ;OVI
PG0953+414     ;NGC3104                   ; 612;11.5; 296.0;  70; 621;Lya  ;  39; 637;OVIa
RXJ1830.3+7312 ;UGC11331                  ;1554;10.5; 296.0;    ;    ;Lya  ;    ;    ;OVI
PG1001+291     ;UGC5340                   ; 503; 8.3; 296.0;    ;    ;Lya  ;    ;    ;UL
PG1351+640     ;UGCA375                   ;1763; 7.3; 299.0; 122;1447;Lya  ;    ;    ;H2
3C351.0        ;NGC6306                   ;3012;14.3; 305.0;    ;    ;UL   ;    ;    ;Lylim
PKS2155-304    ;ESO466-G32                ;5153;28.6; 306.0; 140;5101;Lya  ;    ;    ;UL
PKS2155-304    ;ESO466-G32                ;5153;28.6; 306.0; 104;4990;Lya  ;    ;    ;UL
PKS2155-304    ;ESO466-G32                ;5153;28.6; 306.0;  61;5164;Lya  ;    ;    ;UL
Mrk478         ;Mrk475                    ; 583; 3.8; 306.0;    ;    ;UL   ;    ;    ;UL
Mrk290         ;NGC5963                   ; 656;12.3; 307.0;    ;    ;     ;    ;    ;UL
Mrk817         ;UGC9391                   ;1921;14.5; 308.0;  29;1922;Lya  ;    ;    ;UL
RXJ1830.3+7312 ;NGC6654A                  ;1558;18.2; 308.0;  81;1549;Lya  ;    ;    ;OVI
3C351.0        ;NGC6307                   ;3185;18.8; 311.0;    ;    ;UL   ;    ;    ;Lylim
Mrk290         ;2MASXJ153514.22+573052.9  ;3092; 8.0; 311.0;    ;    ;     ;    ;    ;OVI
3C273.0        ;                          ;1655;    ; 311.0; 380;1580;Lya  ;    ;    ;OVI
3C351.0        ;NGC6292                   ;3411;22.1; 314.0; 117;3465;Lya  ;    ;    ;Lylim
1H0419-577     ;                          ;1481;    ; 317.0;    ;    ;     ;    ;    ;CII*
Mrk335         ;ESDOF538-02               ;2175; 7.2; 320.0;    ;    ;UL   ;    ;    ;OI
MRC2251-178    ;ESO603-G25                ;9086;38.3; 322.0;  54;9032;Lya  ;    ;    ;F
MRC2251-178    ;ESO603-G27                ;3267;15.6; 322.0; 364;3212;Lya  ;    ;    ;UL
HE0340-2703    ;6dFJ0342278-260243        ;1738; 3.2; 325.0;    ;    ;Lya  ;    ;    ;
3C351.0        ;SDSSJ170327.95+610631.5   ;3313; 7.7; 327.0;    ;    ;UL   ;    ;    ;Lylim
PG0953+414     ;KUG0956+420               ;1682; 4.9; 332.0;    ;    ;UL   ;    ;    ;OVI
PG1001+291     ;UGC5464                   ;1011; 7.2; 337.0; 267;1069;Lya  ;    ;    ;UL
RXJ1830.3+7312 ;CGCG340-51                ;1469; 4.3; 337.0;    ;    ;UL   ;    ;    ;CII*
PG1626+554     ;NGC6182                   ;5138;38.1; 338.0;    ;    ;     ;    ;    ;UL
HE1228+0131    ;                          ;1655;    ; 338.0; 623;1700;Lya  ;    ;    ;OVI
HE1228+0131    ;                          ;1655;    ; 338.0; 156;1482;Lya  ;    ;    ;CII*
HE1228+0131    ;UGC7625                   ;2234; 9.6; 339.0; 338;2306;Lya  ;    ;    ;UL
MS0700.7+6338  ;                          ;4404;    ; 356.0;    ;    ;     ;    ;    ;UL
3C232          ;UGC5272                   ; 520; 6.5; 359.0;    ;    ;Lya  ;    ;    ;
Mrk205         ;UGC7226                   ;2267;13.8; 362.0;    ;    ;UL   ;    ;    ;UL
MCG+10-16-111  ;CGCG291-61                ;3188;14.4; 367.0; 102;3113;Lya  ;    ;    ;
HE1143-1810    ;ESO571-G18                ;1391; 7.5; 368.0;    ;    ;     ;    ;    ;CII
RXJ1830.3+7312 ;NGC6690                   ; 488; 8.7; 370.0;    ;    ;Lya  ;    ;    ;UL
PG0844+349     ;UGC4621                   ;2306;10.3; 372.0;    ;    ;     ;    ;    ;UL
PG0844+349     ;UGC4621                   ;2306;10.3; 372.0;    ;    ;     ;    ;    ;CIII
TonS210        ;NGC253                    ; 251;20.7; 374.0;    ;    ;Lya  ;  25; 288;OVIa
IRAS09149-6206 ;IRAS09168-6141            ;3184;    ; 374.0;    ;    ;     ;    ;    ;UL
IRAS09149-6206 ;ESO091-G07                ;2266;20.1; 377.0;    ;    ;     ;    ;    ;OI
PG0838+770     ;                          ;1370;    ; 380.0;    ;    ;     ;    ;    ;H2
HE1228+0131    ;NGC4517                   ;1121;53.8; 383.0;    ;    ;UL   ;    ;    ;UL
Mrk734         ;2MASXJ112139.77+112924.2  ;5944; 6.2; 388.0;    ;    ;     ;    ;    ;UL
PG0953+414     ;Mrk1427                   ;2129; 3.9; 390.0;    ;    ;Lyb  ;    ;    ;OI
PG0844+349     ;SDSSJ084619.14+351858.2   ;2368; 3.8; 391.0;    ;    ;     ;    ;    ;CIII
PG1302-102     ;MCG-2-34-6                ;1213;18.2; 391.0;  84;1045;Lya  ;    ;    ;UL
PG1049-005     ;UGC5922                   ;1846; 9.2; 391.0;    ;    ;UL   ;    ;    ;
Mrk335         ;NGC7817                   ;2309;30.4; 395.0; 114;2286;Lya  ;    ;    ;UL
1H0419-577     ;NGC1533                   ; 790; 7.4; 396.0;    ;    ;     ;    ;    ;Ly
Mrk478         ;UGC9540                   ; 802; 4.3; 400.0;    ;    ;UL   ;    ;    ;UL
3C351.0        ;NGC6310                   ;3386;28.5; 402.0;    ;    ;UL   ;    ;    ;Lylim
PG1626+554     ;NGC6143                   ;1595; 6.9; 403.0;    ;    ;     ;    ;    ;OVI
ESO141-G55     ;ESO141-G51                ;3497;14.2; 410.0;    ;    ;UL   ;    ;    ;UL
MRC2251-178    ;ESO603-IG23               ;3282;12.5; 412.0;  65;3046;Lya  ;    ;    ;UL
Mrk1513        ;UGC11782                  ;1111; 8.4; 412.0;    ;    ;UL   ;    ;    ;UL
Mrk817         ;SDSSJ143146.90+580030.9   ;1496; 4.8; 413.0;    ;    ;     ;    ;    ;CII*
PG1011-040     ;IC600                     ;1309;15.1; 417.0;    ;    ;     ;    ;    ;CII
Mrk477         ;NGC5751                   ;3242;21.6; 419.0;    ;    ;     ;    ;    ;flaw
PG0844+349     ;KUG0847+350               ;2354; 4.0; 421.0;    ;    ;     ;    ;    ;CIII
Mrk9           ;UGC3943                   ;3527;24.8; 422.0;    ;    ;     ;    ;    ;UL
MRC2251-178    ;ESO603-G31                ;2271; 9.1; 422.0; 133;2265;Lya  ;    ;    ;OI*
Mrk290         ;NGC5987                   ;3010;51.7; 424.0;    ;    ;     ;  49;3073;OVIa
HE1029-1401    ;6dFJ1033307-144736        ;2475;10.1; 427.0; 168;2457;Lya  ;    ;    ;
3C273.0        ;2MASXJ122815.85+024202.5  ;2286; 5.0; 429.0;  31;2274;Lya  ;    ;    ;UL
TonS180        ;NGC45                     ; 468; 6.3; 437.0;    ;    ;UL   ;    ;    ;UL
HE1143-1810    ;[KKS2000]25               ;1227; 7.4; 437.0;    ;    ;     ;    ;    ;CII
PG0804+761     ;UGC4527                   ; 721; 4.7; 438.0;    ;    ;UL   ;    ;    ;UL
PG1049-005     ;IC653                     ;5538;45.2; 438.0;    ;    ;UL   ;    ;    ;
Mrk817         ;SBS1430+596               ;1855; 6.6; 441.0;    ;    ;UL   ;    ;    ;UL
PG1149-110     ;MCG-2-30-33               ;1273; 5.1; 442.0;    ;    ;UL   ;    ;    ;
Mrk290         ;SDSSJ153802.76+573018.3   ;3525; 8.6; 444.0;    ;    ;     ;    ;    ;UL
PG1444+407     ;UGC9497                   ; 633; 4.0; 445.0;    ;    ;UL   ;    ;    ;UL
PG0953+414     ;KUG0952+418               ;4695; 9.2; 449.0;  55;4670;Lya  ;    ;    ;ArI
PG0953+414     ;KUG0952+418               ;4695; 9.2; 449.0; 160;4807;Lya  ;    ;    ;UL
PG0953+414     ;KUG0952+418               ;4695; 9.2; 449.0; 120;4961;Lya  ;    ;    ;UL
Mrk106         ;NGC2841                   ; 638;13.9; 453.0;    ;    ;     ;    ;    ;Lyb
3C249.1        ;UGC6154                   ;5156;21.5; 457.0;    ;    ;UL   ;    ;    ;H2
MCG+10-16-111  ;NGC3556                   ; 695;25.8; 462.0; 173; 942;Lya  ;    ;    ;
PG0838+770     ;UGC4623                   ;2885;44.1; 467.0;    ;    ;     ;    ;    ;UL
PG1302-102     ;NGC4920                   ;1336; 6.8; 473.0; 284;1316;Lya  ;    ;    ;CII
PG1049-005     ;CGCG10-41                 ;1810; 4.5; 475.0;    ;    ;UL   ;    ;    ;
Mrk771         ;NGC4826                   ; 408;13.3; 479.0;    ;    ;UL   ;    ;    ;UL
1H0707-495     ;ESO207-G22                ;1029; 5.0; 482.0;    ;    ;     ;    ;    ;CII
IRAS09149-6206 ;NGC2842                   ;2857;16.7; 485.0;    ;    ;     ;    ;    ;UL
Mrk876         ;UGC10369                  ; 998; 5.9; 493.0;    ;    ;Lya  ;    ;    ;UL
Mrk734         ;NGC3692                   ;1726; 9.2; 497.0;    ;    ;     ;    ;    ;UL
RXJ0048.3+3941 ;UGC578                    ;1471; 5.9; 499.0;    ;    ;     ;    ;    ;CII*
Mrk734         ;SDSSJ111938.66+112643.3   ;3054; 5.3; 500.0;    ;    ;     ;    ;    ;UL
Mrk290         ;CGCG297-17                ;3282; 8.7; 501.0;    ;    ;     ;    ;    ;flaw
Mrk771         ;NGC4561                   ;1403; 9.9; 502.0; 321;1184;Lya  ;    ;    ;UL
3C249.1        ;UGC5854                   ;1808; 7.8; 505.0;    ;    ;UL   ;    ;    ;H2
PG1216+069     ;                          ; 505;    ; 506.0;    ;    ;Lya  ;    ;    ;UL
Mrk817         ;UGC9477                   ;2325; 7.7; 508.0;    ;    ;UL   ;    ;    ;UL
Mrk110         ;NGC2681                   ; 692; 6.2; 513.0;    ;    ;UL   ;    ;    ;
Mrk501         ;CGCG225-6                 ;4648;10.7; 517.0;    ;    ;UL   ;    ;    ;UL
Mrk501         ;NGC6257                   ;4692;18.4; 521.0; 150;4593;Lya  ;    ;    ;UL
PG1149-110     ;NGC3892                   ;1697;24.3; 529.0; 437;1665;Lya  ;    ;    ;
ESO438-G09     ;NGC3621                   ; 727;23.8; 530.0;    ;    ;UL   ;    ;    ;
