AGNname,center,galaxyName,environment,degreesJ2000RA_DecAGN,degreesJ2000RA_DecGalaxy,likelihood,likelihood_1.5,virialRadius,d^1.5,impactParameter (kpc),redshiftDistances,vcorrGalaxy (km/s),vel_diff,distGalaxy (Mpc),AGN S/N,majorAxis (kpc),minorAxis (kpc),inclination (deg),positionAngle (deg),azimuth (deg),RC3flag,RC3type,RC3inc (deg),RC3pa (deg),morphology,final_morphology,galaxyRedshift,AGNredshift,spectrumStatus,include,include_vir,include_custom,Lya_v,vlimits,Lya_W,Na,b,identified,comment
MRK290,758,KKR19,3,"('233.96792', '57.9025')","(230.49193, 57.31043)",1.29E-52,0,41.24838513,6.547900427,449.3825659,x,935.7,177.7,13.17832798,x,3.5,2.3,48.2,x,x,0,x,x,x,Ir,Ir,0.002552,0.0296,SP,1,1,0,758,"698, 810",134pm10,3.00E13 pm 2.56E12,39.4pm 2.1,done,center is 754 : VIRIAL VS CUSTOM RESULT MISMATCH
MRK290,3105,NGC5987,2,"('233.96792', '57.9025')","(234.98904, 58.07953)",0.09227992,0.871277694,322.0594318,570.666866,486.0114481,x,3170,65,48.9,x,68.8,29.6,64.5,60,11.9,NGC5987,.S..3..,71.6,165,Sb,Sb,0.01004,0.0296,SP,1,1,1,3105,"2966, 3170",511pm5,2.01E14 pm 3.76E12,57.0pm 2.6,done,center is 3068
MRK290,3207,NGC5987,2,"('233.96792', '57.9025')","(234.98904, 58.07953)",0.099109626,0.935761605,322.0594318,570.666866,486.0114481,x,3170,-37,48.9,x,68.8,29.6,64.5,60,11.9,NGC5987,.S..3..,71.6,165,Sb,Sb,0.01004,0.0296,SP,1,1,1,3207,"3166, 3308",319pm4,1.11E14 pm 2.43E12,39.8pm 3.1,done,center is 3237
SBS1537+577,754,UGC05470,1,"('234.54167', '57.60361')","(152.11708, 12.30639)",0,0,10.77182534,0.353553391,319.2401718,x,534.3,-219.7,0.242,x,0.5,0.4,40.5,80,37.6,LeoI,dE.3...,40.7,80,E;dSph,E;dSph,0.000951,0.0734,SP,1,1,1,754,"687, 809",146pm36,3.28E13 pm 9.49E12,44.9pm2.8,Lya,center is 748 : ONLY 1 GALAXY
SBS1537+577,3279,NGC5987,3,"('234.54167', '57.60361')","(234.98904, 58.07953)",0.101691027,0.788751573,322.0594318,570.666866,454.1827315,x,3170,-109,48.9,x,68.8,29.6,64.5,60,33.3,NGC5987,.S..3..,71.6,165,Sb,Sb,0.01004,0.0734,SP,1,1,1,3279,"3174, 3380",358pm30,9.55E13 pm 1.07E13,64.4pm 2.7,Lya,center is 3277
SBS1537+577,3549,SDSSJ153802.75+573018.3,5,"('234.54167', '57.60361')","(234.5115, 57.50508)",0.209360783,0.000344159,86.86757243,33.05642146,90.50600729,x,3687.3,138.3,51.93368351,x,10.3,1.9,79.6,24,14.7,0,x,x,x,Sd(f),Sd(f),0.011759,0.0734,SP,1,1,0,3549,"3456, 3670",447pm28,1.40E14 pm 1.38E13,53.2pm 3.6,Lya,center is 3563 : VIRIAL VS CUSTOM RESULT MISMATCH
SBS1537+577,3549,NGC5987,5,"('234.54167', '57.60361')","(234.98904, 58.07953)",0.003773259,0.029266731,322.0594318,570.666866,454.1827315,x,3170,-379,48.9,x,68.8,29.6,64.5,60,33.3,NGC5987,.S..3..,71.6,165,Sb,Sb,0.01004,0.0734,SP,0,0,1,3549,"3456, 3670",447pm28,1.40E14 pm 1.38E13,53.2pm 3.6,Lya,center is 3563 : VIRIAL VS CUSTOM RESULT MISMATCH
SBS1537+577,4077,SDSSJ153802.75+573018.3,2,"('234.54167', '57.60361')","(234.5115, 57.50508)",0.007580499,1.25E-05,86.86757243,33.05642146,90.50600729,x,3687.3,-389.7,51.93368351,x,10.3,1.9,79.6,24,14.7,0,x,x,x,Sd(f),Sd(f),0.011759,0.0734,SP,1,1,1,4077,"4032, 4148",72pm25,1.47E13 pm 5.48E12,45.0pm 3.8,Lya,center is 4090
3C66A,5965,UGC01832,3,"('35.665', '43.03556')","(35.62966, 43.0653)",0.721998913,0.717523103,191.9550398,185.2785066,55.88383776,x,5771.7,-193.3,81.29213857,x,32.5,13.6,65.2,155,16,UGC1832,.S..1..,64.1,163,Sa,Sa,0.019724,0.444,SP,0,0,0,5965,"5940, 6026",53pm6,1.11E13 pm 1.27E12,26.3pm 2.6,d:Lya,"weak, blended with Mgll, center is 5983, near UGC01841; p : VIRIAL AND CUSTOM INCLUDE MISMATCH"
3C66A,6076,UGC01841,5,"('35.665', '43.03556')","(35.79755, 42.99205)",0.874699255,1.027755263,346.8309544,670.4141228,162.7451694,x,6231.8,155.8,87.77125098,x,76.6,76.6,0,x,x,UGC1841,.E.....,0,-99,E              LERG,E              LERG,0.021258,0.444,SP,0,0,1,6076,"6044, 6122",27pm6,5.20E12 pm 1.13E12,26.7pm 3.3,d:Lya,"weak, blended with Mgll, center is 6083, near UGC01841; p : VIRIAL AND CUSTOM INCLUDE MISMATCH"
MRC2251-178,2258,MCG-03-58-014,1,"('343.52458', '-17.58194')","(344.36012, -17.88558)",5.15E-20,1.34E-264,63.89771317,16.955707,417.3445625,x,1993.2,-264.8,28.07265578,x,6.6,3.7,55.9,105,5.9,0,x,x,x,Sa,Sa,0.007575,0.0661,SP,1,1,1,2258,"2202, 2330",80pm5,1.62E13 pm 1.18E12,42.1pm 2.0,"Lya, d:Lya","Lya labeled at 2258, d:Lya at 2283, center is 2266 : ONLY 1 GALAXY"
MRC2251-178,3042,HIPASSJ2254-18,3,"('343.52458', '-17.58194')","(343.6474, -18.00054)",0.000955218,4.18E-10,121.7484398,68.85950915,319.5117248,x,2990.5,-51.5,42.12023615,x,16.8,10.1,53.1,40,55.6,ESO603-G27,.IBS9..,52.9,40,IB(s)m,IB(s)m,0.010898,0.0661,SP,1,1,1,3042,"3002, 3116",67pm5,1.33E13 pm 1.01E12,43.2pm 2.7,"Lya, d:Lya","Lya labeled at 3042, d:Lya at 3055, center is 3059"
MRC2251-178,3203,HIPASSJ2254-18,3,"('343.52458', '-17.58194')","(343.6474, -18.00054)",0.000330081,1.44E-10,121.7484398,68.85950915,319.5117248,x,2990.5,-212.5,42.12023615,x,16.8,10.1,53.1,40,55.6,ESO603-G27,.IBS9..,52.9,40,IB(s)m,IB(s)m,0.010898,0.0661,SP,1,1,1,3203,"3120, 3326",332pm5,9.28E13 pm 1.83E12,52.7pm 2.4,"Lya, d:Lya","Lya labeled at 3203, d:Lya at 3218, center is 3223"
MRC2251-178,9051,MCG-03-58-009,1,"('343.52458', '-17.58194')","(343.42021, -17.47889)",0.040200656,0.158458796,319.1465428,559.5058883,320.0509932,x,8753.8,-297.2,128,x,67.9,35.3,58.7,175,39,ESO603-G25,.S?....,48.6,27,Sc,Sc,0.030121,0.0661,SP,1,1,1,9051,"8958, 9098",60pm4,1.18E13 pm 8.73E11,46.4pm 2.7,"Lya, d:Lya","Lya labeled at 9051, d:Lya at 9040, center is 9028 : ONLY 1 GALAXY"
SBS1503+570,706,NGC5907,15,"('226.23150', '56.82230')","(228.97404, 56.32877)",0.05947114,0.497060632,294.7210858,470.5795629,452.0909184,x,843,137,16.3,x,60.5,6.6,83.7,x,46.8,NGC5907,.SAS5*/,83.7,155,SA(s)c: sp     HII:,SA(s)c: sp     HII:,0.002225,0.3589,SP,0,1,1,706,"631, 757",302pm24,9.17E13 pm 1.24E13,42.1pm 1.7,Lya,"Lya marked 705, center is 694 ; ambiguous = other nearby large galaxies: NGC5866, KUG1513+566, NGC5879"
SDSSJ080838.80+051440.0,8740,UGC04239,2,"('122.16167', '5.24444')","(121.99208, 5.20667)",0.088184065,0.48838872,278.7260738,416.8226385,378.3226481,x,8893.1,153.1,125.2551175,x,55.8,40.2,43.9,115,37.6,0,x,x,x,S,S,0.02923,0.361,RT,1,1,1,8740,"8560, 8876",883pm24,3.38E14 pm 2.10E13,92.6pm 2.1,done,center is 8718
SDSSJ080838.80+051440.0,8927,UGC04239,3,"('122.16167', '5.24444')","(121.99208, 5.20667)",0.153958991,0.852669184,278.7260738,416.8226385,378.3226481,x,8893.1,-33.9,125.2551175,x,55.8,40.2,43.9,115,37.6,0,x,x,x,S,S,0.02923,0.361,RT,1,1,1,8927,"8870, 8974",130pm19,3.37E13 pm 5.54E12,25.6pm 4.4,done,center is 8922
SDSSJ080838.80+051440.0,9760,2MASXJ08083956+0517256,1,"('122.16167', '5.24444')","(122.16482, 5.29055)",0.008344214,0.000304786,106.2959138,51.26472471,106.4638288,x,9371,-389,131.9857487,x,13.8,12.4,25.8,75,71.1,0,x,x,x,x,x,0.03082,0.361,RT,1,1,1,9760,"9728, 9788",58pm15,1.25E13 pm 3.52E12,22.2pm 1.7,done,center is 9758 : ONLY 1 GALAXY
2dFGRS_S393Z082,1239,NGC1097,5,"('41.25333', '-30.12306')","(41.57937, -30.27489)",0.566156445,0.618984032,273.1866721,399.0239191,111.9452231,x,1029.8,-209.2,20.038,x,54.2,36.7,47.4,x,11.7,NGC1097,.SBS3..,47.5,130,(R'_1:)SB(r'l)bSy1,(R'_1:)SB(r'l)bSy1,0.00424,0.34,NP,1,1,1,1239,"1145, 1339",570pm21,2.16E14 pm 2.11E13,62.9pm 1.8,done,"center is 1242, original name = TGS393Z082"
PG1211+143,2116,NGC4189,8,"('183.57375', '14.05361')","(183.44696, 13.42481)",0.005278733,0.002595877,180.8044945,162.6763412,314.0232624,x,2414.5,298.5,28.08,x,29.8,17.3,54.5,95,83.9,NGC4189,.SXT6$.,43.6,85,SAB(rs)cd?     HII,SAB(rs)cd?     HII,0.007055,0.0804,SP,1,1,1,2116,"2044, 2162",105pm8,2.21E13 pm 1.89E12,41.8pm 1.4,Lya,"STIS only, center is 2103 ; p"
PG1211+143,6606,SDSSJ121430.17+141512.6,2,"('183.57375', '14.05361')","(183.62574, 14.25351)",8.53E-06,1.93E-15,116.7006809,62.80375785,351.1734606,x,6929.5,323.5,97.59845259,x,15.8,3.8,76.1,40,25.8,0,x,x,x,x,x,0.022114,0.0804,SP,0,1,1,6606,"6554, 6660",98pm6,2.17E13 pm 1.51E13,31.0pm 2.3,Lya,center is 6607
PG1211+143,6989,SDSSJ121430.17+141512.6,1,"('183.57375', '14.05361')","(183.62574, 14.25351)",0.000106894,2.42E-14,116.7006809,62.80375785,351.1734606,x,6929.5,-59.5,97.59845259,x,15.8,3.8,76.1,40,25.8,0,x,x,x,x,x,0.022114,0.0804,SP,1,1,1,6989,"6942, 7056",131pm6,3.01E13 pm 1.62E12,33.3pm 2.6,Lya,center is 6999 : ONLY 1 GALAXY
PG1211+143,7735,SDSSJ121352.97+141312.4,1,"('183.57375', '14.05361')","(183.47074, 14.22013)",9.16E-08,9.48E-44,91.46877343,36.98149537,368.052424,x,7710.5,-24.5,108.5978983,x,11.1,7.2,49.5,20,51,0,x,x,x,x,x,0.024722,0.0804,SP,1,1,1,7735,"7634, 7850",156pm8,3.27E13 pm 1.79E12,66.2pm 2.9,Lya,center is 7742 : ONLY 1 GALAXY
TON488,1250,UGC05478,3,"('152.50292', '30.05583')","(152.38167, 30.15171)",0.043604993,0.002950517,92.03657223,37.48236919,58.03988156,x,1620.3,370.3,23.4,x,11.2,11,11.5,x,x,UGC5478,.I..9..,12.2,-99,Im,Im,0.004597,0.2564,SP,1,1,1,1250,"1237, 1297",68pm9,1.48E13 pm 2.20E12,24.0pm 2.0,d:Lya,"d:Lya only, center is 1267. UGC05478 is much closer, but >400 km/s away. The ramp up of EW of subsequent lines getting closer to this velocity is interesting though..."
TON488,1375,UGC05478,3,"('152.50292', '30.05583')","(152.38167, 30.15171)",0.298545295,0.020200963,92.03657223,37.48236919,58.03988156,x,1620.3,245.3,23.4,x,11.2,11,11.5,x,x,UGC5478,.I..9..,12.2,-99,Im,Im,0.004597,0.2564,SP,1,1,1,1375,"1284, 1480",452pm12,1.75E14 pm 9.83E12,51.2pm 2.4,done,center is 1382
MRK1014,5694,KUG0156-001,1,"('29.95917', '0.39472')","(29.79728, 0.10978)",2.47E-05,1.35E-10,141.0794316,94.86259537,446.1410499,x,5538,-156,78.0001575,x,20.8,16.8,35.9,18,11.6,0,x,x,x,Compact,Compact,0.01937,0.163,SP,1,1,1,5694,"5604, 5706",45pm9,8.84E12 pm 1.92E12,35.3pm 2.3,d:Lya,"center is 5655, extremely weak : ONLY 1 GALAXY"
MRK1014,7080,NGC0768,2,"('29.95917', '0.39472')","(29.67056, 0.52922)",0.001719091,0.00870688,253.3839055,338.8085831,486.1589792,x,6752.3,-327.7,87.483,x,48.6,14.5,72.6,x,85,NGC768,.SBR4*.,61.4,30,SB(r)bc:,SB(r)bc:,0.023419,0.163,SP,1,1,1,7080,"6984, 7144",117pm11,2.46E13 pm 2.54E12,49.0pm 3.1,d:Lya,"center is 7064, IC1761 companion; p"
MRK1014,7563,SDSSJ020017.78+003715.5,1,"('29.95917', '0.39472')","(30.07412, 0.62098)",1.93E-07,1.39E-21,121.7484398,68.85950915,476.5102478,x,7638.2,75.2,107.5800139,x,16.8,6.6,67,148,58.9,0,x,x,x,x,x,0.026371,0.163,SP,1,1,1,7563,"7466, 7658",416pm10,1.58E14 pm 6.54E12,46.3pm 1.9,d:Lya,"center is 7562, strong, but far away from galaxy; p : ONLY 1 GALAXY"
RX_J1503.2+6810,10122,CGCG318-012,1,"('225.81875', '68.16833')","(225.56167, 68.26181)",0.060668263,0.248197006,249.7749021,328.4055054,325.4494668,x,9911.8,-210.2,139.60269,x,47.6,30.5,50.2,135,0.6,0,x,x,x,x,x,0.032573,0.114,SP,1,1,1,10122,"10080, 10170",44pm14,8.89E12 pm 2.98E12,29.4pm 5.1,Lya,center is 10127 : NEEDS TO BE IDENTIFIED : ONLY 1 GALAXY
PG1302-102,1313,MCG-02-34-006,3,"('196.3875', '-10.55556')","(197.44792, -10.32)",4.09E-05,1.40E-11,132.056154,82.16610615,404.9237794,x,1480.7,167.7,21.700001,x,18.9,15.8,33.6,x,x,0,x,x,x,SAB(s)d:       Sy2,SAB(s)d:       Sy2,0.004037,0.2784,SP,1,1,1,1313,"1242, 1394",322pm7,1.22E14 pm 4.52E12,35.8pm 2.4,"Lya, d:Lya","Lya labeled at 1313, d:Lya at 1314, center is 1318"
PG1302-102,3448,NGC4939,1,"('196.3875', '-10.55556')","(196.05996, -10.33961)",0.253120756,0.773821071,235.4681607,288.883113,264.7658706,x,3381.8,-66.2,39.118,x,43.7,30.1,46.4,5,61.2,NGC4939,.SAS4..,59.1,10,SA(s)bc        Sy2,SA(s)bc        Sy2,0.010374,0.2784,SP,1,1,1,3448,"3402, 3492",71pm5,1.47E13 pm 1.24E12,29.7pm 2.5,"d:Lya, OVI","marked both d:Lya at 3447 and OVI at 3448 - definitely could be OVI, but there's no OVIb, center is 3447; p : ONLY 1 GALAXY"
