AGNname,galaxyName,environment,degreesJ2000RA_DecAGN,degreesJ2000RA_DecGalaxy,likelihood,likelihood_1.5,virialRadius,d^1.5,impactParameter (kpc),vcorrGalaxy (km/s),vel_diff,distGalaxy (Mpc),majorAxis (kpc),minorAxis (kpc),inclination (deg),positionAngle (deg),azimuth (deg),RC3flag,RC3type,RC3pa (deg),morphology,AGNredshift,include,include_vir,include_custom,Lya_v,vlimits,Lya_W,Na,b,identified,comment
MRK290,KKR19,3,"('233.96792', '57.9025')","(230.49193, 57.31043)",1.29E-52,0,41.24838513,6.547900427,449.3825659,935.7,177.7,13.17832798,3.5,2.3,48.2,x,x,0,x,x,Ir,0.0296,1,1,0,758,"698, 810",134pm10,3.00E13 pm 2.56E12,39.4pm 2.1,done,center is 754 : VIRIAL VS CUSTOM RESULT MISMATCH
MRK290,NGC5987,2,"('233.96792', '57.9025')","(234.98904, 58.07953)",0.09227992,0.871277694,322.0594318,570.666866,486.0114481,3170,65,48.9,68.8,29.6,64.5,60,11.9,NGC5987,.S..3..,165,Sb,0.0296,1,1,1,3105,"2966, 3170",511pm5,2.01E14 pm 3.76E12,57.0pm 2.6,done,center is 3068
MRK290,NGC5987,2,"('233.96792', '57.9025')","(234.98904, 58.07953)",0.099109626,0.935761605,322.0594318,570.666866,486.0114481,3170,-37,48.9,68.8,29.6,64.5,60,11.9,NGC5987,.S..3..,165,Sb,0.0296,1,1,1,3207,"3166, 3308",319pm4,1.11E14 pm 2.43E12,39.8pm 3.1,done,center is 3237
SBS1537+577,UGC05470,1,"('234.54167', '57.60361')","(152.11708, 12.30639)",0,0,10.77182534,0.353553391,319.2401718,534.3,-219.7,0.242,0.5,0.4,40.5,80,37.6,LeoI,dE.3...,80,E;dSph,0.0734,1,1,1,754,"687, 809",146pm36,3.28E13 pm 9.49E12,44.9pm2.8,Lya,center is 748 : ONLY 1 GALAXY
SBS1537+577,NGC5987,3,"('234.54167', '57.60361')","(234.98904, 58.07953)",0.101691027,0.788751573,322.0594318,570.666866,454.1827315,3170,-109,48.9,68.8,29.6,64.5,60,33.3,NGC5987,.S..3..,165,Sb,0.0734,1,1,1,3279,"3174, 3380",358pm30,9.55E13 pm 1.07E13,64.4pm 2.7,Lya,center is 3277
SBS1537+577,SDSSJ153802.75+573018.3,5,"('234.54167', '57.60361')","(234.5115, 57.50508)",0.209360783,0.000344159,86.86757243,33.05642146,90.50600729,3687.3,138.3,51.93368351,10.3,1.9,79.6,24,14.7,0,x,x,Sd(f),0.0734,1,1,0,3549,"3456, 3670",447pm28,1.40E14 pm 1.38E13,53.2pm 3.6,Lya,center is 3563 : VIRIAL VS CUSTOM RESULT MISMATCH
SBS1537+577,SDSSJ153802.75+573018.3,2,"('234.54167', '57.60361')","(234.5115, 57.50508)",0.007580499,1.25E-05,86.86757243,33.05642146,90.50600729,3687.3,-389.7,51.93368351,10.3,1.9,79.6,24,14.7,0,x,x,Sd(f),0.0734,1,1,1,4077,"4032, 4148",72pm25,1.47E13 pm 5.48E12,45.0pm 3.8,Lya,center is 4090
MRC2251-178,MCG-03-58-014,1,"('343.52458', '-17.58194')","(344.36012, -17.88558)",5.15E-20,1.34E-264,63.89771317,16.955707,417.3445625,1993.2,-264.8,28.07265578,6.6,3.7,55.9,105,5.9,0,x,x,Sa,0.0661,1,1,1,2258,"2202, 2330",80pm5,1.62E13 pm 1.18E12,42.1pm 2.0,"Lya, d:Lya","Lya labeled at 2258, d:Lya at 2283, center is 2266 : ONLY 1 GALAXY"
MRC2251-178,HIPASSJ2254-18,3,"('343.52458', '-17.58194')","(343.6474, -18.00054)",0.000955218,4.18E-10,121.7484398,68.85950915,319.5117248,2990.5,-51.5,42.12023615,16.8,10.1,53.1,40,55.6,ESO603-G27,.IBS9..,40,IB(s)m,0.0661,1,1,1,3042,"3002, 3116",67pm5,1.33E13 pm 1.01E12,43.2pm 2.7,"Lya, d:Lya","Lya labeled at 3042, d:Lya at 3055, center is 3059"
MRC2251-178,HIPASSJ2254-18,3,"('343.52458', '-17.58194')","(343.6474, -18.00054)",0.000330081,1.44E-10,121.7484398,68.85950915,319.5117248,2990.5,-212.5,42.12023615,16.8,10.1,53.1,40,55.6,ESO603-G27,.IBS9..,40,IB(s)m,0.0661,1,1,1,3203,"3120, 3326",332pm5,9.28E13 pm 1.83E12,52.7pm 2.4,"Lya, d:Lya","Lya labeled at 3203, d:Lya at 3218, center is 3223"
MRC2251-178,MCG-03-58-009,1,"('343.52458', '-17.58194')","(343.42021, -17.47889)",0.040200656,0.158458796,319.1465428,559.5058883,320.0509932,8753.8,-297.2,128,67.9,35.3,58.7,175,39,ESO603-G25,.S?....,27,Sc,0.0661,1,1,1,9051,"8958, 9098",60pm4,1.18E13 pm 8.73E11,46.4pm 2.7,"Lya, d:Lya","Lya labeled at 9051, d:Lya at 9040, center is 9028 : ONLY 1 GALAXY"
SDSSJ080838.80+051440.0,UGC04239,2,"('122.16167', '5.24444')","(121.99208, 5.20667)",0.088184065,0.48838872,278.7260738,416.8226385,378.3226481,8893.1,153.1,125.2551175,55.8,40.2,43.9,115,37.6,0,x,x,S,0.361,1,1,1,8740,"8560, 8876",883pm24,3.38E14 pm 2.10E13,92.6pm 2.1,done,center is 8718
SDSSJ080838.80+051440.0,UGC04239,3,"('122.16167', '5.24444')","(121.99208, 5.20667)",0.153958991,0.852669184,278.7260738,416.8226385,378.3226481,8893.1,-33.9,125.2551175,55.8,40.2,43.9,115,37.6,0,x,x,S,0.361,1,1,1,8927,"8870, 8974",130pm19,3.37E13 pm 5.54E12,25.6pm 4.4,done,center is 8922
SDSSJ080838.80+051440.0,2MASXJ08083956+0517256,1,"('122.16167', '5.24444')","(122.16482, 5.29055)",0.008344214,0.000304786,106.2959138,51.26472471,106.4638288,9371,-389,131.9857487,13.8,12.4,25.8,75,71.1,0,x,x,x,0.361,1,1,1,9760,"9728, 9788",58pm15,1.25E13 pm 3.52E12,22.2pm 1.7,done,center is 9758 : ONLY 1 GALAXY
2dFGRS_S393Z082,NGC1097,5,"('41.25333', '-30.12306')","(41.57937, -30.27489)",0.566156445,0.618984032,273.1866721,399.0239191,111.9452231,1029.8,-209.2,20.038,54.2,36.7,47.4,x,11.7,NGC1097,.SBS3..,130,(R'_1:)SB(r'l)bSy1,0.34,1,1,1,1239,"1145, 1339",570pm21,2.16E14 pm 2.11E13,62.9pm 1.8,done,"center is 1242, original name = TGS393Z082"
PG1211+143,NGC4189,8,"('183.57375', '14.05361')","(183.44696, 13.42481)",0.005278733,0.002595877,180.8044945,162.6763412,314.0232624,2414.5,298.5,28.08,29.8,17.3,54.5,95,83.9,NGC4189,.SXT6$.,85,SAB(rs)cd?     HII,0.0804,1,1,1,2116,"2044, 2162",105pm8,2.21E13 pm 1.89E12,41.8pm 1.4,Lya,"STIS only, center is 2103 ; p"
PG1211+143,SDSSJ121430.17+141512.6,1,"('183.57375', '14.05361')","(183.62574, 14.25351)",0.000106894,2.42E-14,116.7006809,62.80375785,351.1734606,6929.5,-59.5,97.59845259,15.8,3.8,76.1,40,25.8,0,x,x,x,0.0804,1,1,1,6989,"6942, 7056",131pm6,3.01E13 pm 1.62E12,33.3pm 2.6,Lya,center is 6999 : ONLY 1 GALAXY
PG1211+143,SDSSJ121352.97+141312.4,1,"('183.57375', '14.05361')","(183.47074, 14.22013)",9.16E-08,9.48E-44,91.46877343,36.98149537,368.052424,7710.5,-24.5,108.5978983,11.1,7.2,49.5,20,51,0,x,x,x,0.0804,1,1,1,7735,"7634, 7850",156pm8,3.27E13 pm 1.79E12,66.2pm 2.9,Lya,center is 7742 : ONLY 1 GALAXY
TON488,UGC05478,3,"('152.50292', '30.05583')","(152.38167, 30.15171)",0.043604993,0.002950517,92.03657223,37.48236919,58.03988156,1620.3,370.3,23.4,11.2,11,11.5,x,x,UGC5478,.I..9..,-99,Im,0.2564,1,1,1,1250,"1237, 1297",68pm9,1.48E13 pm 2.20E12,24.0pm 2.0,d:Lya,"d:Lya only, center is 1267. UGC05478 is much closer, but >400 km/s away. The ramp up of EW of subsequent lines getting closer to this velocity is interesting though..."
TON488,UGC05478,3,"('152.50292', '30.05583')","(152.38167, 30.15171)",0.298545295,0.020200963,92.03657223,37.48236919,58.03988156,1620.3,245.3,23.4,11.2,11,11.5,x,x,UGC5478,.I..9..,-99,Im,0.2564,1,1,1,1375,"1284, 1480",452pm12,1.75E14 pm 9.83E12,51.2pm 2.4,done,center is 1382
MRK1014,KUG0156-001,1,"('29.95917', '0.39472')","(29.79728, 0.10978)",2.47E-05,1.35E-10,141.0794316,94.86259537,446.1410499,5538,-156,78.0001575,20.8,16.8,35.9,18,11.6,0,x,x,Compact,0.163,1,1,1,5694,"5604, 5706",45pm9,8.84E12 pm 1.92E12,35.3pm 2.3,d:Lya,"center is 5655, extremely weak : ONLY 1 GALAXY"
MRK1014,NGC0768,2,"('29.95917', '0.39472')","(29.67056, 0.52922)",0.001719091,0.00870688,253.3839055,338.8085831,486.1589792,6752.3,-327.7,87.483,48.6,14.5,72.6,x,85,NGC768,.SBR4*.,30,SB(r)bc:,0.163,1,1,1,7080,"6984, 7144",117pm11,2.46E13 pm 2.54E12,49.0pm 3.1,d:Lya,"center is 7064, IC1761 companion; p"
MRK1014,SDSSJ020017.78+003715.5,1,"('29.95917', '0.39472')","(30.07412, 0.62098)",1.93E-07,1.39E-21,121.7484398,68.85950915,476.5102478,7638.2,75.2,107.5800139,16.8,6.6,67,148,58.9,0,x,x,x,0.163,1,1,1,7563,"7466, 7658",416pm10,1.58E14 pm 6.54E12,46.3pm 1.9,d:Lya,"center is 7562, strong, but far away from galaxy; p : ONLY 1 GALAXY"
RX_J1503.2+6810,CGCG318-012,1,"('225.81875', '68.16833')","(225.56167, 68.26181)",0.060668263,0.248197006,249.7749021,328.4055054,325.4494668,9911.8,-210.2,139.60269,47.6,30.5,50.2,135,0.6,0,x,x,x,0.114,1,1,1,10122,"10080, 10170",44pm14,8.89E12 pm 2.98E12,29.4pm 5.1,Lya,center is 10127 : NEEDS TO BE IDENTIFIED : ONLY 1 GALAXY
PG1302-102,MCG-02-34-006,3,"('196.3875', '-10.55556')","(197.44792, -10.32)",4.09E-05,1.40E-11,132.056154,82.16610615,404.9237794,1480.7,167.7,21.700001,18.9,15.8,33.6,x,x,0,x,x,SAB(s)d:       Sy2,0.2784,1,1,1,1313,"1242, 1394",322pm7,1.22E14 pm 4.52E12,35.8pm 2.4,"Lya, d:Lya","Lya labeled at 1313, d:Lya at 1314, center is 1318"
PG1302-102,NGC4939,1,"('196.3875', '-10.55556')","(196.05996, -10.33961)",0.253120756,0.773821071,235.4681607,288.883113,264.7658706,3381.8,-66.2,39.118,43.7,30.1,46.4,5,61.2,NGC4939,.SAS4..,10,SA(s)bc        Sy2,0.2784,1,1,1,3448,"3402, 3492",71pm5,1.47E13 pm 1.24E12,29.7pm 2.5,"d:Lya, OVI","marked both d:Lya at 3447 and OVI at 3448 - definitely could be OVI, but there's no OVIb, center is 3447; p : ONLY 1 GALAXY"
PG1302-102,PKS1302-102:[CPC2008]1027,1,"('196.3875', '-10.55556')","(196.49167, -10.41389)",-99,-99,-99,-99,336.4626924,7829.3,253.3,110.2720804,x,x,x,x,x,0,x,x,x,0.2784,1,1,1,7576,"7542, 7610",37pm4,7.57E12 pm 8.99E11,21.2pm 2.7,"Lya, d:Lya","Lya labeled at 7576, d:Lya at 7573, center is 7576 : ONLY 1 GALAXY"
SBS1108+560,UGC06225,3,"('167.88375', '55.79028')","(167.87904, 55.67411)",0.888081863,0.892199662,228.3555832,270.2492035,29.04206628,910.4,178.4,14.32,41.8,9.2,77.3,83,81.7,NGC3556,.SBS6./,80,SB(s)cd        HII,0.765,1,1,1,732,"529, 885",1082pm82,2.07E14 pm 3.34E13,136.9pm 2.8,d:Lya,"d:Lya marked at 732, center is 707"
SBS1108+560,UGC06225,3,"('167.88375', '55.79028')","(167.87904, 55.67411)",1.950964074,1.960010175,228.3555832,270.2492035,29.04206628,910.4,-18.6,14.32,41.8,9.2,77.3,83,81.7,NGC3556,.SBS6./,80,SB(s)cd        HII,0.765,1,1,1,929,"895, 1017",284pm51,5.69E13 pm 1.78E13,46.1pm 1.8,d:Lya,"d:Lya marked at 929, center is 956"
PG1216+069,SDSSJ121903.72+063342.9,1,"('184.83708', '6.64389')","(184.76552, 6.56194)",0.007219862,2.28E-13,71.06873748,21.36663287,110.1638657,4131,318,58.18263304,7.7,3.7,61.3,156,64.9,0,x,x,x,0.3313,1,1,1,3813,"3692, 3934",360pm10,9.78E13 pm 3.17E12,62.7pm 2.3,"Lya, d:Lya","Lya labeled at 3775, 3812, d:Lya labeled at 3797, center is 3797 : ONLY 1 GALAXY"
SDSSJ080908.13+461925.6,UGC04260,2,"('122.28375', '46.32389')","(122.78651, 46.4654)",0.00018021,1.42E-35,75.46623913,24.34551293,217.6633981,2391,110,33.299999,8.4,3.5,65.2,110,42.2,UGC4260,.I..9*.,-99,Im:,0.6563,1,1,1,2281,"2228, 2336",85pm12,1.79e13 pm 2.85E12,33.1pm 2.7,d:Lya,"d:Lya marked at 2281, center is 2282"
SDSSJ080908.13+461925.6,SDSSJ080842.74+461828.9,1,"('122.28375', '46.32389')","(122.17811, 46.30809)",0.013142969,3.28E-05,103.0851275,47.95798161,132.6306394,7227.2,327.2,101.791107,13.2,10.6,36.9,74,3.8,0,x,x,x,0.6563,1,1,1,6900,"6864, 6970",151pm10,3.54E13 pm 2.81E12,38.6pm 2.6,d:Lya,"d:Lya labeled at 6900, center is 6917 : ONLY 1 GALAXY"
SDSSJ080908.13+461925.6,SDSSJ080842.74+461828.9,1,"('122.28375', '46.32389')","(122.17811, 46.30809)",0.141003105,0.000351986,103.0851275,47.95798161,132.6306394,7227.2,110.2,101.791107,13.2,10.6,36.9,74,3.8,0,x,x,x,0.6563,1,1,1,7117,"7024, 7180",176pm12,4.06E13 pm 3.26E12,50.5pm 3.7,d:Lya,"d:Lya labeled at 7117, center is 7102 : ONLY 1 GALAXY"
TON1009,NGC2770,5,"('137.27542', '32.60861')","(137.39045, 33.12353)",0.072366885,0.082646559,204.4092283,212.4100186,274.0148385,2143.1,182.1,29.967,35.6,7.3,78.1,x,42.7,NGC2770,.SAS5*.,148,SA(s)c:,0.809,1,1,1,1961,"1854, 2048",350pm21,1.05E14 pm 8.11E12,55.0pm3.5,Lya,"Lya labeled at 1961 _ I measure 1951, looks blended"
TON1009,KUG0906+333ANED01,2,"('137.27542', '32.60861')","(137.33077, 33.12324)",2.52E-11,1.07E-51,100.9194509,45.79467218,495.4975368,3900.9,108.9,54.94195498,12.8,5.6,64.1,x,x,0,x,x,x,0.809,1,1,1,3792,"3750, 3832",132pm12,3.44E13 pm 3.81E12,26.3pm 2.5,Lya,Lya labeled at 3792 _ I measure 3791. Ambigous
TON1009,IC2439,4,"('137.27542', '32.60861')","(137.16024, 32.59295)",0.403347412,0.268201585,153.4747113,113.9204766,108.5992962,4494.8,209.8,63.30638611,23.5,7.5,71.3,30,50.8,MCG6-20-32,.L?....,-99,S0?,0.809,1,1,1,4285,"4200, 4390",343pm17,1.26E14 pm 1.06E13,42.1pm 3.5,Lya,"Lya labeled at 4285 _ I measure 4295, loose galaxy group"
RX_J1330.8+3119,UGC08496NED02,5,"('202.72167', '31.32556')","(202.5724, 31.33278)",0.013850576,8.30E-07,100.9194509,45.79467218,160.2412903,5104.2,265.2,71.89071302,12.8,6.6,58.7,47,46.2,UGC8496,.S?....,-99,HII,0.241,1,1,1,4839,"4735, 4943",413pm16,1.42E14 pm 9.19E12,51.4pm 2.6,f:Lya,"good. Several other, closer galaxies. Just a bit too ambiguous, center is 4839"
RX_J1330.8+3119,UGC08492,4,"('202.72167', '31.32556')","(202.52721, 31.38811)",0.008401369,0.010142602,204.0128691,211.5156614,335.4060644,7689.2,288.2,108.2987054,35.5,34.1,16.2,70,40.6,UGC8492,.S?....,-99,S0,0.241,1,0,1,7401,"7325, 7497",330pm15,1.09E14 pm 7.83E12,45.6pm 2.3,f:Lya,"f:Lya labeled at 7401, center is 7411. Somewhat ambiguous, and totally face on (can't determine azimuth). UGC08498 is b = 580, and is huge : VIRIAL AND CUSTOM INCLUDE MISMATCH"
SDSSJ140428.30+335342.0,KUG1402+341,2,"('211.11792', '33.895')","(211.12182, 33.95337)",0.166376558,0.170042061,203.6161637,210.6225629,117.5153834,8177.5,293.5,115.175796,35.4,12.7,68.9,120,63.2,0,x,x,Spiral,0.549,1,0,1,7884,"7745, 8023",889pm28,2.82E14 pm 2.03E13,93.4pm 1.2,working,center is 7884. SDSSJ140425.82+335552.8 is probably a large satellite galaxy : VIRIAL AND CUSTOM INCLUDE MISMATCH
RX_J0714.5+7408,UGC03739,2,"('108.65083', '74.13639')","(109.13343, 75.74151)",1.24E-29,0,58.44741601,13.96824971,475.115241,1200.5,-138.5,16.9081605,5.8,4.5,38.7,x,x,UGC3739,.I..9*.,-99,Im:,0.371,1,1,1,1339,"1322, 1374",24pm8,4.64E12 pm 1.66E12,18.7pm 2.7,done,"very weak, center is 1348"
RX_J0714.5+7408,UGC03717,1,"('108.65083', '74.13639')","(108.31017, 73.84314)",0.063934401,0.069162396,201.6273975,206.1760146,270.6033265,4268.8,194.8,50.35,34.9,16.8,61.3,115,82.6,UGC3717,.S..4..,103,Sbc,0.371,1,1,1,4074,"4030, 4114",58pm7,1.18E13 pm 1.65E12,29.0pm 2.0,done,center is 4072 : ONLY 1 GALAXY
RX_J0714.5+7408,UGC03717,1,"('108.65083', '74.13639')","(108.31017, 73.84314)",0.165001996,0.178494415,201.6273975,206.1760146,270.6033265,4268.8,4.8,50.35,34.9,16.8,61.3,115,82.6,UGC3717,.S..4..,103,Sbc,0.371,1,1,1,4264,"4164, 4354",410pm9,1.70E14 pm 7.19E12,43.8pm 2.6,done,"very likely Lya, but not yet fully identified, center is 4259 : ONLY 1 GALAXY"
PG1121+423,SDSSJ112418.74+420323.1,1,"('171.16333', '42.02917')","(171.07809, 42.05642)",0.0102104,4.60E-05,104.1603213,49.05205398,129.2311645,7628,349,107.436169,13.4,5.8,64.5,133,19.7,0,x,x,x,0.234,1,1,1,7279,"7200, 7270",46pm6,9.17E12 pm 1.32E12,26.4pm 2.3,d:Lya,"d:Lya labeled at 7279, I measure 7235 : ONLY 1 GALAXY"
PG1121+423,SDSSJ112418.74+420323.1,1,"('171.16333', '42.02917')","(171.07809, 42.05642)",0.022610893,0.000101956,104.1603213,49.05205398,129.2311645,7628,300,107.436169,13.4,5.8,64.5,133,19.7,0,x,x,x,0.234,1,1,1,7328,"7267, 7431",359pm7,1.27E14 pm 4.05E12,41.9pm 2.1,"d:Lya, Lya","d:Lya labeled at 7348, Lya at 7328, I measure 7349 : ONLY 1 GALAXY"
3C351.0,SDSSJ170325.13+603944.4,1,"('256.1725', '60.74194')","(255.85472, 60.66234)",0.000411713,4.87E-12,116.1905373,62.20846405,314.6773872,7327.7,135.7,103.2071228,15.7,11.3,43.9,87,24.1,0,x,x,x,0.3719,1,1,1,7192,"7104, 7216",63pm11,1.29E13 pm 2.43E12,32.8pm 6.2,Lya,"Lya labeled at 7192, I measure 7160 : ONLY 1 GALAXY"
HE1228+0131,NGC4517,12,"('187.70833', '1.25583')","(188.18996, 0.11503)",0.270420131,0.252481238,193.1759035,187.8498124,211.0427507,1420.4,-67.6,9.765,32.8,4.1,82.7,x,74.1,NGC4517,.SAS6*/,83,SA(s)cd: sp    HII,0.117,1,1,1,1488,"1440, 1550",144pm3,3.60E13 pm 7.74E11,29.0pm 3.5,"d:Lya,Lya","d:Lya & Lya labeled at 1988 - I measure 1495 center, near NGC4517, 3C273.0; p"
HE1228+0131,NGC4517,12,"('187.70833', '1.25583')","(188.18996, 0.11503)",0.191432792,0.178733691,193.1759035,187.8498124,211.0427507,1420.4,-135.6,9.765,32.8,4.1,82.7,x,74.1,NGC4517,.SAS6*/,83,SA(s)cd: sp    HII,0.117,1,1,1,1556,"1550, 1600",20pm2,3.86E12 pm 4.10E11,19.7pm 1.7,d:Lya,"d:Lya labeled at 1556 - I measure 1575, weak near NGC4517A, 3C273.0; p"
HE1228+0131,2MASXJ12303439+0116243,1,"('187.70833', '1.25583')","(187.64345, 1.27345)",0.006316704,0.000346985,126.7038471,75.09828227,158.8300695,9612.8,373.8,135.3912178,17.8,15.7,28.3,45,60.2,0,x,x,x,0.117,1,1,1,9239,"9140, 9308",249pm3,6.04E13 pm 7.84E11,53.1pm 2.2,"Lya, d:Lya","Lya labeled at 9239, d:Lya at 9235 _ I measure 9224, far away, but the only galaxy in field : ONLY 1 GALAXY"
