x,y
-4.249,89.403
-4.249,89.139
-3.999,89.403
-3.998,89.17
-3.749,89.403
-3.748,89.17
-3.502,85.648
-3.25,82.17
-3.249,82.156
-3.003,80.329
-2.998,80.484
-2.753,72.142
-2.497,60.636
-2.248,60.731
-1.998,49.969
-1.753,48.459
-1.502,48.328
-1.248,48.356
-1.001,44.43
-0.751,28.003
-0.501,22.723
-0.253,14.19
0.002,-11.582
0.248,-27.032
0.5,-28.281
0.751,-31.257
0.999,-31.409
1.251,-50.629
1.503,-50.857
1.749,-50.375
2.001,-50.582
2.251,-54.858
2.501,-67.553
2.751,-68.701
3.001,-69.784
3.252,-69.654
3.501,-72.261
3.502,-72.25
3.747,-73.004
3.751,-72.749
3.998,-73.004
4,-73.131
