R (arcmin),vel
-2.2504,2094.3334
-2.0193,2094.3715
-1.801,2095.7232
-1.634,2095.7506
-1.5056,2094.4559
-1.4029,2093.157
-1.3002,2091.8582
-1.1332,2087.9382
-0.9663,2078.7552
-0.825,2064.3047
-0.6966,2044.589
-0.4655,2020.9428
-0.3371,1999.9113
-0.183,1982.8314
-0.0931,1965.7409
0.2022,1932.8947
0.3307,1915.8106
0.4591,1901.358
0.6132,1884.2781
0.7544,1864.5645
0.87,1848.794
1.0241,1830.3983
1.2039,1814.6384
1.6661,1804.1881
1.8459,1802.9019
2.0514,1802.9357
2.4366,1800.3675
2.6164,1800.3971
