R (kpc),vel
-19.1148,147.33339999999998
-17.1518,147.3715000000002
-15.2976,148.7231999999999
-13.8791,148.75059999999985
-12.7885,147.45589999999993
-11.9161,146.15700000000015
-11.0438,144.85820000000012
-9.6253,140.93820000000005
-8.2077,131.75520000000006
-7.0075,117.30470000000014
-5.9169,97.58899999999994
-3.9539,73.94280000000003
-2.8633,52.91129999999998
-1.5544,35.83140000000003
-0.7908,18.74090000000001
1.7175,-14.105299999999943
2.8089,-31.189399999999978
3.8996,-45.64200000000005
5.2085,-62.721900000000005
6.4078,-82.43550000000005
7.3897,-98.2059999999999
8.6986,-116.60169999999994
10.2258,-132.36159999999995
14.1517,-142.81189999999992
15.679,-144.09809999999993
17.4245,-144.0643
20.6963,-146.63249999999994
22.2235,-146.6029000000001
