R (kpc),vel,,,,
22.2235,-148.864486,,,,
20.6963,-148.8945427,,,,
17.4245,-146.286724,,,,
15.679,-146.3210455,,,,149.9093939
14.1517,-145.0150038,,,,0.995495352
10.2258,-134.403491,,,,
8.6986,-118.4004692,,,,
7.3897,-99.72098585,,,,
6.4078,-83.70720046,,,,
5.2085,-63.68948641,,,,
3.8996,-46.34610142,,,,
2.8089,-31.67054677,,,,
1.7175,-14.32289699,,,,
-0.7908,19.03000859,,,,
-1.5544,36.3841571,,,,
-2.8633,53.72754209,,,,
-3.9539,75.08348688,,,,
-5.9169,99.09446763,,,,
-7.0075,119.1143141,,,,
-8.2077,133.7877363,,,,
-9.6253,143.1123989,,,,
-11.0438,147.0928712,,,,
-11.9161,148.4117073,,,,
-12.7885,149.7306449,,,,
-13.8791,151.0453178,,,,
-15.2976,151.0174951,,,,
-17.1518,149.6449429,,,,
-19.1148,149.6062552,,,,
