R (arcmin),vel
-2.2504,2094.3334
-2.0193,2094.3715
-1.801,2095.7232
-1.634,2095.7506
-1.5056,2094.4559
-1.4029,2093.157
-1.3002,2091.8582
-1.0819,2083.9993
-0.9663,2077.4394
-0.7223,2064.3216
-0.5554,2041.9807
-0.3884,2024.9028
-0.2087,2001.2482
-0.0803,1976.2693
0.1637,1927.6252
0.2408,1907.9011
0.3692,1886.8696
0.4591,1868.4633
0.6003,1842.1707
0.7416,1823.7729
0.8186,1817.2066
0.947,1806.7014
1.191,1804.11
1.3965,1801.5122
1.6661,1804.1881
1.8459,1802.9019
2.0514,1802.9357
2.4366,1800.3675
2.6164,1800.3971
