R (kpc),vel,,R (kpc) at 20.4 Mpc distance,,,neg R,,neg vel
0.117,15.98,,0.084339223,,,-0.084339223,,-15.98
0.251,50.732,,0.180932862,,,-0.180932862,,-50.732
0.274,29.827,,0.197512367,,,-0.197512367,,-29.827
0.44,45.072,,0.317173145,,,-0.317173145,,-45.072
0.467,51.387,,0.336636042,,,-0.336636042,,-51.387
0.63,71.471,,0.454134276,,,-0.454134276,,-71.471
0.648,60.615,,0.467109541,,,-0.467109541,,-60.615
0.817,87.054,,0.588932862,,,-0.588932862,,-87.054
0.837,74.214,,0.603349823,,,-0.603349823,,-74.214
0.987,84.166,,0.711477032,,,-0.711477032,,-84.166
1.047,85.151,,0.754727915,,,-0.754727915,,-85.151
1.162,102.391,,0.837625442,,,-0.837625442,,-102.391
1.186,95.513,,0.854925795,,,-0.854925795,,-95.513
1.294,98.952,,0.932777385,,,-0.932777385,,-98.952
1.52,111.926,,1.095689046,,,-1.095689046,,-111.926
1.524,108.376,,1.098572438,,,-1.098572438,,-108.376
1.656,113.546,,1.193724382,,,-1.193724382,,-113.546
1.678,105.456,,1.209583039,,,-1.209583039,,-105.456
1.689,116.006,,1.217512367,,,-1.217512367,,-116.006
1.906,118.657,,1.373936396,,,-1.373936396,,-118.657
2.055,125.551,,1.481342756,,,-1.481342756,,-125.551
2.082,119.911,,1.500805654,,,-1.500805654,,-119.911
2.239,120.285,,1.613978799,,,-1.613978799,,-120.285
2.251,114.844,,1.622628975,,,-1.622628975,,-114.844
2.418,130.568,,1.743010601,,,-1.743010601,,-130.568
2.424,124.569,,1.747335689,,,-1.747335689,,-124.569
2.591,127.495,,1.867717314,,,-1.867717314,,-127.495
2.637,122.308,,1.900876325,,,-1.900876325,,-122.308
2.776,130.156,,2.001074205,,,-2.001074205,,-130.156
2.781,126.376,,2.004678445,,,-2.004678445,,-126.376
2.952,128.545,,2.127943463,,,-2.127943463,,-128.545
3.031,129.624,,2.184890459,,,-2.184890459,,-129.624
3.162,135.133,,2.279321555,,,-2.279321555,,-135.133
3.219,126.204,,2.320409894,,,-2.320409894,,-126.204
3.308,126.124,,2.384565371,,,-2.384565371,,-126.124
3.328,134.11,,2.398982332,,,-2.398982332,,-134.11
3.434,128.3,,2.475392226,,,-2.475392226,,-128.3
3.579,127.603,,2.579915194,,,-2.579915194,,-127.603
3.639,129.78,,2.623166078,,,-2.623166078,,-129.78
3.703,128.28,,2.669300353,,,-2.669300353,,-128.28
3.879,119.523,,2.796169611,,,-2.796169611,,-119.523
3.907,128.439,,2.816353357,,,-2.816353357,,-128.439
4.045,129.189,,2.915830389,,,-2.915830389,,-129.189
4.092,125.618,,2.949710247,,,-2.949710247,,-125.618
4.411,130.672,,3.179660777,,,-3.179660777,,-130.672
4.411,126.265,,3.179660777,,,-3.179660777,,-126.265
4.765,137.881,,3.434840989,,,-3.434840989,,-137.881
4.766,131.532,,3.435561837,,,-3.435561837,,-131.532
5.111,139.594,,3.684254417,,,-3.684254417,,-139.594
5.14,132.106,,3.705159011,,,-3.705159011,,-132.106
5.474,146.312,,3.945922261,,,-3.945922261,,-146.312
5.486,138.171,,3.954572438,,,-3.954572438,,-138.171
5.843,144.499,,4.211915194,,,-4.211915194,,-144.499
5.843,137.637,,4.211915194,,,-4.211915194,,-137.637
6.2,138.242,,4.469257951,,,-4.469257951,,-138.242
6.206,146.064,,4.473583039,,,-4.473583039,,-146.064
6.557,150.879,,4.726600707,,,-4.726600707,,-150.879
6.557,145.591,,4.726600707,,,-4.726600707,,-145.591
6.885,151.58,,4.963038869,,,-4.963038869,,-151.58
6.926,147.643,,4.99259364,,,-4.99259364,,-147.643
7.294,150.15,,5.257865724,,,-5.257865724,,-150.15
7.309,145.225,,5.268678445,,,-5.268678445,,-145.225
