R (kpc),vel
-5.268678445,-145.225
-5.257865724,-150.15
-4.99259364,-147.643
-4.963038869,-151.58
-4.726600707,-150.879
-4.726600707,-145.591
-4.473583039,-146.064
-4.469257951,-138.242
-4.211915194,-144.499
-4.211915194,-137.637
-3.954572438,-138.171
-3.945922261,-146.312
-3.705159011,-132.106
-3.684254417,-139.594
-3.435561837,-131.532
-3.434840989,-137.881
-3.179660777,-130.672
-3.179660777,-126.265
-2.949710247,-125.618
-2.915830389,-129.189
-2.816353357,-128.439
-2.796169611,-119.523
-2.669300353,-128.28
-2.623166078,-129.78
-2.579915194,-127.603
-2.475392226,-128.3
-2.398982332,-134.11
-2.384565371,-126.124
-2.320409894,-126.204
-2.279321555,-135.133
-2.184890459,-129.624
-2.127943463,-128.545
-2.004678445,-126.376
-2.001074205,-130.156
-1.900876325,-122.308
-1.867717314,-127.495
-1.747335689,-124.569
-1.743010601,-130.568
-1.622628975,-114.844
-1.613978799,-120.285
-1.500805654,-119.911
-1.481342756,-125.551
-1.373936396,-118.657
-1.217512367,-116.006
-1.209583039,-105.456
-1.193724382,-113.546
-1.098572438,-108.376
-1.095689046,-111.926
-0.932777385,-98.952
-0.854925795,-95.513
-0.837625442,-102.391
-0.754727915,-85.151
-0.711477032,-84.166
-0.603349823,-74.214
-0.588932862,-87.054
-0.467109541,-60.615
-0.454134276,-71.471
-0.336636042,-51.387
-0.317173145,-45.072
-0.197512367,-29.827
-0.180932862,-50.732
-0.084339223,-15.98
0.084339223,15.98
0.180932862,50.732
0.197512367,29.827
0.317173145,45.072
0.336636042,51.387
0.454134276,71.471
0.467109541,60.615
0.588932862,87.054
0.603349823,74.214
0.711477032,84.166
0.754727915,85.151
0.837625442,102.391
0.854925795,95.513
0.932777385,98.952
1.095689046,111.926
1.098572438,108.376
1.193724382,113.546
1.209583039,105.456
1.217512367,116.006
1.373936396,118.657
1.481342756,125.551
1.500805654,119.911
1.613978799,120.285
1.622628975,114.844
1.743010601,130.568
1.747335689,124.569
1.867717314,127.495
1.900876325,122.308
2.001074205,130.156
2.004678445,126.376
2.127943463,128.545
2.184890459,129.624
2.279321555,135.133
2.320409894,126.204
2.384565371,126.124
2.398982332,134.11
2.475392226,128.3
2.579915194,127.603
2.623166078,129.78
2.669300353,128.28
2.796169611,119.523
2.816353357,128.439
2.915830389,129.189
2.949710247,125.618
3.179660777,130.672
3.179660777,126.265
3.434840989,137.881
3.435561837,131.532
3.684254417,139.594
3.705159011,132.106
3.945922261,146.312
3.954572438,138.171
4.211915194,144.499
4.211915194,137.637
4.469257951,138.242
4.473583039,146.064
4.726600707,150.879
4.726600707,145.591
4.963038869,151.58
4.99259364,147.643
5.257865724,150.15
5.268678445,145.225
