R (kpc),vel,err
-5.2687,-145.225,7.74
-5.2579,-150.15,7.76
-4.9926,-147.643,7.75
-4.963,-151.58,7.76
-4.7266,-150.879,7.76
-4.7266,-145.591,7.74
-4.4736,-146.064,7.75
-4.4693,-138.242,7.72
-4.2119,-144.499,7.74
-4.2119,-137.637,7.72
-3.9546,-138.171,7.72
-3.9459,-146.312,7.75
-3.7052,-132.106,7.7
-3.6843,-139.594,7.72
-3.4356,-131.532,7.7
-3.4348,-137.881,7.72
-3.1797,-130.672,7.7
-3.1797,-126.265,7.68
-2.9497,-125.618,7.68
-2.9158,-129.189,7.69
-2.8164,-128.439,7.69
-2.7962,-119.523,7.66
-2.6693,-128.28,7.69
-2.6232,-129.78,7.69
-2.5799,-127.603,7.69
-2.4754,-128.3,7.69
-2.399,-134.11,7.71
-2.3846,-126.124,7.68
-2.3204,-126.204,7.68
-2.2793,-135.133,7.71
-2.1849,-129.624,7.69
-2.1279,-128.545,7.69
-2.0047,-126.376,7.68
-2.0011,-130.156,7.69
-1.9009,-122.308,7.67
-1.8677,-127.495,7.69
-1.7473,-124.569,7.68
-1.743,-130.568,7.7
-1.6226,-114.844,7.65
-1.614,-120.285,7.67
-1.5008,-119.911,7.66
-1.4813,-125.551,7.68
-1.3739,-118.657,7.66
-1.2175,-116.006,7.65
-1.2096,-105.456,7.63
-1.1937,-113.546,7.65
-1.0986,-108.376,7.63
-1.0957,-111.926,7.64
-0.9328,-98.952,7.61
-0.8549,-95.513,7.6
-0.8376,-102.391,7.62
-0.7547,-85.151,7.58
-0.7115,-84.166,7.58
-0.6033,-74.214,7.56
-0.5889,-87.054,7.58
-0.4671,-60.615,7.54
-0.4541,-71.471,7.56
-0.3366,-51.387,7.53
-0.3172,-45.072,7.52
-0.1975,-29.827,7.5
-0.1809,-50.732,7.52
-0.0843,-15.98,7.5
0.0843,15.98,7.5
0.1809,50.732,7.52
0.1975,29.827,7.5
0.3172,45.072,7.52
0.3366,51.387,7.53
0.4541,71.471,7.56
0.4671,60.615,7.54
0.5889,87.054,7.58
0.6033,74.214,7.56
0.7115,84.166,7.58
0.7547,85.151,7.58
0.8376,102.391,7.62
0.8549,95.513,7.6
0.9328,98.952,7.61
1.0957,111.926,7.64
1.0986,108.376,7.63
1.1937,113.546,7.65
1.2096,105.456,7.63
1.2175,116.006,7.65
1.3739,118.657,7.66
1.4813,125.551,7.68
1.5008,119.911,7.66
1.614,120.285,7.67
1.6226,114.844,7.65
1.743,130.568,7.7
1.7473,124.569,7.68
1.8677,127.495,7.69
1.9009,122.308,7.67
2.0011,130.156,7.69
2.0047,126.376,7.68
2.1279,128.545,7.69
2.1849,129.624,7.69
2.2793,135.133,7.71
2.3204,126.204,7.68
2.3846,126.124,7.68
2.399,134.11,7.71
2.4754,128.3,7.69
2.5799,127.603,7.69
2.6232,129.78,7.69
2.6693,128.28,7.69
2.7962,119.523,7.66
2.8164,128.439,7.69
2.9158,129.189,7.69
2.9497,125.618,7.68
3.1797,130.672,7.7
3.1797,126.265,7.68
3.4348,137.881,7.72
3.4356,131.532,7.7
3.6843,139.594,7.72
3.7052,132.106,7.7
3.9459,146.312,7.75
3.9546,138.171,7.72
4.2119,144.499,7.74
4.2119,137.637,7.72
4.4693,138.242,7.72
4.4736,146.064,7.75
4.7266,150.879,7.76
4.7266,145.591,7.74
4.963,151.58,7.76
4.9926,147.643,7.75
5.2579,150.15,7.76
5.2687,145.225,7.74
