R (kpc),vel
0.42,28.208
0.812,46.941
1.211,60.898
1.617,72.232
2.015,80.526
2.43,88.578
2.821,95.223
3.226,102.77
3.624,110.16
4.021,117.309
4.434,124.98
4.837,132.024
5.241,137.429
5.643,141.741
6.046,143.927
6.449,146.113
6.823,146.235
7.255,146.235
7.658,146.356
8.061,147.692
8.464,149.028
8.868,150.121
9.271,151.457
9.674,152.794
10.077,154.251
10.451,154.98
10.854,155.709
11.286,156.559
11.689,157.409
12.092,158.502
12.438,159.717
12.898,160.81
13.301,161.903
13.676,161.903
14.05,160.931
14.453,159.352
14.914,158.259
15.259,156.194
15.662,154.008
16.065,153.158
16.468,153.401
16.871,153.401
17.303,153.401
17.706,153.522
18.081,153.644
18.484,153.887
18.916,154.615
19.29,155.101
19.693,155.83
20.096,156.073
20.499,156.073
20.902,155.951
21.305,154.372
21.708,153.887
22.111,153.644
22.486,153.522
22.917,153.158
23.321,152.672
23.724,152.915
24.127,153.279
24.53,153.401
24.933,153.158
25.307,152.794
25.71,152.308
26.084,151.7
26.516,151.215
26.919,151.336
27.333,151.299
27.697,151.093
28.129,149.514
28.532,149.028
28.906,148.543
29.309,148.057
29.741,148.057
30.144,147.935
30.547,148.057
30.936,148.253
31.353,148.057
31.756,148.3
32.159,149.15
32.562,149.757
32.937,150.121
33.34,149.757
33.743,150.243
34.146,151.457
34.549,151.943
34.952,152.186
35.355,152.551
35.758,150.486
36.178,150.473
36.564,150.486
36.967,150.364
37.37,152.308
37.774,153.401
