R (arcsec),vel
1.88,91.014
6.838,131.807
12.05,131.583
16.955,150.722
21.841,149.286
41.987,188.15
46.952,198.495
52.073,204.35
56.928,203.819
61.948,206.282
67.091,211.293
72.036,212.334
77.106,212.242
82.083,213.014
87.106,212.727
92.026,202.24
97.078,201.931
102.099,199.069
107.073,192.97
112.045,193.234
117.104,197.648
122.039,204.611
127.086,208.639
132.047,208.754
137.124,202.519
142.065,203.237
147.109,201.625
152.196,201.849
157.164,203.372
162.161,201.509
167.096,194.977
172.222,190.145
177.142,194.38
182.228,194.322
187.237,194.794
192.171,193.458
197.198,199.283
202.093,195.456
207.238,185.122
212.178,186.246
