R (kpc),vel,err
10.2867,186.246,15.63
10.0472,185.122,15.57
9.7978,195.456,16.15
9.5604,199.283,16.36
9.3167,193.458,16.04
9.0775,194.794,16.11
8.8347,194.322,16.08
8.5881,194.38,16.09
8.3496,190.145,15.85
8.101,194.977,16.12
7.8618,201.509,16.49
7.6195,203.372,16.59
7.3787,201.849,16.51
7.132,201.625,16.5
6.8875,203.237,16.59
6.648,202.519,16.55
6.4018,208.754,16.9
6.1613,208.639,16.89
5.9166,204.611,16.66
5.6774,197.648,16.27
5.4321,193.234,16.02
5.191,192.97,16.01
4.9499,199.069,16.35
4.7065,201.931,16.51
4.4615,202.24,16.53
4.223,212.727,17.13
3.9795,213.014,17.15
3.7382,212.242,17.1
3.4924,212.334,17.11
3.2527,211.293,17.05
3.0033,206.282,16.76
2.7599,203.819,16.62
2.5246,204.35,16.65
2.2763,198.495,16.32
2.0356,188.15,15.74
1.0589,149.286,13.67
0.822,150.722,13.75
0.5842,131.583,12.8
0.3315,131.807,12.81
0.0911,91.014,11.05
-0.0911,-91.014,11.05
-0.3315,-131.807,12.81
-0.5842,-131.583,12.8
-0.822,-150.722,13.75
-1.0589,-149.286,13.67
-2.0356,-188.15,15.74
-2.2763,-198.495,16.32
-2.5246,-204.35,16.65
-2.7599,-203.819,16.62
-3.0033,-206.282,16.76
-3.2527,-211.293,17.05
-3.4924,-212.334,17.11
-3.7382,-212.242,17.1
-3.9795,-213.014,17.15
-4.223,-212.727,17.13
-4.4615,-202.24,16.53
-4.7065,-201.931,16.51
-4.9499,-199.069,16.35
-5.191,-192.97,16.01
-5.4321,-193.234,16.02
-5.6774,-197.648,16.27
-5.9166,-204.611,16.66
-6.1613,-208.639,16.89
-6.4018,-208.754,16.9
-6.648,-202.519,16.55
-6.8875,-203.237,16.59
-7.132,-201.625,16.5
-7.3787,-201.849,16.51
-7.6195,-203.372,16.59
-7.8618,-201.509,16.49
-8.101,-194.977,16.12
-8.3496,-190.145,15.85
-8.5881,-194.38,16.09
-8.8347,-194.322,16.08
-9.0775,-194.794,16.11
-9.3167,-193.458,16.04
-9.5604,-199.283,16.36
-9.7978,-195.456,16.15
-10.0472,-185.122,15.57
-10.2867,-186.246,15.63
