R (arcsec),vel
-4.2493,89.4031
-4.2487,89.1386
-3.9991,89.4031
-3.9984,89.1696
-3.7489,89.4031
-3.7482,89.1696
-3.502,85.6475
-3.25,82.1701
-3.2486,82.1561
-3.003,80.3294
-2.9985,80.4837
-2.753,72.1419
-2.4967,60.6365
-2.2475,60.7314
-1.9984,49.9688
-1.7528,48.4593
-1.5022,48.3278
-1.2478,48.3558
-1.0014,44.4304
-0.7506,28.0033
-0.5009,22.7229
-0.2529,14.1897
0.0016,-11.5818
0.2482,-27.0323
0.5002,-28.2813
0.7506,-31.2566
0.999,-31.4092
1.2513,-50.629
1.5034,-50.8572
1.7491,-50.3754
2.0012,-50.5819
2.2508,-54.8576
2.5015,-67.5527
2.7507,-68.701
3.0013,-69.7837
3.2521,-69.6543
3.5015,-72.2611
3.5021,-72.2503
3.7474,-73.0044
3.7509,-72.7489
3.9976,-73.0044
4.0005,-73.1314
