R (kpc),vel,,,
9.9525,127.633,,,
9.1234,137.893,,,
8.2768,137.893,,,
7.4501,133.379,,,
6.6234,141.587,,,
5.8067,147.332,,,
5.5104,146.512,,,145.062375
5.234,145.28,,,
4.9377,145.486,,,7.75557904
4.6488,146.101,,,
4.3625,147.127,,,
4.0761,150.616,,,
3.7898,154.514,,,
3.5034,156.156,,,
3.2046,152.668,,,
2.9208,150.821,,,
2.622,146.306,,,
2.3257,137.893,,,
2.0393,136.457,,,
1.743,136.047,,,
1.4591,123.324,,,
1.1628,109.371,,,
0.8665,105.882,,,
0.5827,90.082,,,
0.2913,47.811,,,
