Name,Target,z,z_target,b,RAdeg,DEdeg,RAdeg_target,DEdeg_target,Vhel,vcorr,bestDist,MajDiam,MinDiam,e_MajDiam,e_MinDiam,R_vir,adjustedInc,e_inc,PA,azimuth,RC3_type,RC3_d25,RC3_r25,RC3_pa,group_num,group_mem,group_dist,MType,flag,distIndicator,Bmag,Bmag_sdss,Lstar_med,e_Lstar_med,Lstar_sdss,e_Lstar_sdss
NGC3640,SDSSJ111507.60+023757.0,0.00433,0.5670,638.3404950611476,170.27854,3.23483,168.78208333333333,2.6327777777777777,1298,1582,22.7,27.71,22.17,7.0,5.6,171.96,38,5,100,31.9,.E.3...,238.86,0.79,100,100444,5,19.4,E3,0,FJ,11.3,-99.99,2.7,3.2,-99.99,-99.99
NGC3640,SDSSJ112005.00+041323.0,0.00433,0.54689,404.5638345571744,170.27854,3.23483,170.02083333333334,4.223055555555556,1298,1582,22.7,27.71,22.17,7.0,5.6,171.96,38,5,100,65.4,.E.3...,238.86,0.79,100,100444,5,19.4,E3,0,FJ,11.3,-99.99,2.7,3.2,-99.99,-99.99
NGC3640,RX_J1121.2+0326,0.00433,0.15200,78.10830344845903,170.27854,3.23483,170.30833333333334,3.4297222222222223,1298,1582,22.7,27.71,22.17,7.0,5.6,171.96,38,5,100,88.7,.E.3...,238.86,0.79,100,100444,5,19.4,E3,0,FJ,11.3,-99.99,2.7,3.2,-99.99,-99.99
NGC3640,RX_J1121.2+0326,0.00433,0.15200,78.10830344845903,170.27854,3.23483,170.30833333333334,3.4297222222222223,1298,1582,22.7,27.71,22.17,7.0,5.6,171.96,38,5,100,88.7,.E.3...,238.86,0.79,100,100444,5,19.4,E3,0,FJ,11.3,-99.99,2.7,3.2,-99.99,-99.99
NGC3640,SDSSJ112224.10+031802.0,0.00433,0.47528,129.95253022192963,170.27854,3.23483,170.60041666666666,3.3005555555555555,1298,1582,22.7,27.71,22.17,7.0,5.6,171.96,38,5,100,21.6,.E.3...,238.86,0.79,100,100444,5,19.4,E3,0,FJ,11.3,-99.99,2.7,3.2,-99.99,-99.99
NGC3640,HE1120+0154,0.00433,1.47200,673.1531628488689,170.27854,3.23483,170.83625,1.629722222222222,1298,1582,22.7,27.71,22.17,7.0,5.6,171.96,38,5,100,60.8,.E.3...,238.86,0.79,100,100444,5,19.4,E3,0,FJ,11.3,-99.99,2.7,3.2,-99.99,-99.99
NGC3640,HE1120+0154,0.00433,1.47200,673.1531628488689,170.27854,3.23483,170.83625,1.629722222222222,1298,1582,22.7,27.71,22.17,7.0,5.6,171.96,38,5,100,60.8,.E.3...,238.86,0.79,100,100444,5,19.4,E3,0,FJ,11.3,-99.99,2.7,3.2,-99.99,-99.99
NGC3640,HE1120+0154,0.00433,1.47200,673.1531628488689,170.27854,3.23483,170.83625,1.629722222222222,1298,1582,22.7,27.71,22.17,7.0,5.6,171.96,38,5,100,60.8,.E.3...,238.86,0.79,100,100444,5,19.4,E3,0,FJ,11.3,-99.99,2.7,3.2,-99.99,-99.99
NGC3640,HE1120+0154,0.00433,1.47200,673.1531628488689,170.27854,3.23483,170.83625,1.629722222222222,1298,1582,22.7,27.71,22.17,7.0,5.6,171.96,38,5,100,60.8,.E.3...,238.86,0.79,100,100444,5,19.4,E3,0,FJ,11.3,-99.99,2.7,3.2,-99.99,-99.99
NGC3640,SDSSJ112633.95+044137.7,0.00433,27,790.0835738054337,170.27854,3.23483,171.64125,4.693888888888889,1298,1582,22.7,27.71,22.17,7.0,5.6,171.96,38,5,100,57.1,.E.3...,238.86,0.79,100,100444,5,19.4,E3,0,FJ,11.3,-99.99,2.7,3.2,-99.99,-99.99
NGC3640,SDSSJ112633.95+044137.7,0.00433,27,790.0835738054337,170.27854,3.23483,171.64125,4.693888888888889,1298,1582,22.7,27.71,22.17,7.0,5.6,171.96,38,5,100,57.1,.E.3...,238.86,0.79,100,100444,5,19.4,E3,0,FJ,11.3,-99.99,2.7,3.2,-99.99,-99.99
