Name,Target,identified,v_limits,e_v_center,Lya_v,Lya_W,e_Lya_W,Na,e_Na,b,e_b,W,e_W,comment,z,z_target,impact,RAdeg,DEdeg,RAdeg_target,DEdeg_target,Vhel,vcorr,bestDist,MajDiam,MinDiam,e_MajDiam,e_MinDiam,R_vir,adjustedInc,e_inc,PA,azimuth,RC3_type,RC3_d25,RC3_r25,RC3_pa,group_num,group_mem,group_dist,MType,flag,distIndicator,Bmag,Bmag_sdss,Lstar_med,e_Lstar_med,Lstar_sdss,e_Lstar_sdss
NGC4536,HE1217+0220,no,,,,,,,,,,,,not in reduce?,0.006031,0.24,926.5519293,188.61271,2.18814,185.0495833,2.061666667,1808,2103,14.9,29.62,15.4,5.6,2.9,180.05,61,3,95,7,.SXT4..,455.15,0.43,130,170002,4,21,SAB(rs)bc;HII_Sbrst,0,Ceph,10.6,13.8,2,1.8,0.11,0.095
NGC4536,PKS1219+04,no,,,,,,,,,,,,not in reduce?,0.006031,0.9674,945.4544237,188.61271,2.18814,185.59375,4.221111111,1808,2103,14.9,29.62,15.4,5.6,2.9,180.05,61,3,95,29,.SXT4..,455.15,0.43,130,170002,4,21,SAB(rs)bc;HII_Sbrst,0,Ceph,10.6,13.8,2,1.8,0.11,0.095
NGC4536,MRK50,no,,,,,,,,,,,,not in reduce?,0.006031,0.023,728.9539858,188.61271,2.18814,185.8504167,2.678888889,1808,2103,14.9,29.62,15.4,5.6,2.9,180.05,61,3,95,5.1,.SXT4..,455.15,0.43,130,170002,4,21,SAB(rs)bc;HII_Sbrst,0,Ceph,10.6,13.8,2,1.8,0.11,0.095
NGC4536,SDSSJ122414.29+003709.0,no,,,,,,,,,,,,not in reduce?,0.006031,1.4798,779.1131582,188.61271,2.18814,186.0595833,0.619166667,1808,2103,14.9,29.62,15.4,5.6,2.9,180.05,61,3,95,36.6,.SXT4..,455.15,0.43,130,170002,4,21,SAB(rs)bc;HII_Sbrst,0,Ceph,10.6,13.8,2,1.8,0.11,0.095
NGC4536,SDSSJ122556.62+003535.1,no,,,,,,,,,,,,not in reduce?,0.006031,1.2207,691.2226004,188.61271,2.18814,186.4858333,0.593055556,1808,2103,14.9,29.62,15.4,5.6,2.9,180.05,61,3,95,41.9,.SXT4..,455.15,0.43,130,170002,4,21,SAB(rs)bc;HII_Sbrst,0,Ceph,10.6,13.8,2,1.8,0.11,0.095
NGC4536,SDSSJ122558.45-005226.2,no,,,,,,,,,,,,not in reduce?,0.006031,0.9628,968.307812,188.61271,2.18814,186.49375,-0.873888889,1808,2103,14.9,29.62,15.4,5.6,2.9,180.05,61,3,95,60.3,.SXT4..,455.15,0.43,130,170002,4,21,SAB(rs)bc;HII_Sbrst,0,Ceph,10.6,13.8,2,1.8,0.11,0.095
NGC4536,SDSSJ122608.02-000602.2,no,,,,,,,,,,,,not in reduce?,0.006031,1.1256,804.0644544,188.61271,2.18814,186.5333333,-0.100555556,1808,2103,14.9,29.62,15.4,5.6,2.9,180.05,61,3,95,52.7,.SXT4..,455.15,0.43,130,170002,4,21,SAB(rs)bc;HII_Sbrst,0,Ceph,10.6,13.8,2,1.8,0.11,0.095
NGC4536,HD108317,star,,,,,,,,,,,,star,0.006031,7,956.3130713,188.61271,2.18814,186.6541667,5.303333333,1808,2103,14.9,29.62,15.4,5.6,2.9,180.05,61,3,95,53,.SXT4..,455.15,0.43,130,170002,4,21,SAB(rs)bc;HII_Sbrst,0,Ceph,10.6,13.8,2,1.8,0.11,0.095
NGC4536,3C273.0,Lya,"910, 1116",1,1013,382,3,1.36E+14,1.07E+12,44.3,2.2,75.2,3.6,in pilot paper,0.006031,0.15834,348.6695236,188.61271,2.18814,187.2779167,2.0525,1808,2103,14.9,29.62,15.4,5.6,2.9,180.05,61,3,95,10.8,.SXT4..,455.15,0.43,130,170002,4,21,SAB(rs)bc;HII_Sbrst,0,Ceph,10.6,13.8,2,1.8,0.11,0.095
NGC4536,3C273.0,Lya,"1482, 1700",1,1580,369,2,1.43E+14,1.05E+12,42,2.2,70,3.6,in pilot paper,0.006031,0.15834,348.6695236,188.61271,2.18814,187.2779167,2.0525,1808,2103,14.9,29.62,15.4,5.6,2.9,180.05,61,3,95,10.8,.SXT4..,455.15,0.43,130,170002,4,21,SAB(rs)bc;HII_Sbrst,0,Ceph,10.6,13.8,2,1.8,0.11,0.095
