R,vel
38.4582,225.208
37.4128,226.851
36.267,228.98
35.1177,230.945
33.9685,232.417
32.8227,234.546
31.6734,236.73
30.5242,239.681
29.3784,243.291
28.2292,245.365
27.0799,247.111
25.9341,247.76
24.7849,247.751
23.6356,247.798
22.4898,247.899
21.3406,249.59
20.1948,249.855
19.0456,250.066
17.8963,250.661
16.7505,251.146
15.6013,251.302
14.4521,251.293
13.3063,251.12
12.157,249.906
11.0113,246.664
9.862,241.229
8.7162,238.096
7.567,237.869
6.4212,238.244
5.8708,236.379
5.272,232.316
4.8185,229.264
4.2127,226.031
3.5862,230.271
3.0808,238.28
2.7069,244.477
2.0354,249.861
1.3016,244.467
0.99,234.684
0.9069,227.205
0.765,205.296
0.7615,216.725
0.5815,193.218
0.5815,178.579
0.5331,163.766
0.5331,150.502
0.4673,134.653
0.4327,114.392
0.3323,92.318
0.3219,104.265
0.2804,73.124
0.2804,63.678
0.2354,23.884
0.2319,43.611
0.2181,2.78
0.1869,-16.151
0.135,-35.867
0.09,-81.147
0.09,-95.859
0.0865,-55.342
0.0865,-68.606
0.0485,-174.481
0.045,-148.555
0.045,-161.367
0.0415,-108.762
0.0415,-122.026
0.0415,-135.291
-0.1073,-185.271
-0.18,-198.89
-0.2285,-211.382
-0.315,-219.504
-0.5331,-226.998
-0.9312,-220.524
-1.3119,-212.19
-1.6373,-203.778
-2.2535,-201.723
-2.6446,-207.338
-3.0081,-225.15
-3.2539,-234.798
-3.4754,-242.878
-3.9116,-248.972
-4.3097,-255.066
-4.9016,-259.257
-6.0474,-263.047
-7.1966,-260.096
-8.3458,-254.568
-9.4916,-250.63
-10.6409,-252.283
-11.7866,-258.321
-12.9359,-262.001
-14.0817,-263.599
-15.2309,-266.074
-16.3767,-268.823
-17.5259,-271.791
-18.6752,-272.019
-19.821,-270
-20.9702,-269.898
-22.116,-269.907
-23.2652,-269.915
-24.4145,-268.334
-25.5603,-264.944
-26.7095,-261.171
-27.8588,-257.945
-29.008,-257.899
-29.8457,-257.905
-30.5796,-257.797
