R,vel,err
38.4582,225.208,10.71
37.4128,226.851,10.76
36.267,228.98,10.81
35.1177,230.945,10.86
33.9685,232.417,10.9
32.8227,234.546,10.96
31.6734,236.73,11.01
30.5242,239.681,11.09
29.3784,243.291,11.19
28.2292,245.365,11.24
27.0799,247.111,11.29
25.9341,247.76,11.31
24.7849,247.751,11.31
23.6356,247.798,11.31
22.4898,247.899,11.31
21.3406,249.59,11.36
20.1948,249.855,11.36
19.0456,250.066,11.37
17.8963,250.661,11.39
16.7505,251.146,11.4
15.6013,251.302,11.4
14.4521,251.293,11.4
13.3063,251.12,11.4
12.157,249.906,11.37
11.0113,246.664,11.28
9.862,241.229,11.13
8.7162,238.096,11.05
7.567,237.869,11.04
6.4212,238.244,11.05
5.8708,236.379,11.0
5.272,232.316,10.9
4.8185,229.264,10.82
4.2127,226.031,10.73
3.5862,230.271,10.84
3.0808,238.28,11.05
2.7069,244.477,11.22
2.0354,249.861,11.36
1.3016,244.467,11.22
0.99,234.684,10.96
0.9069,227.205,10.76
0.765,205.296,10.21
0.7615,216.725,10.5
0.5815,193.218,9.92
0.5815,178.579,9.57
0.5331,163.766,9.24
0.5331,150.502,8.96
0.4673,134.653,8.65
0.4327,114.392,8.28
0.3323,92.318,7.94
0.3219,104.265,8.12
0.2804,73.124,7.69
0.2804,63.678,7.58
0.2354,23.884,7.3
0.2319,43.611,7.41
0.2181,2.78,7.25
0.1869,-16.151,7.27
0.135,-35.867,7.36
0.09,-81.147,7.78
0.09,-95.859,7.99
0.0865,-55.342,7.5
0.0865,-68.606,7.64
0.0485,-174.481,9.48
0.045,-148.555,8.92
0.045,-161.367,9.19
0.0415,-108.762,8.19
0.0415,-122.026,8.41
0.0415,-135.291,8.66
-0.1073,-185.271,9.73
-0.18,-198.89,10.05
-0.2285,-211.382,10.36
-0.315,-219.504,10.57
-0.5331,-226.998,10.76
-0.9312,-220.524,10.59
-1.3119,-212.19,10.38
-1.6373,-203.778,10.17
-2.2535,-201.723,10.12
-2.6446,-207.338,10.26
-3.0081,-225.15,10.71
-3.2539,-234.798,10.96
-3.4754,-242.878,11.18
-3.9116,-248.972,11.34
-4.3097,-255.066,11.51
-4.9016,-259.257,11.62
-6.0474,-263.047,11.72
-7.1966,-260.096,11.64
-8.3458,-254.568,11.49
-9.4916,-250.63,11.38
-10.6409,-252.283,11.43
-11.7866,-258.321,11.59
-12.9359,-262.001,11.69
-14.0817,-263.599,11.74
-15.2309,-266.074,11.81
-16.3767,-268.823,11.88
-17.5259,-271.791,11.97
-18.6752,-272.019,11.97
-19.821,-270.0,11.92
-20.9702,-269.898,11.91
-22.116,-269.907,11.91
-23.2652,-269.915,11.91
-24.4145,-268.334,11.87
-25.5603,-264.944,11.78
-26.7095,-261.171,11.67
-27.8588,-257.945,11.58
-29.008,-257.899,11.58
-29.8457,-257.905,11.58
-30.5796,-257.797,11.58
