R (arcsec),vel
-0.001,55.465
10.086,152.402
20.295,174.255
30.014,182.446
40.157,198.587
50.088,213.231
60.019,223.372
69.87,223.399
80.013,216.631
89.944,211.984
100.3,218.889
110.019,227.104
119.95,231.951
130.013,234.215
139.944,234.835
150.088,233.86
159.807,231.116
170.163,228.208
180.306,229.254
190.025,231.852
199.956,235.666
210.019,236.136
219.95,234.125
230.094,232.921
240.025,233.988
249.956,230.686
260.312,226.57
270.031,220.481
280.093,220.136
290.025,222.792
300.168,222.52
310.099,223.404
320.03,226.548
329.962,224.026
339.812,216.231
