R (kpc),vel,err
-0.0001,55.465,5.0
0.7286,152.402,5.0
1.4661,174.255,5.0
2.1681,182.446,5.0
2.9008,198.587,5.0
3.6182,213.231,5.0
4.3356,223.372,5.0
5.0472,223.399,5.0
5.7799,216.631,5.0
6.4973,211.984,5.0
7.2454,218.889,5.0
7.9475,227.104,5.0
8.6649,231.951,5.0
9.3918,234.215,5.0
10.1092,234.835,5.0
10.8419,233.86,5.0
11.544,231.116,5.0
12.2921,228.208,5.0
13.0248,229.254,5.0
13.7269,231.852,5.0
14.4443,235.666,5.0
15.1712,236.136,5.0
15.8886,234.125,5.0
16.6214,232.921,5.0
17.3388,233.988,5.0
18.0561,230.686,5.0
18.8042,226.57,5.0
19.5063,220.481,5.0
20.2332,220.136,5.0
20.9506,222.792,5.0
21.6833,222.52,5.0
22.4007,223.404,5.0
23.1181,226.548,5.0
23.8356,224.026,5.0
24.5471,216.231,5.0
