R (kpc),vel,err
20.01,-139.85,9.63
18.83,-138.75,3.89
17.65,-140.21,2.05
16.48,-138.31,2.28
15.3,-133.43,3.33
14.12,-126.91,5.3
12.95,-122.53,6.11
11.77,-119.6,7.11
10.59,-115.74,6.34
9.41,-112.69,4.04
8.24,-111.39,2.68
7.06,-110.48,2.4
5.88,-107.86,0.29
4.81,-100.03,4.54
3.53,-85.8,4.87
2.35,-66.93,1.05
1.18,-39.36,4.5
-1.18,39.36,4.5
-2.35,66.93,1.05
-3.53,85.8,4.87
-4.81,100.03,4.54
-5.88,107.86,0.29
-7.06,110.48,2.4
-8.24,111.39,2.68
-9.41,112.69,4.04
-10.59,115.74,6.34
-11.77,119.6,7.11
-12.95,122.53,6.11
-14.12,126.91,5.3
-15.3,133.43,3.33
-16.48,138.31,2.28
-17.65,140.21,2.05
-18.83,138.75,3.89
-20.01,139.85,9.63
