targetName,center,galaxyName,environment,degreesJ2000RA_DecAGN,degreesJ2000RA_DecGalaxy,likelihood,likelihood_1.5,virialRadius,d^1.5,impactParameter (kpc),redshiftDistances,vcorrGalaxy (km/s),radialVelocity (km/s),vel_diff,distGalaxy (Mpc),AGN S/N,majorAxis (kpc),minorAxis (kpc),inclination (deg),positionAngle (deg),azimuth (deg),RC3flag,RC3type,RC3inc (deg),RC3pa (deg),morphology,final_morphology,galaxyRedshift
UGC09760,2094,UGC09760,15,"('228.01018', '1.69874')","('228.01018', '1.69874')",1.7631856133754975,1.7631856133754975,141.54708741853955,95.54752220753817,0.0,x,2245.0,2023.0,-71.0,26.4,x,20.9,1.9,85.0,57.0,x,147.28,.S..7./,-99.99,57.0,Sd,Sd,0.006748
UGC09760,2094,SDSSJ151208.16+013508.5,15,"('228.01018', '1.69874')","('228.03424', '1.58594')",0.08080159223423976,2.3568181384387327e-46,37.08631354819165,5.196152422706632,53.143,x,2180.0,1958.0,-136.0,26.4,x,3.0,2.7,25.0,137.0,31.0,-99.99,x,-99.99,-99,E,E,0.00653
UGC09760,2094,SDSSJ151121.63+013637.6,15,"('228.01018', '1.69874')","('227.84016', '1.61047')",0.06427695604544059,2.0415263830710414e-17,59.14089438200837,14.331050205759523,88.24,x,2172.0,1950.0,-144.0,26.4,x,5.9,3.3,56.0,128.0,65.4,-99.99,x,-99.99,-99,Extended_Src_[SDSS],Extended_Src_[SDSS],0.006504
UGC09760,2094,SDSSJ151241.38+013723.7,15,"('228.01018', '1.69874')","('228.17245', '1.62327')",0.021238925774067073,1.5820471577328419e-31,49.80843587295778,9.865900871182518,82.431,x,2104.0,1883.0,-211.0,26.4,x,4.6,2.2,61.0,61.0,54.0,-99.99,x,-99.99,-99,dE4,dE4,0.00628
UGC09760,2094,UGC09746,15,"('228.01018', '1.69874')","('227.56896', '1.93427')",0.0011112062493241614,5.495035088600038e-07,121.74843978037151,68.8595091472485,230.368,x,1959.0,1735.0,-359.0,26.4,x,16.8,4.0,76.0,135.0,16.9,82.82,.S..4*.,-99.99,140.0,Sbc:,Sbc:,0.005787
UGC09760,2094,SDSSJ151231.73+004845.4,15,"('228.01018', '1.69874')","('228.13223', '0.81263')",1.1808328055684156e-14,1.6067027117006213e-130,74.84518802278988,23.912068082873972,412.176,x,2050.0,1830.0,-264.0,26.4,x,8.3,3.6,64.0,118.0,54.2,-99.99,x,-99.99,-99,dIrr,dIrr,0.006104
UGC09760,2094,MCG+00-39-014,15,"('228.01018', '1.69874')","('228.8942', '2.24828')",1.2125898538160607e-15,6.607186993242381e-114,82.74983772760439,29.74451209887296,479.461,x,2137.0,1918.0,-176.0,26.4,x,9.6,8.1,33.0,135.0,76.9,-99.99,x,-99.99,-99,S0,S0,0.006398
UGC09760,2094,SDSSJ150914.97+015517.1,15,"('228.01018', '1.69874')","('227.31238', '1.92143')",1.7595191478980993e-18,0.0,54.92250663883951,12.201516299214617,337.364,x,1963.0,1739.0,-355.0,26.4,x,5.3,2.9,57.0,91.0,16.7,-99.99,x,-99.99,-99,dE,dE,0.0058
UGC09760,2094,PGC054045,15,"('228.01018', '1.69874')","('227.03877', '1.60875')",2.1825730643200825e-21,1.1032951696657172e-279,65.22756252504672,17.732230542151203,449.368,x,2386.0,2161.0,67.0,26.4,x,6.8,6.0,28.0,144.0,59.3,-99.99,x,-99.99,-99,Sbc_NLAGN,Sbc_NLAGN,0.007207
UGC09760,2094,PGC054037,15,"('228.01018', '1.69874')","('227.02439', '1.65153')",1.0371113452506659e-21,4.2284700068198195e-263,66.54533988759152,18.520259177452136,454.591,x,2062.0,1837.0,-257.0,26.4,x,7.0,2.7,68.0,95.0,7.7,-99.99,x,-99.99,-99,S0/a,S0/a,0.006129
UGC09760,2094,SDSSJ150847.18+015359.8,15,"('228.01018', '1.69874')","('227.19661', '1.89997')",2.9679295045351306e-22,0.0,54.92250663883951,12.201516299214617,386.011,x,2236.0,2011.0,-83.0,26.4,x,5.3,1.8,70.0,155.0,51.1,-99.99,x,-99.99,-99,dE,dE,0.006709
UGC09760,2094,SDSSJ151121.44+013638.7,15,"('228.01018', '1.69874')","('227.83943', '1.61076')",7.812915866902712e-24,0.0,12.215868886348156,0.46475800154489,88.477,x,2143.0,1921.0,-173.0,26.4,x,0.6,0.4,48.0,78.0,15.3,-99.99,x,-99.99,-99,dE,dE,0.006409
UGC09760,2094,SDSSJ150825.57+014224.8,15,"('228.01018', '1.69874')","('227.10656', '1.70689')",4.512426395688285e-58,0.0,36.228855835915674,4.938522046118656,416.226,x,2274.0,2049.0,-45.0,26.4,x,2.9,2.0,46.0,130.0,39.5,-99.99,x,-99.99,-99,dE,dE,0.006835
UGC09760,2094,NGC5846:[MTT2005]264,15,"('228.01018', '1.69874')","('227.08292', '1.68972')",-99.99,-99.99,-99.99,-99.99,427.121,x,2313.0,2088.0,-6.0,26.4,x,-99.99,-99.99,-99,-99,8.4,-99.99,x,-99.99,-99,"dE,N","dE,N",0.006965
UGC09760,2094,NGC5846:[MTT2005]259,15,"('228.01018', '1.69874')","('227.03833', '1.42056')",-99.99,-99.99,-99.99,-99.99,465.668,x,2539.0,2314.0,220.0,26.4,x,-99.99,-99.99,-99,-99,7.0,-99.99,x,-99.99,-99,"dE,N","dE,N",0.007719
