targetName,center,galaxyName,environment,degreesJ2000RA_DecAGN,degreesJ2000RA_DecGalaxy,likelihood,likelihood_1.5,virialRadius,d^1.5,impactParameter (kpc),redshiftDistances,vcorrGalaxy (km/s),radialVelocity (km/s),vel_diff,distGalaxy (Mpc),AGN S/N,majorAxis (kpc),minorAxis (kpc),inclination (deg),positionAngle (deg),azimuth (deg),RC3flag,RC3type,RC3inc (deg),RC3pa (deg),morphology,final_morphology,galaxyRedshift
IC5325,1503,IC5325,24,"('352.18096', '-41.33347')","('352.18096', '-41.33347')",2.0,2.0,139.20178859213968,92.1393726915915,0.0,x,1246.0,1503.0,0.0,18.1,x,20.4,18.6,25.0,15.0,x,165.25,.SXT4..,-99.99,-99,SAB(rs)bc,SAB(rs)bc,0.005013
IC5325,1503,NGC7582:[ZM98]0024,24,"('352.18096', '-41.33347')","('350.20458', '-41.73083')",0.0145191412759026,0.0,13.586814548942638,0.5856620185738528,26.736308258206325,x,1369.0,1623.0,120.0,1.0,x,0.7,0.6,30.0,47.0,28.0,99.58,.SBS9..,-99.99,-99,SAB(s)m,SAB(s)m,0.005414
IC5325,1503,PGC071660,24,"('352.18096', '-41.33347')","('352.88236', '-42.14704')",6.438449217876217e-05,4.6292577254427184e-12,123.74128690828067,71.33335825544735,354.0501339157861,x,1490.0,1745.0,242.0,20.97,x,17.2,6.7,67.0,18.0,50.9,-99.99,x,-99.99,-99,S...,S...,0.005821
IC5325,1503,NGC7582,24,"('352.18096', '-41.33347')","('349.59792', '-42.37056')",9.790599585462948e-07,5.126236602744371e-05,228.73239418747616,271.21957709575463,846.8374152937205,x,1323.0,1575.0,72.0,22.2,x,41.9,15.1,69.0,157.0,84.9,300.71,PSBS2..,-99.99,157.0,(R'_1)SB(s)ab_Sy2,(R'_1)SB(s)ab_Sy2,0.005254
IC5325,1503,NGC7599,24,"('352.18096', '-41.33347')","('349.83808', '-42.25683')",4.930106688890549e-07,6.2197183793352184e-09,176.17265879211655,153.75273330903747,658.5920971309818,x,1399.0,1651.0,148.0,19.1,x,28.7,9.7,70.0,55.0,7.3,261.91,.SAS5..,-99.99,57.0,SB(s)c_LINER,SB(s)c_LINER,0.005508
IC5325,1503,NGC7552,24,"('352.18096', '-41.33347')","('349.04483', '-42.58474')",2.577285574762632e-10,4.397734021739969e-41,106.82679825129605,51.82295823281415,498.8192575108093,x,1358.0,1608.0,105.0,10.8,x,13.9,8.2,54.0,95.0,33.0,203.31,PSBS2..,-99.99,1.0,(R')SB(s)ab;HIILINER,(R')SB(s)ab;HIILINER,0.005365
IC5325,1503,NGC7590,24,"('352.18096', '-41.33347')","('349.72838', '-42.23906')",2.5941465069270322e-18,2.2406594553115515e-38,142.94591338981866,97.61213039371694,908.1698704267106,x,1323.0,1575.0,72.0,25.5,x,21.2,8.9,65.0,30.0,33.8,161.49,.SAT4*.,-99.99,36.0,S(r?)bc_Sy2,S(r?)bc_Sy2,0.005255
IC5325,1503,NGC7632,24,"('352.18096', '-41.33347')","('350.50375', '-42.4805')",1.4858948913704803e-20,1.135201446468085e-146,84.52560428369547,31.149622790653503,571.0083679994649,x,1279.0,1531.0,28.0,19.3,x,9.9,9.1,23.0,92.0,44.3,131.27,PLBS0*.,-99.99,92.0,(RL)SB(1:)0^+_HII,(RL)SB(1:)0^+_HII,0.005107
IC5325,1503,NGC7496,24,"('352.18096', '-41.33347')","('347.44704', '-43.42794')",8.48052316910282e-21,2.6844506994027244e-88,105.23055156994991,50.1543218476733,711.2496690109215,x,1402.0,1649.0,146.0,10.0,x,13.6,10.2,41.0,150.0,89.5,198.68,.SBS3..,-99.99,-99,(R':)SB(rs)bc_Sy2,(R':)SB(rs)bc_Sy2,0.0055
IC5325,1503,MCG-07-47-024,24,"('352.18096', '-41.33347')","('348.56017', '-40.63164')",6.228718136296739e-42,4.33968e-319,82.74983772760439,29.74451209887296,805.2293905392139,x,1162.0,1416.0,-87.0,16.35,x,9.6,3.4,70.0,142.0,37.5,122.5,.SB.7?/,-99.99,86.0,SBd?_sp,SBd?_sp,0.004724
IC5325,1503,MCG-07-48-001,24,"('352.18096', '-41.33347')","('350.91942', '-42.40233')",7.821471697592801e-46,0.0,68.50034731443957,19.723513885715192,695.4084833747368,x,1429.0,1682.0,179.0,28.0,x,7.3,2.2,73.0,92.0,50.5,92.93,.SBS5*P,-99.99,92.0,SB(s)c:_pec,SB(s)c:_pec,0.00561
IC5325,1503,NGC7412,24,"('352.18096', '-41.33347')","('343.94063', '-42.64203')",1.6320918921680992e-55,0.0,82.74983772760439,29.74451209887296,925.4713607896671,x,1466.0,1710.0,207.0,8.47,x,9.6,6.3,49.0,45.0,33.1,233.43,.SBS3..,-99.99,65.0,SAB(s)c,SAB(s)c,0.005704
IC5325,1503,NGC7582:[ZM98]0019,24,"('352.18096', '-41.33347')","('349.48863', '-42.52375')",1.399938528054586e-57,0.0,68.50034731443957,19.723513885715192,782.7653618880498,x,1367.0,1618.0,115.0,19.25,x,7.3,1.7,77.0,150.0,89.5,-99.99,x,-99.99,-99,Sa:,Sa:,0.005397
IC5325,1503,PGC070641,24,"('352.18096', '-41.33347')","('347.79533', '-42.84757')",8.952791659585847e-63,0.0,89.75577294999835,35.49242172633477,1071.1007918083556,x,1119.0,1367.0,-136.0,17.1,x,10.8,1.1,84.0,71.0,5.7,92.93,.SB.8?/,-99.99,71.0,SBdm?_sp,SBdm?_sp,0.00456
IC5325,1503,NGC7462,24,"('352.18096', '-41.33347')","('345.69371', '-40.83525')",3.1354800402990495e-70,0.0,72.9679409100885,22.627416997969522,909.0884484516572,x,814.0,1064.0,-439.0,10.6,x,8.0,1.9,76.0,75.0,20.8,250.12,.SBS4?/,-99.99,75.0,SB(s)bc?_sp,SB(s)bc?_sp,0.003549
IC5325,1503,2MASXJ23133822-4159392,24,"('352.18096', '-41.33347')","('348.40908', '-41.99436')",0.0,0.0,28.035654353601306,2.8284271247461903,1015.7541403616098,x,1428.0,1679.0,176.0,20.11,x,2.0,1.1,57.0,175.0,81.9,-99.99,x,-99.99,-99,15.819,15.819,0.005601
IC5325,1503,UMaDwarf,24,"('352.18096', '-41.33347')","('158.72', '51.92')",-99.99,-99.99,-99.99,-99.99,289.70835937288024,x,1313.0,1101.0,-402.0,0.1,x,-99.99,-99.99,-99,-99,53.0,-99.99,x,-99.99,-99,dSph,dSph,0.003673
IC5325,1503,NGC7582:[ZM98]0022,24,"('352.18096', '-41.33347')","('349.41379', '-42.28193')",-99.99,-99.99,-99.99,-99.99,757.1437495190013,x,1357.0,1609.0,106.0,19.11,x,-99.99,-99.99,-99,-99,15.5,-99.99,x,-99.99,-99,x,x,0.005367
IC5325,1503,LEDA135518,24,"('352.18096', '-41.33347')","('348.30566', '-42.23315')",-99.99,-99.99,-99.99,-99.99,724.1184823225367,x,974.0,1224.0,-279.0,13.71,x,-99.99,-99.99,-99,-99,8.2,-99.99,x,-99.99,-99,x,x,0.004083
IC5325,1503,LCRSB232156.4-424432,24,"('352.18096', '-41.33347')","('351.16708', '-42.46722')",-99.99,-99.99,-99.99,-99.99,473.0192157428386,x,1413.0,1666.0,163.0,19.9,x,-99.99,-99.99,-99,-99,47.1,-99.99,x,-99.99,-99,E,E,0.005556
IC5325,1503,HIPASSJ2318-42a:[SMD2013]S04,24,"('352.18096', '-41.33347')","('349.70994', '-42.39692')",-99.99,-99.99,-99.99,-99.99,748.5329275623405,x,1433.0,1685.0,182.0,20.18,x,-99.99,-99.99,-99,-99,20.8,-99.99,x,-99.99,-99,x,x,0.005621
IC5325,1503,HIPASSJ2311-42,24,"('352.18096', '-41.33347')","('347.86292', '-42.76833')",-99.99,-99.99,-99.99,-99.99,977.1130193447358,x,1132.0,1381.0,-122.0,15.94,x,-99.99,-99.99,-99,-99,14.9,-99.99,x,-99.99,-99,x,x,0.004605
