targetName,center,galaxyName,environment,degreesJ2000RA_DecAGN,degreesJ2000RA_DecGalaxy,likelihood,likelihood_1.5,virialRadius,d^1.5,impactParameter (kpc),redshiftDistances,vcorrGalaxy (km/s),radialVelocity (km/s),vel_diff,distGalaxy (Mpc),AGN S/N,majorAxis (kpc),minorAxis (kpc),inclination (deg),positionAngle (deg),azimuth (deg),RC3flag,RC3type,RC3inc (deg),RC3pa (deg),morphology,final_morphology,galaxyRedshift
NGC3640,1298,NGC3640,21,"('170.27854', '3.23483')","('170.27854', '3.23483')",2.0,2.0,171.91391896736113,145.7872868257037,0.0,x,1582.0,1298.0,0.0,22.7,x,27.7,22.2,37.0,100.0,x,238.86,.E.3...,-99.99,100.0,E3,E3,0.00433
NGC3640,1298,NGC3630,21,"('170.27854', '3.23483')","('170.07075', '2.96439')",0.1068726489333488,0.04178041751433022,155.27250219409794,116.84142672870782,171.93177352229264,x,1782.0,1499.0,201.0,28.9,x,23.9,10.7,63.0,37.0,0.5,274.25,.L..../,-99.99,37.0,S0,S0,0.005
NGC3640,1298,UGC06345,21,"('170.27854', '3.23483')","('170.065', '2.52528')",0.0015395150754910732,7.485079286284254e-18,77.92791269481938,26.105018674576737,159.05481766685577,x,1885.0,1602.0,304.0,12.3,x,8.8,5.3,53.0,75.0,58.3,140.65,.IBS9..,-99.99,75.0,IB(s)m,IB(s)m,0.005344
NGC3640,1298,SDSSJ1121+0324,21,"('170.27854', '3.23483')","('170.47037', '3.40589')",1.8493159028618637e-05,0.0,28.99554748433651,3.043189116699782,95.10134988422551,x,1507.0,1223.0,-75.0,21.22,x,2.1,1.2,56.0,72.0,23.8,-99.99,x,-99.99,-99,BlueCG,BlueCG,0.004079
NGC3640,1298,SDSSJ112014.70+023120.9,21,"('170.27854', '3.23483')","('170.06125', '2.5225')",2.685039155027108e-06,3.649860961275753e-20,108.4123997055851,53.509700055223625,347.66066986540994,x,1900.0,1617.0,319.0,26.75,x,14.2,9.8,46.0,29.0,12.1,-99.99,x,-99.99,-99,x,x,0.005393
NGC3640,1298,NGC3664A,21,"('170.27854', '3.23483')","('171.10458', '3.2225')",7.91929300607204e-11,4.825191590083429e-89,78.53786744113215,26.55125232451381,378.6106386026946,x,1611.0,1326.0,28.0,26.3,x,8.9,8.9,0.0,-99,9.9,49.91,RSBS9*.,-99.99,-99,(R)SB(s)m:,(R)SB(s)m:,0.004423
NGC3640,1298,KPG283B,21,"('170.27854', '3.23483')","('171.10342', '3.31411')",9.770833179273979e-14,1.4312566407159833e-204,61.19983704356188,15.43787550150603,334.426113677702,x,1645.0,1360.0,62.0,23.16,x,6.2,2.2,70.0,106.0,21.5,-99.99,x,-99.99,-99,Sm,Sm,0.004535
NGC3640,1298,SDSSJ112425.02+031316.4,21,"('170.27854', '3.23483')","('171.10425', '3.22125')",9.523047656833933e-18,0.0,52.027780007432355,10.846612374377543,325.6557389166809,x,1607.0,1322.0,24.0,22.63,x,4.9,2.1,65.0,165.0,74.1,-99.99,x,-99.99,-99,x,x,0.00441
NGC3640,1298,SDSSJ112204.12+033651.6,21,"('170.27854', '3.23483')","('170.5172', '3.61435')",2.398851259234469e-18,0.0,29.941368737561735,3.263127334322092,189.57525263732106,x,1721.0,1437.0,139.0,24.24,x,2.2,1.6,45.0,15.0,17.1,-99.99,x,-99.99,-99,x,x,0.004794
NGC3640,1298,NGC3664,21,"('170.27854', '3.23483')","('171.10104', '3.325')",1.2785086175599604e-18,0.0,54.92250663883951,12.201516299214617,351.7983228938516,x,1666.0,1381.0,83.0,24.4,x,5.3,4.7,26.0,40.0,43.7,122.5,.SBS9P.,-99.99,-99,SB(s)m_pec,SB(s)m_pec,0.004607
NGC3640,1298,SDSSJ112106.98+032807.0,21,"('170.27854', '3.23483')","('170.27908', '3.46861')",5.775885783741282e-32,0.0,12.215868886348156,0.46475800154489,102.82208764099273,x,1790.0,1506.0,208.0,25.2,x,0.6,0.4,48.0,28.0,27.9,-99.99,x,-99.99,-99,x,x,0.005022
NGC3640,1298,MCG+01-29-039,21,"('170.27854', '3.23483')","('170.82849', '3.95523')",3.371568334884977e-35,0.0,47.54372818749395,8.916669781930919,417.77439898649146,x,1877.0,1592.0,294.0,26.43,x,4.3,4.3,0.0,50.0,12.7,-99.99,x,-99.99,-99,dE,dE,0.005309
NGC3640,1298,SDSSJ112003.09+024122.6,21,"('170.27854', '3.23483')","('170.0129', '2.68963')",2.1002649976952764e-37,0.0,31.794042964791394,3.71806401235912,286.9893826074276,x,1926.0,1643.0,345.0,27.12,x,2.4,1.9,41.0,37.0,11.1,-99.99,x,-99.99,-99,x,x,0.00548
NGC3640,1298,SDSSJ112608.29+040344.5,21,"('170.27854', '3.23483')","('171.53458', '4.06236')",1.782821256122165e-73,0.0,35.36218090933294,4.685296148590822,456.14049129863145,x,1796.0,1510.0,212.0,17.4,x,2.8,1.6,56.0,24.0,32.6,-99.99,x,-99.99,-99,x,x,0.005037
NGC3640,1298,SDSSJ112014.56+023152.5,21,"('170.27854', '3.23483')","('170.0607', '2.53126')",1.0396121292033393e-89,0.0,24.034925927759257,2.023857702507763,342.026539344417,x,1890.0,1607.0,309.0,26.61,x,1.6,0.8,61.0,88.0,70.8,-99.99,x,-99.99,-99,x,x,0.00536
NGC3640,1298,PGC034653,21,"('170.27854', '3.23483')","('169.88763', '3.01531')",1.2201169543427703e-216,0.0,7.572053359925451,0.1643167672515498,168.8252438372453,x,1534.0,1251.0,-47.0,21.6,x,0.3,0.1,78.0,1.0,59.6,-99.99,x,-99.99,-99,x,x,0.004174
