R (kpc),vel,err
0.1857,1.6,3.81
0.3783,7.89,3.83
0.5435,13.45,3.87
0.679,17.93,3.92
0.8137,22.42,3.98
0.9492,26.91,4.05
1.0839,31.39,4.14
1.2422,36.5,4.25
1.399,40.96,4.36
1.6913,45.28,4.47
1.9607,49.49,4.59
2.2652,54.05,4.72
2.5834,57.96,4.85
3.0591,61.28,4.96
3.5561,64.57,5.07
4.0456,66.84,5.14
4.538,68.77,5.21
5.0305,70.54,5.28
5.523,71.87,5.32
6.0025,72.68,5.35
6.5087,73.82,5.39
6.9905,74.57,5.42
7.4936,75.46,5.46
8.0142,76.36,5.49
8.4785,77.05,5.51
8.9893,77.54,5.53
9.4635,78.16,5.56
9.9559,78.75,5.58
10.4065,79.21,5.6
10.9409,79.46,5.61
11.4333,79.65,5.61
11.9258,80.04,5.63
12.5507,80.45,5.64
