x (arcmin),y (total velocity km/s),,x (arcsec),y (rot),y corrected
-2.37,585.5,,-142.2,61.5,78.04466697
-2.14,585.03,,-128.4,61.97,78.64110589
-1.92,584.87,,-115.2,62.13,78.84414892
-1.66,585.11,,-99.6,61.89,78.53958437
-1.41,585.85,,-84.6,61.15,77.60051033
-1.16,587.31,,-69.6,59.69,75.74774263
-0.9,589.35,,-54,57.65,73.15894392
-0.67,592.11,,-40.2,54.89,69.65645154
-0.41,596.21,,-24.6,50.79,64.45347375
-0.15,602.27,,-9,44.73,56.76321876
0.09,615.62,,5.4,31.38,39.82181544
0.28,621.44,,16.8,25.56,32.436125
0.59,675.93,,35.4,-28.93,-36.71271895
0.83,690.87,,49.8,-43.87,-55.67186244
1.08,697.38,,64.8,-50.38,-63.93317597
1.33,700.24,,79.8,-53.24,-67.56257024
1.58,702.72,,94.8,-55.72,-70.70973729
1.83,703.87,,109.8,-56.87,-72.16910912
2.08,705.4,,124.8,-58.4,-74.11070815
2.32,706.94,,139.2,-59.94,-76.06499737
2.56,708.64,,153.6,-61.64,-78.22232963
2.82,708.31,,169.2,-61.31,-77.80355336
3.04,708.38,,182.4,-61.38,-77.89238469
