R (kpc),vel
-16.2519,-82.52099999999996
-15.1057,-83.19799999999998
-14.0402,-81.57399999999996
-12.9693,-80.71900000000005
-11.4463,-76.75
-9.2345,-72.726
-7.7869,-68.76300000000003
-5.6505,-57.053
-3.5195,-41.49699999999996
-2.1526,-29.08000000000004
-0.8556,-17.437000000000012
1.7974,18.92999999999995
2.9436,29.022000000000048
4.0038,39.10799999999995
5.3007,52.28899999999999
6.5169,64.69399999999996
8.2659,72.52700000000004
10.0956,76.52099999999996
11.8553,79.73900000000003
13.841,76.82100000000003
14.7559,76.89499999999998
