R (kpc),vel,err
-16.2519,-84.36456822885704,3.21
-15.1057,-85.05669281158069,3.22
-14.0402,-83.39641168551985,3.21
-12.9693,-82.52231047691035,3.21
-11.4463,-78.464640655891,3.19
-9.2345,-74.35074210215413,3.18
-7.7869,-70.29920632470404,3.17
-5.6505,-58.32759795883452,3.14
-3.5195,-42.42406766511408,3.1
-2.1526,-29.729664498675096,3.09
-0.8556,-17.82655295266153,3.07
1.7974,19.352907460794952,3.07
2.9436,29.67036874417293,3.09
4.0038,39.98169598398151,3.1
5.3007,53.45716736489751,3.13
6.5169,66.13930244419817,3.16
8.2659,74.14729632377603,3.18
10.0956,78.23052465966687,3.19
11.8553,81.52041669394261,3.2
13.841,78.53722683812644,3.19
14.7559,78.61288004214641,3.19
