targetName,center,galaxyName,environment,degreesJ2000RA_DecAGN,degreesJ2000RA_DecGalaxy,likelihood,likelihood_1.5,virialRadius,d^1.5,impactParameter (kpc),redshiftDistances,vcorrGalaxy (km/s),radialVelocity (km/s),vel_diff,distGalaxy (Mpc),AGN S/N,majorAxis (kpc),minorAxis (kpc),inclination (deg),positionAngle (deg),azimuth (deg),RC3flag,RC3type,RC3inc (deg),RC3pa (deg),morphology,final_morphology,galaxyRedshift
UGC09760,2023,NGC5846:[MTT2005]321,13,"('228.01018', '1.69874')","('228.01018', '1.69874')",2.0,2.0,141.54708741853955,95.54752220753817,0.0,x,2245.0,2023.0,0.0,26.4,x,20.9,1.9,85.0,57.0,x,147.28,.S..7./,0.09,57.0,Sd,Sd,0.006748
UGC09760,2023,NGC5846:[MTT2005]323,13,"('228.01018', '1.69874')","('228.03424', '1.58594')",0.15727538642073077,3.822836679621474e-23,46.7780388647478,8.607438643406063,61.77769213783747,x,2180.0,1958.0,-65.0,30.69,x,4.2,3.9,24.0,137.0,31.0,-99.99,x,0.09,-99,E,E,0.00653
UGC09760,2023,NGC5846:[EZ2010]36,13,"('228.01018', '1.69874')","('227.84016', '1.61047')",0.04406720223323092,6.862861638838436e-23,59.14089438200837,14.331050205759523,102.24389080081798,x,2172.0,1950.0,-73.0,30.59,x,5.9,3.3,56.0,128.0,65.4,-99.99,x,0.09,-99,Extended_Src_[SDSS],Extended_Src_[SDSS],0.006504
UGC09760,2023,NGC5846:[EZ2010]51,13,"('228.01018', '1.69874')","('228.17245', '1.62327')",0.019445643748874548,3.9532841857508664e-39,49.80843587295778,9.865900871182518,92.5168361267435,x,2104.0,1883.0,-140.0,29.63,x,4.6,2.2,61.0,61.0,54.0,-99.99,x,0.09,-99,dE4,dE4,0.00628
UGC09760,2023,NGC5846:[MTT2005]305,13,"('228.01018', '1.69874')","('227.56896', '1.93427')",0.0018277267632103274,2.2655740419417202e-07,121.74843978037151,68.8595091472485,250.43160702158423,x,1959.0,1735.0,-288.0,28.7,x,16.8,4.0,76.0,135.0,16.9,82.82,.S..4*.,0.09,140.0,Sbc:,Sbc:,0.005787
UGC09760,2023,NGC5846:[MTT2005]313,13,"('228.01018', '1.69874')","('227.75556', '1.68059')",6.024004060938822e-05,2.903619926976532e-91,46.00667649591621,8.3018672598398,118.99263165984642,x,1898.0,1675.0,-348.0,26.72,x,4.1,3.4,35.0,158.0,72.1,-99.99,x,0.09,-99,dE,dE,0.005586
UGC09760,2023,NGC5846:[EZ2010]52,13,"('228.01018', '1.69874')","('228.10018', '2.08006')",4.508658714786214e-07,2.9395045324880113e-113,53.483943519540084,11.517421586448938,184.41955485927755,x,1915.0,1693.0,-330.0,26.97,x,5.1,3.2,50.0,99.0,85.7,-99.99,x,0.09,-99,"dE3,N","dE3,N",0.005648
UGC09760,2023,NGC5854,13,"('228.01018', '1.69874')","('226.94874', '2.56864')",1.4379708977186615e-08,1.3064040369496505e-32,102.00487150136152,46.87216658103186,392.6518201113384,x,1889.0,1663.0,-360.0,16.4,x,13.0,4.9,68.0,60.0,69.3,165.25,.LBS+./,0.09,55.0,SB(s)0+,SB(s)0+,0.005547
UGC09760,2023,NGC5846:[EZ2010]56,13,"('228.01018', '1.69874')","('228.13223', '0.81263')",7.032634086140509e-17,2.0314862848588163e-155,74.84518802278988,23.912068082873972,450.7032815506489,x,2050.0,1830.0,-193.0,28.87,x,8.3,3.6,64.0,118.0,54.2,-99.99,x,0.09,-99,dIrr,dIrr,0.006104
UGC09760,2023,NGC5846:[MTT2005]290,13,"('228.01018', '1.69874')","('227.31238', '1.92143')",1.4172122492167819e-19,0.0,54.92250663883951,12.201516299214617,353.31877340891316,x,1963.0,1739.0,-284.0,27.65,x,5.3,2.9,57.0,91.0,16.7,-99.99,x,0.09,-99,dE,dE,0.0058
UGC09760,2023,NGC5846:[MTT2005]317,13,"('228.01018', '1.69874')","('227.83943', '1.61076')",1.30003746844608e-30,0.0,12.215868886348156,0.46475800154489,101.1449303018865,x,2143.0,1921.0,-102.0,30.18,x,0.6,0.4,48.0,78.0,15.3,-99.99,x,0.09,-99,dE,dE,0.006409
UGC09760,2023,NGC5846:[MTT2005]276,13,"('228.01018', '1.69874')","('227.19661', '1.89997')",3.160040377354289e-31,0.0,54.92250663883951,12.201516299214617,460.25569503957155,x,2236.0,2011.0,-12.0,31.48,x,5.3,1.8,70.0,155.0,51.1,-99.99,x,0.09,-99,dE,dE,0.006709
UGC09760,2023,NGC5846:[MTT2005]266,13,"('228.01018', '1.69874')","('227.09454', '1.79861')",3.1762130146715876e-39,0.0,46.7780388647478,8.607438643406063,433.52297768446164,x,1916.0,1691.0,-332.0,26.98,x,4.2,2.1,61.0,140.0,43.8,-99.99,x,0.09,-99,"dE,N_NLAGN","dE,N_NLAGN",0.005642
