targetName,center,galaxyName,environment,degreesJ2000RA_DecAGN,degreesJ2000RA_DecGalaxy,likelihood,likelihood_1.5,virialRadius,d^1.5,impactParameter (kpc),redshiftDistances,vcorrGalaxy (km/s),radialVelocity (km/s),vel_diff,distGalaxy (Mpc),AGN S/N,majorAxis (kpc),minorAxis (kpc),inclination (deg),positionAngle (deg),azimuth (deg),RC3flag,RC3type,RC3inc (deg),RC3pa (deg),morphology,final_morphology,galaxyRedshift
NGC3726,1109,NGC3726,15,"('173.33801', '47.02921')","('173.33801', '47.02921')",0.45699728938011885,0.45699728938011885,187.44827888727039,175.95210712009106,0.0,x,1109.0,866.0,-243.0,14.7,x,31.4,19.1,52.0,25.0,x,369.96,.SXR5..,-99.99,10.0,SAB(r)c_HII,SAB(r)c_HII,0.002887
NGC3726,1109,SDSSJ113314.01+470226.0,15,"('173.33801', '47.02921')","('173.30838', '47.04056')",0.4367999170704635,2.4708313252312215e-08,20.826721668546934,1.4822280526288794,5.943,x,1112.0,869.0,-240.0,14.7,x,1.3,0.7,57.0,13.0,73.7,-99.99,x,-99.99,-99,WR_HII,WR_HII,0.002898
NGC3726,1109,SDSSJ113318.79+470338.5,15,"('173.33801', '47.02921')","('173.32831', '47.06071')",0.10781528965666058,3.6838446830128085e-24,18.559272685333866,1.153689732987167,8.258,x,1022.0,779.0,-330.0,14.7,x,1.1,0.9,40.0,1.0,12.9,-99.99,x,-99.99,-99,x,x,0.002598
NGC3726,1109,SDSSJ113307.79+472731.4,15,"('173.33801', '47.02921')","('173.28246', '47.45872')",8.667441263093386e-05,1.2721468657094834e-125,41.248385126852092,6.547900426854397,110.623,x,1645.0,1403.0,294.0,14.7,x,3.5,2.1,52.0,57.0,62.0,-99.99,x,-99.99,-99,x,x,0.004679
NGC3726,1109,NGC3769,15,"('173.33801', '47.02921')","('174.43379', '47.89308')",1.3153819253369967e-05,2.7929351635821957e-17,104.69605083160198,49.60216729135936,292.01,x,978.0,737.0,-372.0,14.7,x,13.5,4.9,69.0,150.0,70.8,185.42,.SBR3*.,-99.99,152.0,SB(r)b:,SB(r)b:,0.002459
NGC3726,1109,SDSSJ113237.43+472658.6,15,"('173.33801', '47.02921')","('173.15598', '47.44963')",7.118577748567043e-07,2.368124323e-314,33.599406811092535,4.192374029115246,112.43,x,1695.0,1453.0,344.0,14.7,x,2.6,2.0,41.0,69.0,85.4,-99.99,x,-99.99,-99,x,x,0.004848
NGC3726,1109,NGC3782,15,"('173.33801', '47.02921')","('174.8365', '46.51383')",5.7447284043230096e-08,4.23066134055684e-49,80.956781570686616,28.361188268477047,294.686,x,985.0,739.0,-370.0,14.7,x,9.3,3.0,71.0,170.0,53.2,99.58,.SXS6*.,-99.99,0.0,SAB(s)cd:,SAB(s)cd:,0.002465
NGC3726,1109,SDSSJ113751.48+475250.2,15,"('173.33801', '47.02921')","('174.46454', '47.88058')",2.0374961688609252e-24,0.0,40.431555755276072,6.269290230959163,293.128,x,1068.0,827.0,-282.0,14.7,x,3.4,1.9,57.0,118.0,76.0,-99.99,x,-99.99,-99,x,x,0.002758
NGC3726,1109,NGC3769A,15,"('173.33801', '47.02921')","('174.464', '47.88133')",4.3671269900318256e-27,0.0,38.775149866282469,5.7243340223994625,293.208,x,975.0,734.0,-375.0,14.7,x,3.2,0.6,80.0,100.0,58.0,64.29,.SB.9P*,-99.99,71.0,SBm_pec:,SBm_pec:,0.002448
NGC3726,1109,PGC036136.1,15,"('173.33801', '47.02921')","('174.78845', '46.6874')",5.389146403064504e-28,0.0,34.485854956043596,4.436552715791846,269.177,x,1081.0,836.0,-273.0,14.7,x,2.7,1.8,47.0,32.0,77.1,-99.99,x,-99.99,-99,x,x,0.002789
NGC3726,1109,SDSSJ112924.21+460649.5,15,"('173.33801', '47.02921')","('172.35088', '46.11375')",3.7514837894654264e-29,0.0,36.228855835915674,4.938522046118656,292.399,x,1466.0,1221.0,112.0,14.7,x,2.9,2.2,39.0,113.0,76.7,-99.99,x,-99.99,-99,dwarf_Irr?,dwarf_Irr?,0.004074
NGC3726,1109,MCG+08-21-092,15,"('173.33801', '47.02921')","('175.34155', '46.3932')",3.0851387843742933e-60,0.0,33.599406811092535,4.192374029115246,388.476,x,989.0,743.0,-366.0,14.7,x,2.6,1.9,41.0,121.0,6.0,-99.99,x,-99.99,-99,x,x,0.002478
NGC3726,1109,SDSSJ114035.57+460727.5,15,"('173.33801', '47.02921')","('175.14824', '46.12432')",5.219550500800352e-77,0.0,29.941368737561735,3.263127334322092,394.815,x,1090.0,843.0,-266.0,14.7,x,2.2,1.0,63.0,99.0,27.3,-99.99,x,-99.99,-99,x,x,0.002811
NGC3726,1109,UGC06628,15,"('173.33801', '47.02921')","('175.02394', '45.94217')",2.776326139949731e-100,0.0,27.060759693886542,2.618969262897142,408.108,x,1088.0,841.0,-268.0,14.7,x,1.9,1.9,0.0,75.0,58.4,173.04,.SA.9..,-99.99,-99,SAm,SAm,0.002805
NGC3726,1109,HIJASSJ1141+46,15,"('173.33801', '47.02921')","('175.29837', '46.40303')",-99.99,-99.99,-99.99,-99.99,380.491,x,989.0,743.0,-366.0,14.7,x,-99.99,-99.99,-99,-99,34.1,-99.99,x,-99.99,-99,x,x,0.002478
