targetName,center,galaxyName,environment,degreesJ2000RA_DecAGN,degreesJ2000RA_DecGalaxy,likelihood,likelihood_1.5,virialRadius,d^1.5,impactParameter (kpc),redshiftDistances,vcorrGalaxy (km/s),radialVelocity (km/s),vel_diff,distGalaxy (Mpc),AGN S/N,majorAxis (kpc),minorAxis (kpc),inclination (deg),positionAngle (deg),azimuth (deg),RC3flag,RC3type,RC3inc (deg),RC3pa (deg),morphology,final_morphology,galaxyRedshift
NGC5364,1241,NGC5364,32,"('209.05', '5.01447')","('209.05', '5.01447')",2.0,2.0,195.60730162998587,193.02772857804652,0.0,x,1516.0,1241.0,0.0,18.1,x,33.4,19.0,55.0,48.0,x,405.65,.SAT4P.,-99.99,30.0,SA(rs)bc_pec_HII,SA(rs)bc_pec_HII,0.00414
NGC5364,1241,NGC5360,32,"('209.05', '5.01447')","('208.91146', '4.98506')",1.4349321229312022,0.845430668659317,115.67938547921628,61.615063093370274,52.95155271679496,x,1447.0,1171.0,-70.0,21.5,x,15.6,3.7,76.0,70.0,8.0,131.27,.I.0...,-99.99,70.0,I0,I0,0.003906
NGC5364,1241,NGC5363,32,"('209.05', '5.01447')","('209.03004', '5.25477')",1.2374391755350633,1.0046146932611852,148.93814397866743,106.7268710306828,69.85867671751107,x,1415.0,1139.0,-102.0,16.6,x,22.5,16.7,42.0,130.0,45.3,244.43,.I.0.$.,-99.99,135.0,I0?_LINER,I0?_LINER,0.003799
NGC5364,1241,SDSSJ135537.58+045900.0,32,"('209.05', '5.01447')","('208.90658', '4.98336')",1.004746160202597,0.0002822313829256952,66.54533988759152,18.520259177452136,52.75107679094147,x,1468.0,1192.0,-49.0,20.67,x,7.0,4.5,50.0,66.0,11.7,-99.99,x,-99.99,-99,x,x,0.003977
NGC5364,1241,NGC5356,32,"('209.05', '5.01447')","('208.74358', '5.33372')",0.11531887756408353,0.018505891724300994,145.2637383013641,101.08567158603636,190.39134374938658,x,1650.0,1374.0,133.0,24.7,x,21.7,7.0,71.0,15.0,58.7,185.42,.SX.4*/,-99.99,15.0,SABbc:_sp_HII,SABbc:_sp_HII,0.004583
NGC5364,1241,NGC5348,32,"('209.05', '5.01447')","('208.54694', '5.22744')",0.05903353148711561,0.0013502454240979988,120.74650827202811,67.63354197437837,158.686348667317,x,1728.0,1451.0,210.0,16.7,x,16.6,6.0,69.0,5.0,72.0,212.89,.SB.4*/,-99.99,177.0,SBbc:_sp,SBbc:_sp,0.00484
NGC5364,1241,PGC049602,32,"('209.05', '5.01447')","('209.23158', '5.15188')",0.015795590292477756,3.325223938182826e-14,66.54533988759152,18.520259177452136,99.98200859717124,x,1791.0,1516.0,275.0,25.22,x,7.0,4.0,55.0,122.0,69.2,-99.99,x,-99.99,-99,x,x,0.005058
NGC5364,1241,SDSSJ135609.35+053233.2,32,"('209.05', '5.01447')","('209.039', '5.54258')",0.0016045484448853494,1.9146573287106188e-46,57.750220983723516,13.608563480397187,139.21053310135136,x,1359.0,1083.0,-158.0,15.1,x,5.7,5.5,14.0,174.0,4.8,-99.99,x,-99.99,-99,x,x,0.003611
NGC5364,1241,SDSSJ135502.70+050525.2,32,"('209.05', '5.01447')","('208.76127', '5.09034')",0.00021681598917707264,3.454588570245202e-119,43.6566776107277,7.407563702054812,122.20623535366975,x,1672.0,1396.0,155.0,23.54,x,3.8,3.5,23.0,101.0,3.8,-99.99,x,-99.99,-99,x,x,0.004657
NGC5364,1241,UGC08857,32,"('209.05', '5.01447')","('209.1109', '4.39667')",0.00014220470176108026,3.3015518568579776e-39,72.33736635290393,22.20448152963721,208.3484802815694,x,1366.0,1091.0,-150.0,19.23,x,7.9,2.7,70.0,130.0,44.4,54.72,.S..1..,-99.99,128.0,Sb(f),Sb(f),0.003638
