AGNname,galaxyName,environment,degreesJ2000RA_DecAGN,degreesJ2000RA_DecGalaxy,likelihood,virialRadius,impactParameter (kpc),redshiftDistances,vcorrGalaxy (km/s),vel_diff,distGalaxy (Mpc),AGN S/N,majorAxis (kpc),minorAxis (kpc),inclination (deg),positionAngle (deg),azimuth (deg),corrected_az (deg),RC3flag,RC3type,RC3inc (deg),RC3pa (deg),morphology,galaxyRedshift
HE1228+0131,NGC4536,x,"('187.70833', '1.25583')","(188.61271, 2.18814)",0.015285022722150652,197.37836507581068,347.2467113272344,x,2102.6,208.4000000000001,15.321,x,33.9,14.3,65.1,x,5.9,5.9,NGC4536,.SXT4..,64.7,130.0,SAB(rs)bc;HII  Sbrst,0.006031
HE1228+0131,NGC4527,x,"('187.70833', '1.25583')","(188.53509, 2.65366)",0.0017309067440326846,201.76120538894486,423.1750641228535,x,2031.0,280.0,14.932,x,34.4,11.7,70.1,70.0,79.4,79.4,NGC4527,.SXS4..,70.2,67.0,SAB(s)bc;HII   LINER,0.005791
HE1228+0131,IC3474,x,"('187.70833', '1.25583')","(188.15215, 2.66152)",1.3871464201964152e-40,50.708510133901584,480.23281556775873,x,2022.1,288.9000000000001,18.667,x,13.7,1.4,84.3,x,53.5,53.5,IC3474,.S..7./,82.8,36.0,Sd(f)          HII,0.005761
HE1228+0131,UGC07625,x,"('187.70833', '1.25583')","(187.38654, 0.83964)",2.6367629437211726e-41,34.02388866664127,326.81852463937213,x,2527.3,-216.30000000000018,35.59613696,x,10.5,1.3,82.6,x,x,x,0,x,x,x,Sd(f),0.007452
HE1228+0131,CGCG014-064,x,"('187.70833', '1.25583')","(188.33653, 1.52174)",6.866790106049102e-148,17.732230542151203,324.7269624539369,x,1937.0,374.0,27.28115478,x,6.8,2.7,66.4,179.0,66.1,66.1,CGCG14-64,.S..7?/,-99,-99,Sd? sp,0.00548
HE1228+0131,SDSSJ123054.30+005751.5,x,"('187.70833', '1.25583')","(187.72626, 0.96431)",5.665569570443659e-165,9.865900871182518,191.08358434945626,x,2661.4,-350.4000000000001,37.48504794,x,4.6,2.2,61.3,2.0,1.5,1.5,0,x,x,x,x,0.0079
HE1228+0131,SDSSJ122950.58+020153.7,x,"('187.70833', '1.25583')","(187.46075, 2.03158)",0.0,5.7243340223994625,417.05525498354257,x,2083.6,227.4000000000001,29.34599276,x,3.2,1.8,56.5,x,x,x,0,x,x,x,x,0.005966
HE1228+0131,2dFGRSN388Z089,x,"('187.70833', '1.25583')","(187.69929, 0.97572)",0.0,4.685296148590822,183.35485014944118,x,2661.5,-350.5,37.48525381,x,2.8,2.0,46.2,x,x,x,0,x,x,x,x,0.0079
HE1228+0131,2dFGRSN388Z025,x,"('187.70833', '1.25583')","(187.99558, 1.84364)",0.0,3.263127334322092,428.1432316090159,x,2662.3,-351.3000000000002,37.49764516,x,2.2,1.7,36.9,x,x,x,0,x,x,x,x,0.0079
HE1228+0131,LEDA135807,x,"('187.70833', '1.25583')","(187.81953, 0.99426)",-99,-99,180.42790026333714,x,2582.5,-271.5,36.37271361,x,x,x,x,x,x,x,0,x,x,x,dI,0.007635
