AGNname,galaxyName,environment,degreesJ2000RA_DecAGN,degreesJ2000RA_DecGalaxy,likelihood,virialRadius,impactParameter (kpc),redshiftDistances,vcorrGalaxy (km/s),vel_diff,distGalaxy (Mpc),AGN S/N,majorAxis (kpc),minorAxis (kpc),inclination (deg),positionAngle (deg),azimuth (deg),corrected_az (deg),RC3flag,RC3type,RC3inc (deg),RC3pa (deg),morphology,galaxyRedshift
SBS1122+594,NGC3642,x,"('171.47375', '59.17278')","(170.57455, 59.07451)",0.012464943528406375,108.15305358611008,226.44844624328968,x,1789.9,6.099999999999909,27.5,x,22.7,22.5,8.1,75.0,27.0,27.0,NGC3642,.SAR4*.,33.7,105.0,SA(r)bc:;LINER Sy3,0.005297
SBS1122+594,IC0691,x,"('171.47375', '59.17278')","(171.68465, 59.15543)",3.808188356215916e-05,18.124817240457904,45.288412639304354,x,1399.4,396.5999999999999,23.700001,x,6.9,5.1,42.3,155.0,74.1,74.1,IC691,.I?....,48.6,150.0,I?;WR?         HII,0.003992
SBS1122+594,NGC3610,x,"('171.47375', '59.17278')","(169.6053, 58.78628)",2.4240967108464567e-13,90.7877084191467,486.74868045056655,x,1906.2,-110.20000000000005,26.88,x,20.2,14.6,43.9,135.0,23.0,23.0,NGC3610,.E.5.*.,31.7,-99,SB(r)0^0^ pec,0.005684
SBS1122+594,SDSSJ112625.96+591737.4,x,"('171.47375', '59.17278')","(171.6082, 59.29375)",3.112994034579896e-32,6.269290230959163,52.80998576210131,x,1543.8,252.20000000000005,21.74407849,x,3.4,2.4,44.8,128.0,22.3,22.3,0,x,x,x,x,0.004476
SBS1122+594,CGCG291-076,x,"('171.47375', '59.17278')","(172.57199, 58.13391)",1.4374797585187907e-216,21.784214468279547,485.4366884333684,x,1665.7,130.29999999999995,23.46005658,x,7.8,6.9,27.1,x,x,x,0,x,x,x,SA(s)m:,0.004867
SBS1122+594,SDSSJ112235.67+585840.5,x,"('171.47375', '59.17278')","(170.64866, 58.97794)",6.346032532095796e-241,7.117092102818398,166.9368934938275,x,1455.3,340.70000000000005,20.49709727,x,3.7,1.9,59.3,161.0,46.3,46.3,0,x,x,x,x,0.004181
SBS1122+594,SDSSJ112725.46+583820.0,x,"('171.47375', '59.17278')","(171.85612, 58.63889)",9.03978110516464e-275,8.0,200.43219567537062,x,1432.4,363.5999999999999,20.17420515,x,4.0,1.2,72.5,143.0,57.2,57.2,0,x,x,x,x,0.004096
SBS1122+594,SDSSJ113005.21+582818.0,x,"('171.47375', '59.17278')","(172.52175, 58.47169)",0.0,11.517421586448938,373.37886868967286,x,1713.4,82.59999999999991,24.13263796,x,5.1,1.1,77.9,88.0,50.5,50.5,0,x,x,x,x,0.005031
SBS1122+594,SDSSJ112150.23+585638.7,x,"('171.47375', '59.17278')","(170.45933, 58.9441)",0.0,5.994747701113033,265.46894612515916,x,1896.3,-100.29999999999995,26.7081168,x,3.3,3.1,19.9,54.0,59.7,59.7,0,x,x,x,x,0.005651
SBS1122+594,SDSSJ112149.19+585434.0,x,"('171.47375', '59.17278')","(170.45496, 58.90944)",0.0,1.8371173070873836,244.87373160910388,x,1698.4,97.59999999999991,23.92109126,x,1.5,1.2,35.9,147.0,30.2,30.2,0,x,x,x,x,0.004991
SBS1122+594,SDSSJ112005.92+593544.9,x,"('171.47375', '59.17278')","(170.02467, 59.59583)",0.0,8.0,418.95147000693294,x,2003.6,-207.5999999999999,28.21976545,x,4.0,2.6,50.2,149.0,88.7,88.7,0,x,x,x,x,0.006016
SBS1122+594,SBS1119+586,x,"('171.47375', '59.17278')","(170.65738, 58.32853)",0.0,6.8305197459636995,415.0468741546902,x,1787.6,8.400000000000091,25.17779297,x,3.6,2.0,57.3,18.0,44.4,44.4,0,x,x,x,x,0.00528
