AGNname,galaxyName,environment,degreesJ2000RA_DecAGN,degreesJ2000RA_DecGalaxy,likelihood,virialRadius,impactParameter (kpc),redshiftDistances,vcorrGalaxy (km/s),vel_diff,distGalaxy (Mpc),AGN S/N,majorAxis (kpc),minorAxis (kpc),inclination (deg),positionAngle (deg),azimuth (deg),corrected_az (deg),RC3flag,RC3type,RC3inc (deg),RC3pa (deg),morphology,galaxyRedshift
CSO395,UGC07207,x,"('182.81083', '36.96083')","(183.07817, 37.01481)",0.08778237549507496,103.08512752743847,83.41986569538021,x,1324.4,-314.4000000000001,21.700001,x,13.2,6.5,60.7,x,x,x,0,x,x,x,IB(s)m V,0.003506
CSO395,UGC07125,x,"('182.81083', '36.96083')","(182.17638, 36.80275)",0.008322173453570262,184.13984967445717,259.754881962586,x,1344.6,-334.5999999999999,28.0,x,30.6,4.9,80.8,85.0,22.3,22.3,UGC7125,.S..9..,80.9,85.0,Sdm,0.003572
CSO395,KUG1207+367,x,"('182.81083', '36.96083')","(182.48529, 36.43433)",8.455971508539933e-18,14.898141370053176,88.61746175332561,x,613.5,396.5,8.640201684,x,0.8,0.4,62.6,170.0,16.3,16.3,0,x,x,x,Spiral,0.001131
CSO395,UGC07257,x,"('182.81083', '36.96083')","(183.76233, 35.9585)",2.0256978894031002e-24,49.05876764093103,358.75549055115084,x,1217.8,-207.79999999999995,16.3,x,4.5,2.0,63.9,170.0,47.2,47.2,UGC7257,.S..8*.,47.5,160.0,Sdm:,0.003142
CSO395,SDSSJ121116.76+374917.1,x,"('182.81083', '36.96083')","(182.81983, 37.82142)",3.5923865079152924e-29,29.941368737561735,241.51233448886492,x,1141.6,-131.5999999999999,16.07869003,x,2.2,1.1,58.7,162.0,17.5,17.5,0,x,x,x,x,0.002901
CSO395,SDSSJ120809.74+372724.6,x,"('182.81083', '36.96083')","(182.0406, 37.45685)",5.3057558425010275e-33,30.873950736811498,261.0491318241819,x,1346.1,-336.0999999999999,18.95975375,x,2.3,1.9,35.9,119.0,67.9,67.9,0,x,x,x,x,0.003583
CSO395,IC3687,x,"('182.81083', '36.96083')","(190.56292, 38.50333)",4.363799162215817e-56,41.24838512685209,458.85644693122214,x,624.1,385.9,4.16,x,3.5,3.1,27.1,x,x,x,IC3687,.IXS9..,27.0,-99,IAB(s)m,0.001181
CSO395,MCG+06-27-038,x,"('182.81083', '36.96083')","(183.75746, 35.96494)",8.549820668261683e-68,30.873950736811498,382.0265304049672,x,1239.8,-229.79999999999995,17.46136265,x,2.3,1.8,37.8,81.0,43.8,43.8,UGC7257,.S..8*.,47.5,160.0,x,0.003215
CSO395,SDSSJ120901.58+353540.8,x,"('182.81083', '36.96083')","(182.25658, 35.59467)",2.303053944538176e-68,28.99554748433651,361.8483778568363,x,1024.1,-14.099999999999909,14.4239122,x,2.1,1.4,49.5,8.0,26.0,26.0,0,x,x,x,x,0.002494
CSO395,SDSSJ122143.14+375913.8,x,"('182.81083', '36.96083')","(185.4292, 37.98718)",5.612032667926314e-119,28.99554748433651,477.81030708280576,x,838.7,171.29999999999995,11.81279768,x,2.1,1.7,33.6,x,x,x,0,x,x,x,dwarf Irr,0.001892
