AGNname,center,galaxyName,environment,degreesJ2000RA_DecAGN,degreesJ2000RA_DecGalaxy,likelihood,likelihood_1.5,virialRadius,d^1.5,impactParameter (kpc),redshiftDistances,vcorrGalaxy (km/s),vel_diff,distGalaxy (Mpc),AGN S/N,majorAxis (kpc),minorAxis (kpc),inclination (deg),positionAngle (deg),azimuth (deg),RC3flag,RC3type,RC3inc (deg),RC3pa (deg),morphology,final_morphology,galaxyRedshift
HE1228+0131,1707,NGC4517,x,"('187.70833', '1.25583')","(188.18996, 0.11503)",0.03888979158941918,0.036309954754037574,193.17590350324986,187.84981235018572,211.0427507491546,x,1420.4,286.5999999999999,9.765,x,32.8,4.1,82.7,x,60.1,NGC4517,.SAS6*/,81.5,83.0,SA(s)cd: sp    HII,SA(s)cd: sp    HII,0.003764
HE1228+0131,1707,NGC4517A,x,"('187.70833', '1.25583')","(188.11732, 0.38967)",0.004416255979634491,0.00032304553973401003,166.30553723674035,135.64565603070375,379.15426800920557,x,1801.8,-94.79999999999995,22.68,x,26.4,17.2,49.5,x,4.7,NGC4517A,.SBT8*.,48.6,30.0,SB(rs)dm:      HII,SB(rs)dm:      HII,0.005032
HE1228+0131,1707,CGCG014-054,x,"('187.70833', '1.25583')","(187.7659, 1.6757)",0.001394458322114347,5.74321128646348e-22,71.06873748016558,21.366632865287876,145.764185014457,x,1399.2,307.79999999999995,19.70682874,x,7.7,4.4,55.2,80.0,87.8,MCG0-32-16,.IXS9P*,54.9,80.0,IAB(s)m pec:,IAB(s)m pec:,0.003686
HE1228+0131,1707,NGC4536,x,"('187.70833', '1.25583')","(188.61271, 2.18814)",0.0009119371851684715,0.000904976268667387,197.62313832387832,197.37836507581068,347.2467113272344,x,2102.6,-395.5999999999999,15.321,x,33.9,14.3,65.1,x,5.9,NGC4536,.SXT4..,64.7,130.0,SAB(rs)bc;HII  Sbrst,SAB(rs)bc;HII  Sbrst,0.006031
HE1228+0131,1707,NGC4527,x,"('187.70833', '1.25583')","(188.53509, 2.65366)",0.0008104271937670702,0.0008906937733560829,199.62977872021068,201.76120538894486,423.1750641228535,x,2031.0,-324.0,14.932,x,34.4,11.7,70.1,70.0,79.4,NGC4527,.SXS4..,70.2,67.0,SAB(s)bc;HII   LINER,SAB(s)bc;HII   LINER,0.005791
HE1228+0131,1707,IC3474,x,"('187.70833', '1.25583')","(188.15215, 2.66152)",9.29107970155438e-11,9.339136488042866e-41,105.76383533587814,50.708510133901584,480.23281556775873,x,2022.1,-315.0999999999999,18.667,x,13.7,1.4,84.3,x,53.5,IC3474,.S..7./,82.8,36.0,Sd(f)          HII,Sd(f)          HII,0.005761
HE1228+0131,1707,CGCG014-064,x,"('187.70833', '1.25583')","(188.33653, 1.52174)",4.5921572367229855e-12,6.04065029315461e-147,65.22756252504672,17.732230542151203,324.7269624539369,x,1937.0,-230.0,27.28115478,x,6.8,2.7,66.4,179.0,66.1,CGCG14-64,.S..7?/,-99,-99,Sd? sp,Sd? sp,0.00548
HE1228+0131,1707,2dFGRSN389Z231,x,"('187.70833', '1.25583')","(188.19354, 1.56867)",5.966956113435074e-18,0.0,41.24838512685209,6.547900426854397,258.6635377099614,x,1823.0,-116.0,25.67647003,x,3.5,1.6,63.5,x,x,0,x,x,x,x,x,0.0051
HE1228+0131,1707,UGC07512,x,"('187.70833', '1.25583')","(186.42223, 2.15898)",1.2832186297057068e-21,0.0,59.83073840715335,14.696938456699069,414.0446321716584,x,1799.7,-92.70000000000005,15.1,x,6.0,2.7,63.3,130.0,75.1,UGC7512,.IBS9..,63.5,130.0,ImIV,ImIV,0.00502
HE1228+0131,1707,2dFGRSN320Z113,x,"('187.70833', '1.25583')","(187.26608, 0.10381)",3.0744203333089867e-40,0.0,46.00667649591621,8.3018672598398,434.2279202969169,x,1431.5,275.5,20.16197435,x,4.1,3.5,31.0,x,x,0,x,x,x,dE,dE,0.0038
HE1228+0131,1707,2dFGRSN321Z040,x,"('187.70833', '1.25583')","(188.11533, 0.36881)",3.2477982806284295e-48,0.0,40.43155575527607,6.269290230959163,422.64284142523985,x,1761.7,-54.700000000000045,24.81319044,x,3.4,1.9,56.4,x,x,0,x,x,x,x,x,0.0049
HE1228+0131,1707,SDSSJ122950.58+020153.7,x,"('187.70833', '1.25583')","(187.46075, 2.03158)",1.6534933263386562e-52,0.0,38.77514986628247,5.7243340223994625,417.05525498354257,x,2083.6,-376.5999999999999,29.34599276,x,3.2,1.8,56.5,x,x,0,x,x,x,x,x,0.005966
HE1228+0131,1707,SDSSJ123233.64+002417.1,x,"('187.70833', '1.25583')","(188.14018, 0.40475)",1.378546218496955e-79,0.0,27.060759693886542,2.618969262897142,364.04619541383,x,1551.8,155.20000000000005,21.85597782,x,1.9,1.1,55.9,53.0,26.1,0,x,x,x,x,x,0.0042
HE1228+0131,1707,SDSSJ123225.83+002409.3,x,"('187.70833', '1.25583')","(188.10766, 0.40259)",5.73093439950269e-100,0.0,26.06981975654495,2.414953415699773,394.08734702395634,x,1701.8,5.2000000000000455,23.968674,x,1.8,1.1,52.4,172.0,33.1,0,x,x,x,x,x,0.0047
HE1228+0131,1707,SDSSJ122745.86+013601.8,x,"('187.70833', '1.25583')","(186.9429, 1.60015)",-99,-99,-99,-99,327.1689834369463,x,1586.1,120.90000000000009,22.34012963,x,x,x,x,x,x,0,x,x,x,dIn,dIn,0.00431
