AGNname,center,galaxyName,environment,degreesJ2000RA_DecAGN,degreesJ2000RA_DecGalaxy,likelihood,likelihood_1.5,virialRadius,d^1.5,impactParameter (kpc),redshiftDistances,vcorrGalaxy (km/s),vel_diff,distGalaxy (Mpc),AGN S/N,majorAxis (kpc),minorAxis (kpc),inclination (deg),positionAngle (deg),azimuth (deg),RC3flag,RC3type,RC3inc (deg),RC3pa (deg),morphology,final_morphology,galaxyRedshift
RX_J1330.8+3119,1732,SDSSJ133025.22+304141.9,11,"('202.72167', '31.32556')","(202.60509, 30.69498)",2.38575745264e-75,0.0,25.0616554952,2.21652881777,325.685551419,x,2075.2,343.2,29.22781275,x,1.7,0.8,62.6,105.0,66.0,0,x,x,x,Extended Src [SDSS],Extended Src [SDSS],0.006
RX_J1330.8+3119,1732,RCS05110501446,11,"('202.72167', '31.32556')","(202.22133, 30.36313)",-99,-99,-99,-99,382.435809109,x,1476.1,-255.9,20.79045972,x,x,x,x,x,x,0,x,x,x,x,x,0.004
RX_J1330.8+3119,1732,RCS05110404030,11,"('202.72167', '31.32556')","(202.09577, 30.2643)",-99,-99,-99,-99,431.772845588,x,1476.4,-255.6,20.79457417,x,x,x,x,x,x,0,x,x,x,x,x,0.004
RX_J1330.8+3119,1732,RCS05010503327,11,"('202.72167', '31.32556')","(203.03009, 30.2566)",-99,-99,-99,-99,399.399728401,x,1475.3,-256.7,20.77895933,x,x,x,x,x,x,0,x,x,x,x,x,0.004
RX_J1330.8+3119,1732,RCS05010301764,11,"('202.72167', '31.32556')","(202.79452, 30.34628)",-99,-99,-99,-99,428.274035691,x,1775.5,43.5,25.00652629,x,x,x,x,x,x,0,x,x,x,x,x,0.005
RX_J1330.8+3119,1732,RCS05001001623,11,"('202.72167', '31.32556')","(202.96681, 30.50041)",-99,-99,-99,-99,308.758570162,x,1475.0,-257.0,20.77501726,x,x,x,x,x,x,0,x,x,x,x,x,0.004
RX_J1330.8+3119,1732,RCS05000800442,11,"('202.72167', '31.32556')","(202.62446, 30.43639)",-99,-99,-99,-99,323.934296625,x,1475.5,-256.5,20.78219946,x,x,x,x,x,x,0,x,x,x,x,x,0.004
RX_J1330.8+3119,1732,RCS05000703300,11,"('202.72167', '31.32556')","(202.48917, 30.58205)",-99,-99,-99,-99,335.9711139,x,1775.5,43.5,25.00678536,x,x,x,x,x,x,0,x,x,x,x,x,0.005
RX_J1330.8+3119,1732,RCS05000401293,11,"('202.72167', '31.32556')","(202.92351, 30.82221)",-99,-99,-99,-99,232.16781433,x,1774.6,42.6,24.99435448,x,x,x,x,x,x,0,x,x,x,x,x,0.005
RX_J1330.8+3119,1732,RCS05000300386,11,"('202.72167', '31.32556')","(202.80183, 30.86133)",-99,-99,-99,-99,239.332379208,x,2074.7,342.7,29.22095564,x,x,x,x,x,x,0,x,x,x,x,x,0.006
RX_J1330.8+3119,1732,RCS05000002133,11,"('202.72167', '31.32556')","(202.36777, 30.77587)",-99,-99,-99,-99,227.6684122,x,1475.3,-256.7,20.77936383,x,x,x,x,x,x,0,x,x,x,x,x,0.004
