AGNname,center,galaxyName,environment,degreesJ2000RA_DecAGN,degreesJ2000RA_DecGalaxy,likelihood,likelihood_1.5,virialRadius,d^1.5,impactParameter (kpc),redshiftDistances,vcorrGalaxy (km/s),vel_diff,distGalaxy (Mpc),AGN S/N,majorAxis (kpc),minorAxis (kpc),inclination (deg),positionAngle (deg),azimuth (deg),RC3flag,RC3type,RC3inc (deg),RC3pa (deg),morphology,final_morphology,galaxyRedshift
PG0003+158,833,NGC7814,12,"('1.49708', '16.16361')","(0.81204, 16.14542)",0.25215757037663683,0.14676272888821318,171.0564909768426,144.21121662339584,197.26891769932288,x,789.3,-43.700000000000045,17.171,x,27.5,11.5,65.3,x,46.6,NGC7814,.SAS2*/,65.4,135.0,SA(s)ab: sp    LINER,SA(s)ab: sp    LINER,0.003502
PG0003+158,833,NGC0014,12,"('1.49708', '16.16361')","(2.19333, 15.81556)",0.006487406156123245,2.876310630583363e-12,87.448628802591,33.53899223292197,168.53422830323336,x,602.9,-230.10000000000002,12.8,x,10.4,7.8,41.4,x,87.5,NGC14,RIBS9P.,42.2,25.0,(R)IB(s)m pec,(R)IB(s)m pec,0.002885
PG0003+158,833,UGC00017,12,"('1.49708', '16.16361')","(0.93042, 15.21833)",5.369147037885638e-06,8.090281914422112e-48,74.84518802278988,23.912068082873972,247.63174330733904,x,615.0,-218.0,13.0,x,8.3,5.9,44.8,x,x,UGC17,.S..9*.,44.9,-99,Sm:,Sm:,0.002929
PG0003+158,833,UGC00047,12,"('1.49708', '16.16361')","(1.65983, 17.28428)",1.0421975103111287e-08,1.6706661399082555e-297,41.24838512685209,6.547900426854397,171.01999826705367,x,614.9,-218.10000000000002,8.660272417,x,3.5,0.5,81.4,64.0,56.1,0,x,x,x,Sdm,Sdm,0.002912
PG0003+158,833,UGC00031,12,"('1.49708', '16.16361')","(1.2175, 17.1925)",3.3771392176478334e-09,7.779968661668296e-260,46.00667649591621,8.3018672598398,202.76599559990663,x,775.8,-57.200000000000045,10.92731313,x,4.1,3.4,33.9,55.0,69.6,0,x,x,x,IAm,IAm,0.003449
PG0003+158,833,IC5377,12,"('1.49708', '16.16361')","(0.5225, 16.59028)",3.233615785893598e-09,1.655807377770422e-271,45.22945909746485,8.0,199.7520587079829,x,790.6,-42.39999999999998,11.13556878,x,4.0,2.2,55.9,x,x,0,x,x,x,Im:,Im:,0.003502
PG0003+158,833,UGC00090,12,"('1.49708', '16.16361')","(2.50708, 16.94083)",2.0476943738150204e-12,0.0,38.77514986628247,5.7243340223994625,197.95928361389997,x,648.6,-184.39999999999998,9.135804528,x,3.2,0.9,73.7,88.0,36.7,0,x,x,x,Im:,Im:,0.003029
PG0003+158,833,UGC00122,12,"('1.49708', '16.16361')","(3.32208, 17.03)",9.920683310265818e-18,1.6416018641079633e-186,70.4305984594212,20.951754103177137,432.6241913159644,x,594.6,-238.39999999999998,12.7,x,7.6,1.1,81.4,109.0,45.3,0,x,x,x,Sdm,Sdm,0.002849
PG0003+158,833,KUG0007+154,12,"('1.49708', '16.16361')","(2.47116, 15.73466)",2.246593278561887e-22,0.0,22.988094234022373,1.8371173070873836,160.69219359237198,x,634.6,-198.39999999999998,8.937638066,x,1.5,1.2,41.4,118.0,3.4,0,x,x,x,Spiral,Spiral,0.002991
PG0003+158,833,UGC12893,12,"('1.49708', '16.16361')","(0.11867, 17.22022)",5.071367323443161e-41,0.0,36.228855835915674,4.938522046118656,348.9674314872139,x,839.5,6.5,11.82369694,x,2.9,0.8,73.1,5.0,56.4,0,x,x,x,SAdm,SAdm,0.003659
PG0003+158,833,SDSSJ000952.87+154406.9,12,"('1.49708', '16.16361')","(2.47033, 15.73526)",8.928070882518e-75,0.0,12.215868886348156,0.46475800154489,159.02236829316595,x,628.6,-204.39999999999998,8.853156536,x,0.6,0.5,16.3,143.0,28.4,0,x,x,x,HII,HII,0.002973
PG0003+158,833,SDSSJ001108.62+141422.7,12,"('1.49708', '16.16361')","(2.78594, 14.23965)",7.425065273503193e-91,0.0,20.826721668546934,1.4822280526288794,298.3620518061901,x,529.8,-303.20000000000005,7.461969424,x,1.3,0.7,58.0,119.0,28.2,0,x,x,x,x,x,0.002655
