AGNname,center,galaxyName,environment,degreesJ2000RA_DecAGN,degreesJ2000RA_DecGalaxy,likelihood,likelihood_1.5,virialRadius,d^1.5,impactParameter (kpc),redshiftDistances,vcorrGalaxy (km/s),vel_diff,distGalaxy (Mpc),AGN S/N,majorAxis (kpc),minorAxis (kpc),inclination (deg),positionAngle (deg),azimuth (deg),RC3flag,RC3type,RC3inc (deg),RC3pa (deg),morphology,final_morphology,galaxyRedshift
CSO395,966,UGC07207,15,"('182.81083', '36.96083')","(183.07817, 37.01481)",0.0418788424448,0.00195590263942,103.085127527,47.9579816089,83.4198656954,x,1324.4,358.4,21.700001,x,13.2,6.5,60.7,x,x,0,x,x,x,IB(s)m V,IB(s)m V,0.003506
CSO395,966,NGC4214,15,"('182.81083', '36.96083')","(183.91321, 36.32689)",0.0176064677517,1.60511792018e-05,75.4662391256,24.3455129336,64.594698599,x,566.0,-400.0,3.401,x,8.4,6.5,39.1,x,x,NGC4214,.IXS9..,39.1,-99,IAB(s)m        HII,IAB(s)m        HII,0.00097
CSO395,966,UGC07125,15,"('182.81083', '36.96083')","(182.17638, 36.80275)",0.0037977297467,0.00263651183935,184.139849674,169.270836236,259.754881963,x,1344.6,378.6,28.0,x,30.6,4.9,80.8,85.0,12.3,UGC7125,.S..9..,80.9,85.0,Sdm,Sdm,0.003572
CSO395,966,NGC4395,15,"('182.81083', '36.96083')","(186.45359, 33.54693)",9.38412849325e-06,6.25888770488e-13,123.741286908,71.3333582554,354.857774393,x,599.8,-366.2,4.491,x,17.2,14.4,33.6,x,7.4,NGC4395,.SAS9*.,33.7,147.0,SA(s)m:;LINER  Sy1.8,SA(s)m:;LINER  Sy1.8,0.001064
CSO395,966,KUG1207+367,15,"('182.81083', '36.96083')","(182.48529, 36.43433)",1.92743053364e-17,0.0,14.8981413701,0.7155417528,88.6174617533,x,613.5,-352.5,8.640201684,x,0.8,0.4,62.6,170.0,36.3,0,x,x,x,Spiral,Spiral,0.001131
CSO395,966,UGC07257,15,"('182.81083', '36.96083')","(183.76233, 35.9585)",1.22183555086e-24,0.0,49.0587676409,9.54594154602,358.755490551,x,1217.8,251.8,16.3,x,4.5,2.0,63.9,170.0,27.2,UGC7257,.S..8*.,47.5,160.0,Sdm:,Sdm:,0.003142
CSO395,966,SDSSJ121116.76+374917.1,15,"('182.81083', '36.96083')","(182.81983, 37.82142)",2.5622781038e-29,0.0,29.9413687376,3.26312733432,241.512334489,x,1141.6,175.6,16.07869003,x,2.2,1.1,58.7,162.0,18.5,0,x,x,x,x,x,0.002901
CSO395,966,SDSSJ120809.74+372724.6,15,"('182.81083', '36.96083')","(182.0406, 37.45685)",2.41324481767e-33,0.0,30.8739507368,3.48812270426,261.049131824,x,1346.1,380.1,18.95975375,x,2.3,1.9,35.9,119.0,9.9,0,x,x,x,x,x,0.003583
CSO395,966,IC3687,15,"('182.81083', '36.96083')","(190.56292, 38.50333)",9.71744812499e-56,0.0,41.2483851269,6.54790042685,458.856446931,x,624.1,-341.9,4.16,x,3.5,3.1,27.1,x,x,IC3687,.IXS9..,27.0,-99,IAB(s)m,IAB(s)m,0.001181
CSO395,966,UGC07605,15,"('182.81083', '36.96083')","(187.16144, 35.71748)",2.73052401874e-61,0.0,24.0349259278,2.02385770251,280.143108365,x,586.6,-379.4,4.317,x,1.6,1.2,44.8,30.0,79.7,UGC7605,.I..9..,44.9,30.0,Im,Im,0.001035
CSO395,966,MCG+06-27-038,15,"('182.81083', '36.96083')","(183.75746, 35.96494)",4.91332208262e-68,0.0,30.8739507368,3.48812270426,382.026530405,x,1239.8,273.8,17.46136265,x,2.3,1.8,37.8,81.0,61.8,UGC7257,.S..8*.,47.5,160.0,x,x,0.003215
CSO395,966,SDSSJ120901.58+353540.8,15,"('182.81083', '36.96083')","(182.25658, 35.59467)",2.12722017278e-68,0.0,28.9955474843,3.0431891167,361.848377857,x,1024.1,58.1,14.4239122,x,2.1,1.4,49.5,8.0,10.0,0,x,x,x,x,x,0.002494
CSO395,966,SDSSJ122143.14+375913.8,15,"('182.81083', '36.96083')","(185.4292, 37.98718)",7.79414634457e-119,0.0,28.9955474843,3.0431891167,477.810307083,x,838.7,-127.3,11.81279768,x,2.1,1.7,33.6,x,x,0,x,x,x,dwarf Irr,dwarf Irr,0.001892
CSO395,966,PGC042275,15,"('182.81083', '36.96083')","(189.66691, 32.76681)",2.11161352784e-205,0.0,19.7076599378,1.31453413801,426.226255854,x,589.9,-376.1,3.482,x,1.2,0.8,46.4,x,x,0,x,x,x,ImIV-V,ImIV-V,0.001028
CSO395,966,HS1214+3801,15,"('182.81083', '36.96083')","(184.29033, 37.74822)",-99,-99,-99,-99,209.465961204,x,602.1,-363.9,8.48002332,x,x,x,x,x,x,0,x,x,x,SA             HII,SA             HII,0.0011
