AGNname,center,galaxyName,environment,degreesJ2000RA_DecAGN,degreesJ2000RA_DecGalaxy,likelihood,likelihood_1.5,virialRadius,d^1.5,impactParameter (kpc),redshiftDistances,vcorrGalaxy (km/s),vel_diff,distGalaxy (Mpc),AGN S/N,majorAxis (kpc),minorAxis (kpc),inclination (deg),positionAngle (deg),azimuth (deg),RC3flag,RC3type,RC3inc (deg),RC3pa (deg),morphology,final_morphology,galaxyRedshift
SBS1122+594,1580,IC0691,13,"('171.47375', '59.17278')","(171.68465, 59.15543)",0.551717577521,0.000859730245476,65.8879313759,18.1248172405,45.2884126393,x,1399.4,-180.6,23.700001,x,6.9,5.1,42.3,155.0,55.9,IC691,.I?....,48.6,150.0,I?;WR?         HII,I?;WR?         HII,0.003992
SBS1122+594,1580,SDSSJ112625.96+591737.4,13,"('171.47375', '59.17278')","(171.6082, 59.29375)",0.175729604938,1.47751242859e-31,40.4315557553,6.26929023096,52.8099857621,x,1543.8,-36.2,21.74407849,x,3.4,2.4,44.8,128.0,81.7,0,x,x,x,x,x,0.004476
SBS1122+594,1580,NGC3642,13,"('171.47375', '59.17278')","(170.57455, 59.07451)",0.0338754104624,0.0041470622274,149.850377539,108.153053586,226.448446243,x,1789.9,209.9,27.5,x,22.7,22.5,8.1,75.0,3.0,NGC3642,.SAR4*.,33.7,105.0,SA(r)bc:;LINER Sy3,SA(r)bc:;LINER Sy3,0.005297
SBS1122+594,1580,NGC3610,13,"('171.47375', '59.17278')","(169.6053, 58.78628)",2.89666013573e-07,2.2967246841e-14,138.25869232,90.7877084191,486.748680451,x,1906.2,326.2,26.88,x,20.2,14.6,43.9,135.0,67.0,NGC3610,.E.5.*.,31.7,-99,SB(r)0^0^ pec,SB(r)0^0^ pec,0.005684
SBS1122+594,1580,SDSSJ112235.67+585840.5,13,"('171.47375', '59.17278')","(170.64866, 58.97794)",1.74948091426e-07,7.83346332126e-240,42.8606930872,7.11709210282,166.936893494,x,1455.3,-124.7,20.49709727,x,3.7,1.9,59.3,161.0,84.3,0,x,x,x,x,x,0.004181
SBS1122+594,1580,SDSSJ112725.46+583820.0,13,"('171.47375', '59.17278')","(171.85612, 58.63889)",1.71746839723e-09,1.42895695223e-273,45.2294590975,8.0,200.432195675,x,1432.4,-147.6,20.17420515,x,4.0,1.2,72.5,143.0,16.8,0,x,x,x,x,x,0.004096
SBS1122+594,1580,CGCG291-076,13,"('171.47375', '59.17278')","(172.57199, 58.13391)",1.03611086626e-20,1.82893057824e-216,71.7043124514,21.7842144683,485.436688433,x,1665.7,85.7,23.46005658,x,7.8,6.9,27.1,x,x,0,x,x,x,SA(s)m:,SA(s)m:,0.004867
SBS1122+594,1580,SDSSJ113014.40+595626.9,13,"('171.47375', '59.17278')","(172.56004, 59.94083)",3.31240596771e-21,0.0,42.058010542,6.83051974596,277.118319405,x,1193.1,-386.9,16.80395999,x,3.6,2.0,56.6,41.0,5.1,0,x,x,x,x,x,0.003313
SBS1122+594,1580,SDSSJ112150.23+585638.7,13,"('171.47375', '59.17278')","(170.45933, 58.9441)",2.53239581849e-21,0.0,39.6072435142,5.99474770111,265.468946125,x,1896.3,316.3,26.7081168,x,3.3,3.1,19.9,54.0,12.3,0,x,x,x,x,x,0.005651
SBS1122+594,1580,SDSSJ113005.21+582818.0,13,"('171.47375', '59.17278')","(172.52175, 58.47169)",4.37398659454e-22,0.0,53.4839435195,11.5174215864,373.37886869,x,1713.4,133.4,24.13263796,x,5.1,1.1,77.9,88.0,54.5,0,x,x,x,x,x,0.005031
SBS1122+594,1580,MCG+10-17-017,13,"('171.47375', '59.17278')","(173.82558, 58.88854)",2.86775439664e-31,0.0,46.0066764959,8.30186725984,377.599769592,x,1235.7,-344.3,17.40449196,x,4.1,2.2,56.6,35.0,68.3,0,x,x,x,x,x,0.00344
SBS1122+594,1580,SBS1119+586,13,"('171.47375', '59.17278')","(170.65738, 58.32853)",1.72917466988e-43,0.0,42.058010542,6.83051974596,415.046874155,x,1787.6,207.6,25.17779297,x,3.6,2.0,57.3,18.0,8.4,0,x,x,x,x,x,0.00528
SBS1122+594,1580,SDSSJ112149.19+585434.0,13,"('171.47375', '59.17278')","(170.45496, 58.90944)",3.70420346509e-50,0.0,22.988094234,1.83711730709,244.873731609,x,1698.4,118.4,23.92109126,x,1.5,1.2,35.9,147.0,83.8,0,x,x,x,x,x,0.004991
