AGNname,galaxyName,environment,degreesJ2000RA_DecAGN,degreesJ2000RA_DecGalaxy,impactParameter (kpc),redshiftDistances,vcorrGalaxy (km/s),distGalaxy (Mpc),AGN S/N,majorAxis (kpc),minorAxis (kpc),inclination (deg),positionAngle (deg),azimuth (deg),corrected_az (deg),RC3flag,RC3type,RC3inc (deg),RC3pa (deg),morphology,galaxyRedshift
3C273.0,UGC05470,x,"('187.27792', '2.05222')","(152.11708, 12.30639)",153.34262730343139,x,534.3,0.242,x,0.5,0.4,40.5,80.0,x,x,LeoI,dE.3...,40.7,80.0,E;dSph,0.000951
3C273.0,CGCG014-054,x,"('187.27792', '2.05222')","(187.7659, 1.6757)",211.92369673574294,x,1399.2,19.70682874,x,7.7,4.4,55.2,80.0,x,x,MCG0-32-16,.IXS9P*,54.9,80.0,IAB(s)m pec:,0.003686
3C273.0,SDSSJ123141.28+000304.4,x,"('187.27792', '2.05222')","(187.92203, 0.05125)",306.1040628001749,x,592.4,8.3435434,x,0.6,0.4,44.8,113.0,x,x,0,x,x,x,x,0.001
3C273.0,NGC4517,x,"('187.27792', '2.05222')","(188.18996, 0.11503)",364.90414805709315,x,1420.4,9.765,x,32.8,4.1,82.7,x,x,x,NGC4517,.SAS6*/,81.5,83.0,SA(s)cd: sp    HII,0.003764
3C273.0,VCC1457,x,"('187.27792', '2.05222')","(188.21062, 2.7973)",391.90309229687824,x,1336.2,18.82010179,x,3.7,2.2,53.1,2.0,x,x,0,x,x,x,"dE4pec?,N",0.003472
3C273.0,VCC1465,x,"('187.27792', '2.05222')","(188.23154, 3.36042)",409.624438413251,x,1029.7,14.50322845,x,3.9,3.6,24.5,x,x,x,VCC1465,.I?....,24.2,-99,I?,0.002448
3C273.0,VCC1492,x,"('187.27792', '2.05222')","(188.32596, 2.04644)",248.84281399904634,x,966.5,13.61260154,x,1.7,1.2,46.4,153.0,x,x,0,x,x,x,dE2?,0.002241
3C273.0,FGC1475,x,"('187.27792', '2.05222')","(189.22896, 1.61507)",434.713268155789,x,884.9,12.46337267,x,3.8,0.9,76.1,3.0,x,x,0,x,x,x,Irr(f),0.001971
3C273.0,NGC4600,x,"('187.27792', '2.05222')","(190.09566, 3.11775)",386.0965789038743,x,1147.1,7.3499999,x,3.9,2.2,55.9,65.0,x,x,NGC4600,.L.....,48.6,60.0,"S0(6),N",0.002842
3C273.0,SDSSJ122815.96+014944.1,x,"('187.27792', '2.05222')","(187.0665, 1.82892)",90.56332768928978,x,1198.4,16.87858892,x,3.5,1.8,59.3,40.0,x,x,0,x,x,x,x,0.003015
3C273.0,NGC4457,x,"('187.27792', '2.05222')","(187.24588, 3.57058)",461.2090303562866,x,1178.0,17.4,x,14.7,10.0,47.2,75.0,x,x,NGC4457,RSXS0..,31.7,-99,(R)SAB(s)0/a   LINER,0.002942
