AGNname,galaxyName,environment,degreesJ2000RA_DecAGN,degreesJ2000RA_DecGalaxy,impactParameter (kpc),redshiftDistances,vcorrGalaxy (km/s),distGalaxy (Mpc),AGN S/N,majorAxis (kpc),minorAxis (kpc),inclination (deg),positionAngle (deg),azimuth (deg),corrected_az (deg),RC3flag,RC3type,RC3inc (deg),RC3pa (deg),morphology,galaxyRedshift
SBS1503+570,Segue1,x,"('226.23150', '56.82230')","(151.76667, 16.08194)",27.34463502,x,454.7,0.023,x,x,x,x,x,x,x,0,x,x,x,Globular cluster?,0.000688
SBS1503+570,UGC05470,x,"('226.23150', '56.82230')","(152.11708, 12.30639)",300.0945943,x,534.3,0.242,x,0.5,0.4,40.5,80,x,x,LeoI,dE.3...,40.7,80,E;dSph,0.000951
SBS1503+570,SextansDwarfSpheroidal,x,"('226.23150', '56.82230')","(153.26232, -1.6146)",126.1687654,x,465.8,0.088,x,0.8,0.3,66.4,x,x,x,0,x,x,x,Dwarf spheroidal,0.000747
SBS1503+570,LeoV,x,"('226.23150', '56.82230')","(172.79, 2.22)",214.405687,x,459.1,0.178,x,x,x,x,x,x,x,0,x,x,x,x,0.000578
SBS1503+570,LeoIV,x,"('226.23150', '56.82230')","(173.2375, -0.53333)",196.45758,x,415.6,0.158,x,x,x,x,x,x,x,0,x,x,x,dSph,0.00044
SBS1503+570,UGC09405,x,"('226.23150', '56.82230')","(218.85035, 57.25595)",483.3673183,x,412.5,6.86,x,3.3,1.3,67.7,145,x,x,UGC9405,.I..9..,67.7,145,Im,0.000741
SBS1503+570,MCG+10-21-039,x,"('226.23150', '56.82230')","(224.12924, 59.59466)",468.5604357,x,638.6,8.993724436,x,0.6,0.6,0,90,x,x,0,x,x,x,x,0.001544
SBS1503+570,NGC5866A,x,"('226.23150', '56.82230')","(226.31672, 55.82782)",187.7681766,x,767.2,10.80585077,x,2.3,2.2,14.1,106,x,x,0,x,x,x,x,0.00195
SBS1503+570,NGC5866,x,"('226.23150', '56.82230')","(226.62291, 55.76321)",276.9067087,x,853.8,14.675,x,20.1,8.1,66.2,x,x,10,NGC5866,.LA.+./,65.4,128,S0_3       HII/LINER,0.002242
SBS1503+570,NGC5826,x,"('226.23150', '56.82230')","(226.641, 55.47911)",336.7580748,x,1005.5,14.16223961,x,5.5,4.2,40.5,25,x,x,0,x,x,x,S0?,0.002746
SBS1503+570,CXOJ150945.8+570100,x,"('226.23150', '56.82230')","(227.44105, 57.01676)",182.0506826,x,1076.1,15.15599585,x,x,x,x,x,x,x,0,x,x,x,ELG,0.003
SBS1503+570,NGC5879,x,"('226.23150', '56.82230')","(227.44469, 57.00019)",192.9087462,x,949.1,16.117,x,12.6,5.5,63.9,5,x,78,NGC5879,.SAT4*$,71.1,0,SA(rs)bc:?     LINER,0.002575
SBS1503+570,CXOJ150946.7+565947,x,"('226.23150', '56.82230')","(227.44473, 56.99641)",130.8330432,x,777.1,10.94538212,x,x,x,x,x,x,x,NGC5879,.SAT4*$,71.1,0,ELG,0.002
SBS1503+570,NGC5866B,x,"('226.23150', '56.82230')","(228.03012, 55.78508)",444.6004577,x,1020.1,17.700001,x,12.2,8.7,44.8,20,x,x,NGC5866B,.SXT8*.,44.9,20,SAB(rs)dm:,0.002805
SBS1503+570,SBS1510+571B,x,"('226.23150', '56.82230')","(228.05221, 57.00172)",203.3420492,x,819,11.53523114,x,1.9,1.2,51.7,145,x,x,0,x,x,x,Spiral,0.002146
SBS1503+570,SBS1511+583,x,"('226.23150', '56.82230')","(228.1827, 58.17656)",270.9783856,x,643.7,9.066242091,x,0.6,0.5,34.9,69,x,x,0,x,x,x,x,0.001572
SBS1503+570,UGC09776,x,"('226.23150', '56.82230')","(228.28155, 56.96864)",342.9087653,x,1008.7,17.4,x,4,1.5,68,x,x,x,0,x,x,x,Im,0.002779
SBS1503+570,KUG1513+566,x,"('226.23150', '56.82230')","(228.70055, 56.45443)",307.1217335,x,888.2,12.50973159,x,0.8,0.7,14.1,40,x,x,0,x,x,x,Spiral,0.002375
SBS1503+570,NGC5907,x,"('226.23150', '56.82230')","(228.97404, 56.32877)",452.0909184,x,843,16.3,x,60.5,6.6,83.7,x,x,70,NGC5907,.SAS5*/,83.7,155,SA(s)c: sp     HII:,0.002225
SBS1503+570,KUG1516+568,x,"('226.23150', '56.82230')","(229.35492, 56.66353)",403.9822137,x,955.4,13.45675564,x,3.5,2.4,45.6,80,x,x,0,x,x,x,Spiral,0.002605
