AGNname,galaxyName,environment,degreesJ2000RA_DecAGN,degreesJ2000RA_DecGalaxy,impactParameter (kpc),redshiftDistances,vcorrGalaxy (km/s),distGalaxy (Mpc),AGN S/N,majorAxis (kpc),minorAxis (kpc),inclination (deg),positionAngle (deg),azimuth (deg),corrected_az (deg),RC3flag,RC3type,RC3inc (deg),RC3pa (deg),morphology,galaxyRedshift
3C273.0,UGC07642,x,"('187.27792', '2.05222')","(187.55731, 2.62471)",302.0429684690592,x,1929.1,27.17085655,x,7.9,6.3,36.9,x,x,x,UGC7642,.IBS9..,37.4,130.0,SdmIII-IV      HII,0.005451
3C273.0,CGCG014-054,x,"('187.27792', '2.05222')","(187.7659, 1.6757)",211.92369673574294,x,1399.2,19.70682874,x,7.7,4.4,55.2,80.0,x,x,MCG0-32-16,.IXS9P*,54.9,80.0,IAB(s)m pec:,0.003686
3C273.0,IC3474,x,"('187.27792', '2.05222')","(188.15215, 2.66152)",346.9776244932616,x,2022.1,18.667,x,13.7,1.4,84.3,x,x,x,IC3474,.S..7./,82.8,36.0,Sd(f)          HII,0.005761
3C273.0,NGC4517,x,"('187.27792', '2.05222')","(188.18996, 0.11503)",364.90414805709315,x,1420.4,9.765,x,32.8,4.1,82.7,x,x,x,NGC4517,.SAS6*/,81.5,83.0,SA(s)cd: sp    HII,0.003764
3C273.0,2dFGRSN389Z231,x,"('187.27792', '2.05222')","(188.19354, 1.56867)",463.8484420763492,x,1823.0,25.67647003,x,3.5,1.6,63.5,x,x,x,0,x,x,x,x,0.0051
3C273.0,VCC1457,x,"('187.27792', '2.05222')","(188.21062, 2.7973)",391.90309229687824,x,1336.2,18.82010179,x,3.7,2.2,53.1,2.0,x,x,0,x,x,x,"dE4pec?,N",0.003472
3C273.0,NGC4527,x,"('187.27792', '2.05222')","(188.53509, 2.65366)",362.9471282046116,x,2031.0,14.932,x,34.4,11.7,70.1,70.0,x,x,NGC4527,.SXS4..,70.2,67.0,SAB(s)bc;HII   LINER,0.005791
3C273.0,NGC4600,x,"('187.27792', '2.05222')","(190.09566, 3.11775)",386.0965789038743,x,1147.1,7.3499999,x,3.9,2.2,55.9,65.0,x,x,NGC4600,.L.....,48.6,60.0,"S0(6),N",0.002842
3C273.0,UGC07512,x,"('187.27792', '2.05222')","(186.42223, 2.15898)",227.10986712831797,x,1799.7,15.1,x,6.0,2.7,63.3,130.0,x,x,UGC7512,.IBS9..,63.5,130.0,ImIV,0.00502
3C273.0,SDSSJ122658.42+022923.3,x,"('187.27792', '2.05222')","(186.74342, 2.48981)",326.22204261959985,x,1922.0,27.07084759,x,1.7,1.6,16.3,148.0,x,x,NGC4420,.SBR4*.,61.4,8.0,x,0.005426
3C273.0,NGC4409,x,"('187.27792', '2.05222')","(186.74375, 2.49436)",223.18445157088334,x,1980.0,18.45,x,11.3,5.0,63.9,10.0,x,x,NGC4420,.SBR4*.,61.4,8.0,SB(r)bc:;HII   LINER,0.005621
3C273.0,SDSSJ122745.86+013601.8,x,"('187.27792', '2.05222')","(186.9429, 1.60015)",219.3531221320334,x,1586.1,22.34012963,x,x,x,x,x,x,x,0,x,x,x,dIn,0.00431
3C273.0,VCC1060,x,"('187.27792', '2.05222')","(187.01527, 2.90991)",392.33455426743717,x,1779.4,25.06223439,x,8.4,1.3,81.4,x,x,x,VCC1060,.S?....,81.1,-99,S?             HII,0.004951
3C273.0,SDSSJ122815.96+014944.1,x,"('187.27792', '2.05222')","(187.0665, 1.82892)",90.56332768928978,x,1198.4,16.87858892,x,3.5,1.8,59.3,40.0,x,x,0,x,x,x,x,0.003015
3C273.0,NGC4457,x,"('187.27792', '2.05222')","(187.24588, 3.57058)",461.2090303562866,x,1178.0,17.4,x,14.7,10.0,47.2,75.0,x,x,NGC4457,RSXS0..,31.7,-99,(R)SAB(s)0/a   LINER,0.002942
3C273.0,UGC07612,x,"('187.27792', '2.05222')","(187.25892, 2.72319)",284.09655154269586,x,1870.2,24.25,x,14.8,7.8,58.4,x,x,x,UGC7612,.S..9*.,57.5,145.0,Sm:            HII,0.005254
