AGNname,galaxyName,environment,degreesJ2000RA_DecAGN,degreesJ2000RA_DecGalaxy,impactParameter (kpc),redshiftDistances,vcorrGalaxy (km/s),distGalaxy (Mpc),AGN S/N,majorAxis (kpc),minorAxis (kpc),inclination (deg),positionAngle (deg),azimuth (deg),corrected_az (deg),RC3flag,RC3type,RC3inc (deg),RC3pa (deg),morphology,galaxyRedshift
PG0003+158,UGC12893,x,"('1.49708', '16.16361')","(0.11867, 17.22022)",348.9674314872139,x,839.5,11.82369694,x,2.9,0.8,73.1,5.0,x,x,0,x,x,x,SAdm,0.003659
PG0003+158,IC5377,x,"('1.49708', '16.16361')","(0.5225, 16.59028)",199.7520587079829,x,790.6,11.13556878,x,4.0,2.2,55.9,x,x,x,0,x,x,x,Im:,0.003502
PG0003+158,ESDOF538-01,x,"('1.49708', '16.16361')","(0.70042, 18.96806)",328.4482034735237,x,459.9,6.477029847,x,x,x,x,x,x,x,0,x,x,x,x,0.002378
PG0003+158,NGC7814,x,"('1.49708', '16.16361')","(0.81204, 16.14542)",197.26891769932288,x,789.3,17.171,x,27.5,11.5,65.3,x,x,x,NGC7814,.SAS2*/,65.4,135.0,SA(s)ab: sp    LINER,0.003502
PG0003+158,UGC00017,x,"('1.49708', '16.16361')","(0.93042, 15.21833)",247.63174330733904,x,615.0,13.0,x,8.3,5.9,44.8,x,x,x,UGC17,.S..9*.,44.9,-99,Sm:,0.002929
PG0003+158,UGC00031,x,"('1.49708', '16.16361')","(1.2175, 17.1925)",202.76599559990663,x,775.8,10.92731313,x,4.1,3.4,33.9,55.0,x,x,0,x,x,x,IAm,0.003449
PG0003+158,UGC00047,x,"('1.49708', '16.16361')","(1.65983, 17.28428)",171.01999826705367,x,614.9,8.660272417,x,3.5,0.5,81.4,64.0,x,x,0,x,x,x,Sdm,0.002912
PG0003+158,NGC0014,x,"('1.49708', '16.16361')","(2.19333, 15.81556)",168.53422830323336,x,602.9,12.8,x,10.4,7.8,41.4,x,x,x,NGC14,RIBS9P.,42.2,25.0,(R)IB(s)m pec,0.002885
PG0003+158,SDSSJ000952.87+154406.9,x,"('1.49708', '16.16361')","(2.47033, 15.73526)",159.02236829316595,x,628.6,8.853156536,x,0.6,0.5,16.3,143.0,x,x,0,x,x,x,HII,0.002973
PG0003+158,KUG0007+154,x,"('1.49708', '16.16361')","(2.47116, 15.73466)",160.69219359237198,x,634.6,8.937638066,x,1.5,1.2,41.4,118.0,x,x,0,x,x,x,Spiral,0.002991
PG0003+158,UGC00090,x,"('1.49708', '16.16361')","(2.50708, 16.94083)",197.95928361389997,x,648.6,9.135804528,x,3.2,0.9,73.7,88.0,x,x,0,x,x,x,Im:,0.003029
PG0003+158,SDSSJ001108.62+141422.7,x,"('1.49708', '16.16361')","(2.78594, 14.23965)",298.3620518061901,x,529.8,7.461969424,x,1.3,0.7,58.0,119.0,x,x,0,x,x,x,x,0.002655
PG0003+158,UGC00122,x,"('1.49708', '16.16361')","(3.32208, 17.03)",432.6241913159644,x,594.6,12.7,x,7.6,1.1,81.4,109.0,x,x,0,x,x,x,Sdm,0.002849
PG0003+158,UGC00134,x,"('1.49708', '16.16361')","(3.51458, 12.89611)",462.6509938578669,x,494.4,6.963874886,x,2.4,2.4,0.0,x,x,x,0,x,x,x,S IV-V,0.002548
PG0003+158,Segue1,x,"('1.49708', '16.16361')","(151.76667, 16.08194)",54.7583621655725,x,454.7,0.023,x,x,x,x,x,x,x,0,x,x,x,Globular cluster?,0.000688
PG0003+158,SextansDwarfSpheroidal,x,"('1.49708', '16.16361')","(153.26232, -1.6146)",228.2581559907029,x,465.8,0.088,x,0.8,0.3,66.4,x,x,x,0,x,x,x,Dwarf spheroidal,0.000747
PG0003+158,LeoV,x,"('1.49708', '16.16361')","(172.79, 2.22)",496.14617814701137,x,459.1,0.178,x,x,x,x,x,x,x,0,x,x,x,x,0.000578
PG0003+158,LeoIV,x,"('1.49708', '16.16361')","(173.2375, -0.53333)",447.76832383792737,x,415.6,0.158,x,x,x,x,x,x,x,0,x,x,x,dSph,0.00044
