AGNname,center,galaxyName,environment,degreesJ2000RA_DecAGN,degreesJ2000RA_DecGalaxy,likelihood,likelihood_1.5,virialRadius,d^1.5,impactParameter (kpc),redshiftDistances,vcorrGalaxy (km/s),vel_diff,distGalaxy (Mpc),AGN S/N,majorAxis (kpc),minorAxis (kpc),inclination (deg),positionAngle (deg),azimuth (deg),RC3flag,RC3type,RC3inc (deg),RC3pa (deg),morphology,final_morphology,galaxyRedshift
SBS1122+594,1796,NGC3642,12,"('171.47375', '59.17278')","(170.57455, 59.07451)",0.101820289945,0.0124649435284,149.850377539,108.153053586,226.448446243,x,1789.9,-6.1,27.5,x,22.7,22.5,8.1,75.0,3.0,NGC3642,.SAR4*.,33.7,105.0,SA(r)bc:;LINER Sy3,SA(r)bc:;LINER Sy3,0.005297
SBS1122+594,1796,SDSSJ112625.96+591737.4,12,"('171.47375', '59.17278')","(171.6082, 59.29375)",0.0370247451922,3.11299403458e-32,40.4315557553,6.26929023096,52.8099857621,x,1543.8,-252.2,21.74407849,x,3.4,2.4,44.8,128.0,81.7,0,x,x,x,x,x,0.004476
SBS1122+594,1796,IC0691,12,"('171.47375', '59.17278')","(171.68465, 59.15543)",0.0244384150225,3.80818835622e-05,65.8879313759,18.1248172405,45.2884126393,x,1399.4,-396.6,23.700001,x,6.9,5.1,42.3,155.0,55.9,IC691,.I?....,48.6,150.0,I?;WR?         HII,I?;WR?         HII,0.003992
SBS1122+594,1796,NGC3610,12,"('171.47375', '59.17278')","(169.6053, 58.78628)",3.05730345308e-06,2.42409671085e-13,138.25869232,90.7877084191,486.748680451,x,1906.2,110.2,26.88,x,20.2,14.6,43.9,135.0,67.0,NGC3610,.E.5.*.,31.7,-99,SB(r)0^0^ pec,SB(r)0^0^ pec,0.005684
SBS1122+594,1796,SDSSJ112235.67+585840.5,12,"('171.47375', '59.17278')","(170.64866, 58.97794)",1.41728662545e-08,6.3460325321e-241,42.8606930872,7.11709210282,166.936893494,x,1455.3,-340.7,20.49709727,x,3.7,1.9,59.3,161.0,84.3,0,x,x,x,x,x,0.004181
SBS1122+594,1796,SDSSJ112725.46+583820.0,12,"('171.47375', '59.17278')","(171.85612, 58.63889)",1.08649447709e-10,9.03978110516e-275,45.2294590975,8.0,200.432195675,x,1432.4,-363.6,20.17420515,x,4.0,1.2,72.5,143.0,16.8,0,x,x,x,x,x,0.004096
SBS1122+594,1796,SDSSJ112150.23+585638.7,12,"('171.47375', '59.17278')","(170.45933, 58.9441)",2.40180545028e-20,0.0,39.6072435142,5.99474770111,265.468946125,x,1896.3,100.3,26.7081168,x,3.3,3.1,19.9,54.0,12.3,0,x,x,x,x,x,0.005651
SBS1122+594,1796,CGCG291-076,12,"('171.47375', '59.17278')","(172.57199, 58.13391)",8.14349333727e-21,1.43747975852e-216,71.7043124514,21.7842144683,485.436688433,x,1665.7,-130.3,23.46005658,x,7.8,6.9,27.1,x,x,0,x,x,x,SA(s)m:,SA(s)m:,0.004867
SBS1122+594,1796,SDSSJ113005.21+582818.0,12,"('171.47375', '59.17278')","(172.52175, 58.47169)",5.75457308272e-22,0.0,53.4839435195,11.5174215864,373.37886869,x,1713.4,-82.6,24.13263796,x,5.1,1.1,77.9,88.0,54.5,0,x,x,x,x,x,0.005031
SBS1122+594,1796,SDSSJ112005.92+593544.9,12,"('171.47375', '59.17278')","(170.02467, 59.59583)",1.86136638614e-38,0.0,45.2294590975,8.0,418.951470007,x,2003.6,207.6,28.21976545,x,4.0,2.6,50.2,149.0,29.3,0,x,x,x,x,x,0.006016
SBS1122+594,1796,SBS1119+586,12,"('171.47375', '59.17278')","(170.65738, 58.32853)",5.06991587743e-43,0.0,42.058010542,6.83051974596,415.046874155,x,1787.6,-8.4,25.17779297,x,3.6,2.0,57.3,18.0,8.4,0,x,x,x,x,x,0.00528
SBS1122+594,1796,SDSSJ112149.19+585434.0,12,"('171.47375', '59.17278')","(170.45496, 58.90944)",4.14452525005e-50,0.0,22.988094234,1.83711730709,244.873731609,x,1698.4,-97.6,23.92109126,x,1.5,1.2,35.9,147.0,83.8,0,x,x,x,x,x,0.004991
